#BOM付きUTF8で保存された場合に一行目が解析不能になるDLPropertiesの不具合に備えてコメントアウト

Num  = 1768
1    = "a000 000000.hkx_End"
2    = "a000 000000.hkx_WC"
3    = "a000 000010.hkx_End"
4    = "a000 000010.hkx_WC"
5    = "a000 000010_End"
6    = "a000 000011.hkx_End"
7    = "a000 000011_End"
8    = "a000 000012.hkx_End"
9    = "a000 000012_End"
10   = "a000 007010.hkx_End"
11   = "a000 022055.hkx_End"
12   = "a000 022055.hkx_WC"
13   = "a000_000000.hkx_End"
14   = "a000_000000.hkx00_End"
15   = "a000_000002.hkx_End"
16   = "a000_000006_End"
17   = "a000_000111.hkx_End"
18   = "a000_000112.hkx_End"
19   = "a000_007004_End"
20   = "a000_022000.hkx_End"
21   = "a000_101060.hkx_End"
22   = "a000_101061.hkx_End"
23   = "a000_101062.hkx_End"
24   = "AtkFall GunShot End"
25   = "AtkFall GunShot Loop"
26   = "AtkFallHardLoop to AtkFallHardEnd"
27   = "AtkFallHardStart to AtkFallHardLoop"
28   = "AtkFallLoop to AtkFallEnd"
29   = "AtkFallStart to AtkFallLoop"
30   = "AtkLeft_PowerHardHit01"
31   = "AtkLeft_PowerNormalHit01"
32   = "AtkLeft_Spray_Start_to_AtkLeft_Spray_Loop"
33   = "AtkPowerHardHit01_ModeA"
34   = "AtkPowerLoop to AtkPowerHardHit"
35   = "AtkPowerLoop to AtkPowerNormalHit"
36   = "AtkPowerLoop01 to AtkPowerHardHit01"
37   = "AtkPowerLoop01 to AtkPowerNormalHit01"
38   = "AtkPowerLoop02 to AtkPowerHardHit02"
39   = "AtkPowerNormalHit01"
40   = "AtkPowerNormalHit01_ModeA"
41   = "AtkPowerNormalHit01_ModeA00"
42   = "AtkPowerStart to AtkPowerLoop"
43   = "AtkPowerStart to AtkPowerNormalHit"
44   = "AtkPowerStart01 to AtkPowerLoop01"
45   = "AtkPowerStart01 to AtkPowerLoop0100"
46   = "AtkPowerStart01 to AtkPowerNormalHit01"
47   = "AtkPowerStart01 to AtkPowerNormalHit0100"
48   = "AtkPowerStart02 to AtkPowerLoop02"
49   = "AtkPowerStart02 to AtkPowerNormalHit02"
50   = "AtkRightHard03"
51   = "AtkRightHard04"
52   = "AtkRightHardDraw"
53   = "AtkRightNormal04"
54   = "AtkRightNormal05"
55   = "AtkRightNormal06"
56   = "AtkRightNormalDraw"
57   = "ChangeHandEnd to State02"
58   = "ChangeHandEnd to State0200"
59   = "ChangeHandStart to ChangeHandEnd"
60   = "ChangeHandUpper to LocomotionUpper"
61   = "ChangeWeaponEnd to State01"
62   = "ChangeWeaponEnd to State03"
63   = "ChangeWeaponStart Left to ChangeWeaponEnd Left"
64   = "ChangeWeaponStart Right to ChangeWeaponEnd Right"
65   = "ChangeWeaponStart to ChangeWeaponEnd"
66   = "ChangeWeaponUpper to LocomotionUpper"
67   = "Damage Guard Lv1 HighSp to Guard Idle"
68   = "Damage Guard Lv1 LowSp to Guard Idle"
69   = "Damage Guard Lv1 MiddleSp to Guard Idle"
70   = "Damage Guard Lv2 HighSp to Guard Idle"
71   = "Damage Guard Lv2 LowSp to Guard Idle"
72   = "Damage Guard Lv2 MiddleSp to Guard Idle"
73   = "Damage Guard Lv3 HighSp to Guard Idle"
74   = "Damage Guard Lv3 LowSp to Guard Idle"
75   = "Damage Guard Lv3 MiddleSp to Guard Idle"
76   = "Damage Guard Lv4 HighSp to Guard Idle"
77   = "Damage Guard Lv4 LowSp to Guard Idle"
78   = "Damage Guard Lv4 MiddleSp to Guard Idle"
79   = "DamageBlend Normal"
80   = "DamageBlend Normal00"
81   = "DamageBlend Normal01"
82   = "DamageBlend Normal02"
83   = "DamageBlend Normal03"
84   = "DamageBlend Normal04"
85   = "DamageBlend Normal05"
86   = "DamageBlend Normal06"
