no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u16	%d	0x000020B8	u16	RadarRange	 4694 af8e 978b a397 6d5b 005d					
2	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x000020D5	u8	RadarAngleX	 4694 af8e 708a 7893 7782 645b 6765 005d					
3	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x00002119	u8	RadarAngleY	 4694 af8e 708a 7893 5b59 6564 5d67					
4	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u16	%d	0x0000215D	u16	TerritorySize	 ea93 a392 e882 978b a397 6d5b 005d					
5	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x000021B2	u8	ThreatBeforeAttackRate	 558d 828c 4f91 d088 648a a697 305b 6081 3031 5d30					
6	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x000021C7	ON_OFF	ForceThreatOnFirstLocked	 898f f189 4694 af8e d088 648a					
7	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	dummy8		0x00000000	dummy8	reserve0[24]	 5c97 f196					
8	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u16	%d	0x000021F2	u16	Attack1_Distance	 558d 828c 5082 4081 d48a 878d a282 6d5b 005d					
9	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u16	%d	0x0000220A	u16	Attack1_Margin	 558d 828c 5082 4081 d48a 878d a282 5697 d182 6d5b 005d					
10	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x0000223F	u8	Attack1_Rate	 558d 828c 5082 4081 848a 878d 305b 6081 3031 5d30					
11	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x0000224A	ACTION_PATTERN	Attack1_ActionID	 558d 828c 5082 4081 ed8e de97					
12	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x00002255	u8	Attack1_DelayMin	 558d 828c 5082 4081 c58d ac8f 7892 8489 9e8e d48a 665b 6172 656d 005d					
13	paramdef/paramdef/64bit/AiStandardInfo.paramdef	AI_STANDARD_INFO_BANK	u8	%d	0x0000228E	u8	Attack1_DelayMax	 558d 828c 5082 4081 c58d b792 7892 8489 9e8e d48a 665b 6172 656d 005d			 558d 828c c289 5c94 c982 c882 c182 bd82 9e8e 5f93 a982 e782 4181 558d 828c b782 e982 dc82 c582 cc82 7892 8489 9e8e d48a cc82 c58d b792 4281 8e00 908b 95fc 8cfb 82fc 83c6 815e 835b 8351 8362 8267 82d6 95cc 8cfb 83fc 8378 834e 8367 828b 82cc 82c8 8ab7 8270 81aa 8241 82b1 8acc 9370 8878 93c8 82e0 8fcc 8dea 8187 8d41 8c55 8282 826e 816a 0042 558d 828c b782 e982 c682 ab82 cc82 d48a 878d a282 6d5b 005d 558d 828c d48a 878d a282 cc82 5697 d182 4281 d48a 878d a282 978b a397 df8b d395 c582 4181 5590 ae93 b582 c882 a282 e682 a482 c982 8d00 8c55 8282 95cc 9370 0078 558d 828c cc82 ed8e de97 8d00 8c55 8982 94c2 825c 82c9 82c8 82c1 8ebd 939e 825f 82a9 81e7 8d41 8c55 8282 82b7 82e9 82dc 82c5 92cc 8978 8e84 8a9e 82d4 8dcc 8fc5 81ac 0042 558d 828c c289 5c94 c982 c882 c182 bd82 9e8e 5f93 a982 e782 4181 558d 828c b782 e982 dc82 c582 cc82 7892 8489 9e8e d48a cc82 c58d b792 4281 8e00 908b 95fc 8cfb 82fc 83c6 815e 835b 8351 8362 8267 82d6 95cc 8cfb 83fc 8378 834e 8367 828b 82cc 82c8 8ab7 8270 81aa 8241 82b1 8acc 9370 8878 93c8 82e0 8fcc 8dea 8187 8d41 8c55 8282 826e 816a 0042 558d 828c b782 e982 c682 ab82 cc82 d48a 878d a282 6d5b 005d 558d 828c d48a 878d a282 cc82 5697 d182 4281 d48a 878d a282 978b a397 df8b d395 c582 4181 5590 ae93 b582 c882 a282 e682 a482 c982 8d00 8c55 8282 95cc 9370 0078 558d 828c cc82 ed8e de97 8d00 8c55 8982 94c2 825c 82c9 82c8 82c1 8ebd 939e 825f 82a9 81e7 8d41 8c55 8282 82b7 82e9 82dc 82c5 92cc 8978 8e84 8a9e 82d4 8dcc 8fc5 81ac 0042 558d 828c c289 5c94 c982 c882 c182 bd82 9e8e 5f93 a982 e782 4181 558d 828c b782 e982 dc82 c582 cc82 7892 8489 9e8e d48a cc82 c58d b792 4281 8e00 908b 95fc 8cfb 82fc 83c6 815e 835b 8351 8362 8267 82d6 95cc 8cfb 83fc 8378 834e 8367 828b 82cc 82c8 8ab7 8270 81aa 8241 82b1 8acc 9370 8878 93c8 82e0 8fcc 8dea 8187 8d41 8c55 8282 826e 816a 0042 558d 828c b782 e982 c682 ab82 cc82 d48a 878d a282 6d5b 005d 558d 828c d48a 878d a282 cc82 5697 d182 4281 d48a 878d a282 978b a397 df8b d395 c582 4181 5590 ae93 b582 c882 a282 e682 a482 c982 8d00 8c55 8282 95cc 9370 0078 558d 828c cc82 ed8e de97 8d00 8c55 8982 94c2 825c 82c9 82c8 82c1 8ebd 939e 825f 82a9 81e7 8d41 8c55 8282 82b7 82e9 82dc 82c5 92cc 8978 8e84 8a9e 82d4 8dcc 8fc5 81ac 0042 558d 828c c289 5c94 c982 c882 c182 bd82 9e8e 5f93 a982 e782 4181 558d 828c b782 e982 dc82 c582 cc82 7892 8489 9e8e d48a cc82 c58d b792 4281 8e00 908b 95fc 8cfb 82fc 83c6 815e 835b 8351 8362 8267 82d6 95cc 8cfb 83fc 8378 834e 8367 828b 82cc 82c8 8ab7 8270 81aa 8241 82b1 8acc 9370 8878 93c8 82e0 8fcc 8dea 8187 8d41 8c55 8282 826e 816a 0042		
