no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	f32	%f	0x00004958	f32	hit0_Radius	 3042 305f 308a 0030 0020 534a 5f84			 7403 3001 30ab 30d7 30bb 30eb 306e 534a 5f84		
2	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	f32	%f	0x0000496C	f32	hit1_Radius	 3042 305f 308a 0031 0020 534a 5f84			 7403 3001 30ab 30d7 30bb 30eb 306e 534a 5f84		
3	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	f32	%f	0x00004980	f32	hit2_Radius	 3042 305f 308a 0032 0020 534a 5f84			 7403 3001 30ab 30d7 30bb 30eb 306e 534a 5f84		
4	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	f32	%f	0x00004994	f32	hit3_Radius	 3042 305f 308a 0033 0020 534a 5f84			 7403 3001 30ab 30d7 30bb 30eb 306e 534a 5f84		
5	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	f32	%f	0x000049A8	f32	knockbackDist	 30ce 30c3 30af 30d0 30c3 30af 8ddd 96e2 005b 006d 005d			 30ce 30c3 30af 30d0 30c3 30af 8ddd 96e2 005b 006d 005d		
6	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	f32	%f	0x000049C0	f32	hitStopTime	 30d2 30c3 30c8 30b9 30c8 30c3 30d7 6642 9593 005b 0073 005d			 30d2 30c3 30c8 30b9 30c8 30c3 30d7 306e 505c 6b62 6642 9593 005b 0073 005d		
7	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	s32	%d	0x000049E0	s32	spEffectId0	 7279 6b8a 52b9 679c 0030			 7279 6b8a 52b9 679c 30d1 30e9 30e1 30fc 30bf 3067 4f5c 6210 3057 305f ff29 ff24 3092 5165 308c 308b		
8	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	s32	%d	0x00004A0A	s32	spEffectId1	 7279 6b8a 52b9 679c 0031			 7279 6b8a 52b9 679c 30d1 30e9 30e1 30fc 30bf 3067 4f5c 6210 3057 305f ff29 ff24 3092 5165 308c 308b		
9	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	s32	%d	0x00004A34	s32	spEffectId2	 7279 6b8a 52b9 679c 0032			 7279 6b8a 52b9 679c 30d1 30e9 30e1 30fc 30bf 3067 4f5c 6210 3057 305f ff29 ff24 3092 5165 308c 308b		
10	/home/synt/misc/data/dlc/paramdef/AtkParam.paramdef	ATK_PARAM_ST	s32	%d	0x00004A5E	s32	spEffectId3	 7279 6b8a 52b9 679c 0033			 7279 6b8a 52b9 679c 30d1 30e9 30e1 30fc 30bf 3067 4f5c 6210 3057 305f ff29 ff24 3092 5165 308c 308b		
