no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	s32	%d	0x000009F8	s32	variationId	 738d ae93 6f83 8a83 4783 5b81 5683 8783 9383 4449			 558d 828c 7083 8983 8183 5b81 5e83 7097 cc82 4449 f082 5a8e 6f8f b782 e982 db8d c982 678e 7097 b582 dc82 b782 4281 c08e 408b e38f c582 cd82 bc92 da90 678e 7097 b582 dc82 b982 f182 4281 8d00 8c55 8382 8370 8389 8181 835b 975e 8270 49cc 8244 8ef0 8f5a 826f 82b7 8de9 82db 8ec9 9767 8270 82b5 82dc 81b7 8242 82b1 49cc 8244 54cd 6d69 4165 7463 6445 7469 726f c582 fc93 cd97 b382 ea82 e982 738d ae93 bb94 e892 4449 c682 ea88 7692 b382 b982 dc82 b782 4281 c08e 408b e38f c582 cd82 bc92 da90 678e 7097 b582 dc82 b982 f182 4281 4900 8e44 8f5a 836f 818b 835b 978b 0070 518e c68f 4449 f082 d48a e188 ed82 c882 a282 e682 a482 c982 778e e892 002e 7083 6683 4283 9383 4f83 2e30 8d00 8c55 9782 81cd 9441 82f2 93d1 8bb9 81ef 9341 8ec1 8cea 89f8 83ca 8370 8389 8181 835b 825e 49cc 8144 7241 6665 7954 6570 c982 e682 c182 c482 678e a282 aa95 af82 e782 ea82 e982 4281 8200 8272 8265 8277 83cc 836f 838a 8147 835b 8356 8387 8293 8ef0 9277 81e8 5469 6d69 4165 7463 6445 7469 726f cc82 6882 6382 c682 6791 dd82 878d ed82 b982 c482 4181 7282 6582 7782 f082 c193 e892 b782 e982 cc82 c982 678e 7097 b782 e982 6a81 8d00 9373 8eae 829e 8fcc 94c1 83ef 8358 835e 837e 9769 82ca 90f0 92dd 2ee8 8d00 9373 8eae 829e 8fcc 94c1 4def 9750 82ca 90f0 92dd 2ee8 8300 8358 834c 828b 81e2 9641 9682 8140 8341 8341 8343 8365 8280 82c8 82c7 81c5 8341 8370 8389 8181 835b 825e 95aa 93cf 82ae 82b7 8ce9 89f8 81ca 8369 8347 8393 8360 8383 8393 8367 8345 8346 837c 8293 82c8 81c7 826a 82aa 82a0 82e9 82cc 81c5 8441 92a0 82e8 82b5 8cbd 89f8 82ca 81aa 8141 9575 8a90 8ded 8c55 8282 82cc 82dd 83f0 8370 818f 835b 8341 8362 8276 82b7 81e9 8276 82c6 82a2 82c1 8cbd 89f8 82ca 91c9 89ce 829e 82c5 82ab 82e9 82e6 82a4 8dc9 9373 82ae 82b2 82c6 90c9 92dd 82e8 82b7 83e9 836f 838a 8358 825e 82c8 81c7 9041 92dd 82e8 95cc 974b 8276 82cc 82c8 82a2 82e0 82cc 81cd 8275 82c8 81b5 8276 90f0 92dd 82e8 82b7 0ae9 8d00 9373 8eae 829e 8fcc 94c1 90ef 8a6c 90d4 97ab 82ca 90f0 92dd 00e8 7083 6683 4283 9383 4f83 2e31		
2	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	s32	%d	0x00000A43	s32	behaviorJudgeId	 738d ae93 bb94 e892 4449			 558d 828c 7083 8983 8183 5b81 5e83 7097 cc82 4449 f082 5a8e 6f8f b782 e982 db8d c982 678e 7097 b582 dc82 b782 4281 b182 cc82 4449 cd82 6954 656d 6341 4574 6964 6f74 8272 93c5 97fc 82cd 82b3 82ea 8de9 9373 94ae 92bb 49e8 8244 88c6 92ea 8276 82b3 82b9 82dc 81b7 8e42 8bc0 8f40 82e3 82c5 92cd 90bc 8eda 9767 8270 82b5 82dc 82b9 81f1 0042 4449 5a8e 6f8f 8b83 5b81 8b83 7097 8e00 8f51 49c6 8244 8af0 88d4 82e1 82ed 82c8 82a2 82e6 82a4 8ec9 9277 2ee8 8300 8370 8366 8342 8393 304f 002e 558d 828c cd97 4181 f294 d182 b993 ef8b 4181 c193 ea8e f88c ca89 7083 8983 8183 5b81 5e83 cc82 4449 4181 6572 5466 7079 8265 82c9 82e6 82c1 8ec4 8267 95a2 82aa 82af 82e7 82ea 81e9 0042 7282 6582 7782 cc82 6f83 8a83 4783 5b81 5683 8783 9383 f082 778e e892 6981 6954 656d 6341 4574 6964 6f74 8272 82cc 8268 8263 91c6 8267 8ddd 8287 82ed 82b9 81c4 8241 8272 8265 8277 93f0 92c1 82e8 82b7 82e9 82cc 8ec9 9767 8270 82b7 81e9 006a 738d ae93 9e8e cc82 c18f ef94 5883 5e83 7e83 6983 ca97 f082 dd90 e892 002e 738d ae93 9e8e cc82 c18f ef94 504d ca97 f082 dd90 e892 002e 5883 4c83 8b83 e282 4181 8296 4096 4181 4183 4383 6583 8083 c882 c782 c582 4181 7083 8983 8183 5b81 5e83 aa82 cf95 ae93 b782 e982 f88c ca89 6981 4783 9383 6083 8383 9383 6783 4583 4683 7c83 9383 c882 c782 6a81 aa82 a082 e982 cc82 c582 4181 a084 e892 b582 bd82 f88c ca89 aa82 4181 7581 9095 ed8a 558d 828c cc82 dd82 f082 7083 8f83 5b81 4183 6283 7683 b782 e982 7681 c682 a282 c182 bd82 f88c ca89 c982 ce91 9e89 c582 ab82 e982 e682 a482 c982 738d ae93 b282 c682 c982 dd90 e892 b782 e982 6f83 8a83 5883 5e83 c882 c782 4181 dd90 e892 cc82 4b95 7697 cc82 c882 a282 e082 cc82 cd82 7581 c882 b582 7681 f082 dd90 e892 b782 e982 000a 738d ae93 9e8e cc82 c18f ef94 6c90 d48a ab90 ca97 f082 dd90 e892 8300 8370 8366 8342 8393 314f 002e		
3	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	u8	%d	0x00000AC9	u8	ezStateBehaviorType_old	 4449 8b83 5b81 8b83 7097			 4449 5a8e 6f8f 8b83 5b81 8b83 7097 8e00 8f51 49c6 8244 8af0 88d4 82e1 82ed 82c8 82a2 82e6 82a4 8ec9 9277 2ee8 8300 8370 8366 8342 8393 304f 002e 558d 828c cd97 4181 f294 d182 b993 ef8b 4181 c193 ea8e f88c ca89 7083 8983 8183 5b81 5e83 cc82 4449 4181 6572 5466 7079 8265 82c9 82e6 82c1 8ec4 8267 95a2 82aa 82af 82e7 82ea 81e9 0042 7282 6582 7782 cc82 6f83 8a83 4783 5b81 5683 8783 9383 f082 778e e892 6981 6954 656d 6341 4574 6964 6f74 8272 82cc 8268 8263 91c6 8267 8ddd 8287 82ed 82b9 81c4 8241 8272 8265 8277 93f0 92c1 82e8 82b7 82e9 82cc 8ec9 9767 8270 82b7 81e9 006a 738d ae93 9e8e cc82 c18f ef94 5883 5e83 7e83 6983 ca97 f082 dd90 e892 002e 738d ae93 9e8e cc82 c18f ef94 504d ca97 f082 dd90 e892 002e 5883 4c83 8b83 e282 4181 8296 4096 4181 4183 4383 6583 8083 c882 c782 c582 4181 7083 8983 8183 5b81 5e83 aa82 cf95 ae93 b782 e982 f88c ca89 6981 4783 9383 6083 8383 9383 6783 4583 4683 7c83 9383 c882 c782 6a81 aa82 a082 e982 cc82 c582 4181 a084 e892 b582 bd82 f88c ca89 aa82 4181 7581 9095 ed8a 558d 828c cc82 dd82 f082 7083 8f83 5b81 4183 6283 7683 b782 e982 7681 c682 a282 c182 bd82 f88c ca89 c982 ce91 9e89 c582 ab82 e982 e682 a482 c982 738d ae93 b282 c682 c982 dd90 e892 b782 e982 6f83 8a83 5883 5e83 c882 c782 4181 dd90 e892 cc82 4b95 7697 cc82 c882 a282 e082 cc82 cd82 7581 c882 b582 7681 f082 dd90 e892 b782 e982 000a 738d ae93 9e8e cc82 c18f ef94 6c90 d48a ab90 ca97 f082 dd90 e892 8300 8370 8366 8342 8393 314f 002e		
4	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	u8	%d	0x00000AD8	BEHAVIOR_REF_TYPE	refType	 518e c68f 4449 5e83 4383 7683			 518e c68f 4449 f082 d48a e188 ed82 c882 a282 e682 a482 c982 778e e892 002e 7083 6683 4283 9383 4f83 2e30 8d00 8c55 9782 81cd 9441 82f2 93d1 8bb9 81ef 9341 8ec1 8cea 89f8 83ca 8370 8389 8181 835b 825e 49cc 8144 7241 6665 7954 6570 c982 e682 c182 c482 678e a282 aa95 af82 e782 ea82 e982 4281 8200 8272 8265 8277 83cc 836f 838a 8147 835b 8356 8387 8293 8ef0 9277 81e8 5469 6d69 4165 7463 6445 7469 726f cc82 6882 6382 c682 6791 dd82 878d ed82 b982 c482 4181 7282 6582 7782 f082 c193 e892 b782 e982 cc82 c982 678e 7097 b782 e982 6a81 8d00 9373 8eae 829e 8fcc 94c1 83ef 8358 835e 837e 9769 82ca 90f0 92dd 2ee8 8d00 9373 8eae 829e 8fcc 94c1 4def 9750 82ca 90f0 92dd 2ee8 8300 8358 834c 828b 81e2 9641 9682 8140 8341 8341 8343 8365 8280 82c8 82c7 81c5 8341 8370 8389 8181 835b 825e 95aa 93cf 82ae 82b7 8ce9 89f8 81ca 8369 8347 8393 8360 8383 8393 8367 8345 8346 837c 8293 82c8 81c7 826a 82aa 82a0 82e9 82cc 81c5 8441 92a0 82e8 82b5 8cbd 89f8 82ca 81aa 8141 9575 8a90 8ded 8c55 8282 82cc 82dd 83f0 8370 818f 835b 8341 8362 8276 82b7 81e9 8276 82c6 82a2 82c1 8cbd 89f8 82ca 91c9 89ce 829e 82c5 82ab 82e9 82e6 82a4 8dc9 9373 82ae 82b2 82c6 90c9 92dd 82e8 82b7 83e9 836f 838a 8358 825e 82c8 81c7 9041 92dd 82e8 95cc 974b 8276 82cc 82c8 82a2 82e0 82cc 81cd 8275 82c8 81b5 8276 90f0 92dd 82e8 82b7 0ae9 8d00 9373 8eae 829e 8fcc 94c1 90ef 8a6c 90d4 97ab 82ca 90f0 92dd 00e8 7083 6683 4283 9383 4f83 2e31		
5	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	dummy8		0x00000AF6	dummy8	pad0[2]	 7083 6683 4283 9383 4f83 0030			 7083 6683 4283 9383 4f83 2e30 8d00 8c55 9782 81cd 9441 82f2 93d1 8bb9 81ef 9341 8ec1 8cea 89f8 83ca 8370 8389 8181 835b 825e 49cc 8144 7241 6665 7954 6570 c982 e682 c182 c482 678e a282 aa95 af82 e782 ea82 e982 4281 8200 8272 8265 8277 83cc 836f 838a 8147 835b 8356 8387 8293 8ef0 9277 81e8 5469 6d69 4165 7463 6445 7469 726f cc82 6882 6382 c682 6791 dd82 878d ed82 b982 c482 4181 7282 6582 7782 f082 c193 e892 b782 e982 cc82 c982 678e 7097 b782 e982 6a81 8d00 9373 8eae 829e 8fcc 94c1 83ef 8358 835e 837e 9769 82ca 90f0 92dd 2ee8 8d00 9373 8eae 829e 8fcc 94c1 4def 9750 82ca 90f0 92dd 2ee8 8300 8358 834c 828b 81e2 9641 9682 8140 8341 8341 8343 8365 8280 82c8 82c7 81c5 8341 8370 8389 8181 835b 825e 95aa 93cf 82ae 82b7 8ce9 89f8 81ca 8369 8347 8393 8360 8383 8393 8367 8345 8346 837c 8293 82c8 81c7 826a 82aa 82a0 82e9 82cc 81c5 8441 92a0 82e8 82b5 8cbd 89f8 82ca 81aa 8141 9575 8a90 8ded 8c55 8282 82cc 82dd 83f0 8370 818f 835b 8341 8362 8276 82b7 81e9 8276 82c6 82a2 82c1 8cbd 89f8 82ca 91c9 89ce 829e 82c5 82ab 82e9 82e6 82a4 8dc9 9373 82ae 82b2 82c6 90c9 92dd 82e8 82b7 83e9 836f 838a 8358 825e 82c8 81c7 9041 92dd 82e8 95cc 974b 8276 82cc 82c8 82a2 82e0 82cc 81cd 8275 82c8 81b5 8276 90f0 92dd 82e8 82b7 0ae9 8d00 9373 8eae 829e 8fcc 94c1 90ef 8a6c 90d4 97ab 82ca 90f0 92dd 00e8 7083 6683 4283 9383 4f83 2e31		
6	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	s32	%d	0x00000B03	s32	refId	 518e c68f 4449			 558d 828c cd97 4181 f294 d182 b993 ef8b 4181 c193 ea8e f88c ca89 7083 8983 8183 5b81 5e83 cc82 4449 4181 6572 5466 7079 8265 82c9 82e6 82c1 8ec4 8267 95a2 82aa 82af 82e7 82ea 81e9 0042 7282 6582 7782 cc82 6f83 8a83 4783 5b81 5683 8783 9383 f082 778e e892 6981 6954 656d 6341 4574 6964 6f74 8272 82cc 8268 8263 91c6 8267 8ddd 8287 82ed 82b9 81c4 8241 8272 8265 8277 93f0 92c1 82e8 82b7 82e9 82cc 8ec9 9767 8270 82b7 81e9 006a 738d ae93 9e8e cc82 c18f ef94 5883 5e83 7e83 6983 ca97 f082 dd90 e892 002e 738d ae93 9e8e cc82 c18f ef94 504d ca97 f082 dd90 e892 002e 5883 4c83 8b83 e282 4181 8296 4096 4181 4183 4383 6583 8083 c882 c782 c582 4181 7083 8983 8183 5b81 5e83 aa82 cf95 ae93 b782 e982 f88c ca89 6981 4783 9383 6083 8383 9383 6783 4583 4683 7c83 9383 c882 c782 6a81 aa82 a082 e982 cc82 c582 4181 a084 e892 b582 bd82 f88c ca89 aa82 4181 7581 9095 ed8a 558d 828c cc82 dd82 f082 7083 8f83 5b81 4183 6283 7683 b782 e982 7681 c682 a282 c182 bd82 f88c ca89 c982 ce91 9e89 c582 ab82 e982 e682 a482 c982 738d ae93 b282 c682 c982 dd90 e892 b782 e982 6f83 8a83 5883 5e83 c882 c782 4181 dd90 e892 cc82 4b95 7697 cc82 c882 a282 e082 cc82 cd82 7581 c882 b582 7681 f082 dd90 e892 b782 e982 000a 738d ae93 9e8e cc82 c18f ef94 6c90 d48a ab90 ca97 f082 dd90 e892 8300 8370 8366 8342 8393 314f 002e		
7	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	s32	%d	0x00000B4D	s32	sfxVariationId	 4653 2058 6f83 8a83 4783 5b81 5683 8783 9383 4449			 7282 6582 7782 cc82 6f83 8a83 4783 5b81 5683 8783 9383 f082 778e e892 6981 6954 656d 6341 4574 6964 6f74 8272 82cc 8268 8263 91c6 8267 8ddd 8287 82ed 82b9 81c4 8241 8272 8265 8277 93f0 92c1 82e8 82b7 82e9 82cc 8ec9 9767 8270 82b7 81e9 006a 738d ae93 9e8e cc82 c18f ef94 5883 5e83 7e83 6983 ca97 f082 dd90 e892 002e 738d ae93 9e8e cc82 c18f ef94 504d ca97 f082 dd90 e892 002e 5883 4c83 8b83 e282 4181 8296 4096 4181 4183 4383 6583 8083 c882 c782 c582 4181 7083 8983 8183 5b81 5e83 aa82 cf95 ae93 b782 e982 f88c ca89 6981 4783 9383 6083 8383 9383 6783 4583 4683 7c83 9383 c882 c782 6a81 aa82 a082 e982 cc82 c582 4181 a084 e892 b582 bd82 f88c ca89 aa82 4181 7581 9095 ed8a 558d 828c cc82 dd82 f082 7083 8f83 5b81 4183 6283 7683 b782 e982 7681 c682 a282 c182 bd82 f88c ca89 c982 ce91 9e89 c582 ab82 e982 e682 a482 c982 738d ae93 b282 c682 c982 dd90 e892 b782 e982 6f83 8a83 5883 5e83 c882 c782 4181 dd90 e892 cc82 4b95 7697 cc82 c882 a282 e082 cc82 cd82 7581 c882 b582 7681 f082 dd90 e892 b782 e982 000a 738d ae93 9e8e cc82 c18f ef94 6c90 d48a ab90 ca97 f082 dd90 e892 8300 8370 8366 8342 8393 314f 002e		
8	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	s32	%d	0x00000BAD	s32	stamina	 c18f ef94 5883 5e83 7e83 6983			 738d ae93 9e8e cc82 c18f ef94 5883 5e83 7e83 6983 ca97 f082 dd90 e892 002e 738d ae93 9e8e cc82 c18f ef94 504d ca97 f082 dd90 e892 002e 5883 4c83 8b83 e282 4181 8296 4096 4181 4183 4383 6583 8083 c882 c782 c582 4181 7083 8983 8183 5b81 5e83 aa82 cf95 ae93 b782 e982 f88c ca89 6981 4783 9383 6083 8383 9383 6783 4583 4683 7c83 9383 c882 c782 6a81 aa82 a082 e982 cc82 c582 4181 a084 e892 b582 bd82 f88c ca89 aa82 4181 7581 9095 ed8a 558d 828c cc82 dd82 f082 7083 8f83 5b81 4183 6283 7683 b782 e982 7681 c682 a282 c182 bd82 f88c ca89 c982 ce91 9e89 c582 ab82 e982 e682 a482 c982 738d ae93 b282 c682 c982 dd90 e892 b782 e982 6f83 8a83 5883 5e83 c882 c782 4181 dd90 e892 cc82 4b95 7697 cc82 c882 a282 e082 cc82 cd82 7581 c882 b582 7681 f082 dd90 e892 b782 e982 000a 738d ae93 9e8e cc82 c18f ef94 6c90 d48a ab90 ca97 f082 dd90 e892 8300 8370 8366 8342 8393 314f 002e		
9	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	s32	%d	0x00000BCB	s32	mp	 c18f ef94 504d			 738d ae93 9e8e cc82 c18f ef94 504d ca97 f082 dd90 e892 002e 5883 4c83 8b83 e282 4181 8296 4096 4181 4183 4383 6583 8083 c882 c782 c582 4181 7083 8983 8183 5b81 5e83 aa82 cf95 ae93 b782 e982 f88c ca89 6981 4783 9383 6083 8383 9383 6783 4583 4683 7c83 9383 c882 c782 6a81 aa82 a082 e982 cc82 c582 4181 a084 e892 b582 bd82 f88c ca89 aa82 4181 7581 9095 ed8a 558d 828c cc82 dd82 f082 7083 8f83 5b81 4183 6283 7683 b782 e982 7681 c682 a282 c182 bd82 f88c ca89 c982 ce91 9e89 c582 ab82 e982 e682 a482 c982 738d ae93 b282 c682 c982 dd90 e892 b782 e982 6f83 8a83 5883 5e83 c882 c782 4181 dd90 e892 cc82 4b95 7697 cc82 c882 a282 e082 cc82 cd82 7581 c882 b582 7681 f082 dd90 e892 b782 e982 000a 738d ae93 9e8e cc82 c18f ef94 6c90 d48a ab90 ca97 f082 dd90 e892 8300 8370 8366 8342 8393 314f 002e		
10	/home/synt/misc/data/dlc/paramdef/BehaviorParam.paramdef	BEHAVIOR_PARAM_ST	u8	%d	0x00000BE3	BEHAVIOR_CATEGORY	category	 4a83 6583 5383 8a83			 5883 4c83 8b83 e282 4181 8296 4096 4181 4183 4383 6583 8083 c882 c782 c582 4181 7083 8983 8183 5b81 5e83 aa82 cf95 ae93 b782 e982 f88c ca89 6981 4783 9383 6083 8383 9383 6783 4583 4683 7c83 9383 c882 c782 6a81 aa82 a082 e982 cc82 c582 4181 a084 e892 b582 bd82 f88c ca89 aa82 4181 7581 9095 ed8a 558d 828c cc82 dd82 f082 7083 8f83 5b81 4183 6283 7683 b782 e982 7681 c682 a282 c182 bd82 f88c ca89 c982 ce91 9e89 c582 ab82 e982 e682 a482 c982 738d ae93 b282 c682 c982 dd90 e892 b782 e982 6f83 8a83 5883 5e83 c882 c782 4181 dd90 e892 cc82 4b95 7697 cc82 c882 a282 e082 cc82 cd82 7581 c882 b582 7681 f082 dd90 e892 b782 e982 000a 738d ae93 9e8e cc82 c18f ef94 6c90 d48a ab90 ca97 f082 dd90 e892 8300 8370 8366 8342 8393 314f 002e		
