no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x000047B8	s32	refId	 547c 3073 51fa 3057 0049 0044			 30a2 30a4 30c6 30e0 304b 3089 547c 3073 51fa 3055 308c 308b 0049 0044		
2	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x000047D6	s32	sfxVariationId	 0053 0046 0058 30d0 30ea 30a8 30fc 30b7 30e7 30f3 0049 0044			 ff33 ff26 ff38 306e 30d0 30ea 30a8 30fc 30b7 30e7 30f3 3092 6307 5b9a ff08 0054 0069 006d 0065 0041 0063 0074 0045 0064 0069 0074 006f 0072 306e ff29 ff24 3068 7d44 307f 5408 308f 305b 3066 3001 ff33 ff26 ff38 3092 7279 5b9a 3059 308b 306e 306b 4f7f 7528 3059 308b ff09		
3	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	f32	%d	0x00004844	f32	weight	 91cd 91cf 005b 006b 0067 005d			 91cd 91cf 005b 006b 0067 005d		
4	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x00004852	s32	fragmentNum	 304b 3051 3089 306e 6570			 7815 3044 305f 3068 304d 306e 304b 3051 3089 306e 6570		
5	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x0000486A	s32	sellValue	 8ca9 58f2 4fa1 683c			 8ca9 58f2 4fa1 683c		
6	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x00004874	s32	behaviorId	 884c 52d5 0049 0044			 9053 5177 3092 4f7f 3063 305f 3068 304d 306b 767a 751f 3059 308b 52b9 679c 3092 8a2d 5b9a 3057 307e 3059		
7	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x000048A0	s32	replaceItemId	 5dee 3057 66ff 3048 30a2 30a4 30c6 30e0 0049 0044			 5dee 3057 66ff 3048 308b 3068 304d 306e 30a2 30a4 30c6 30e0 0049 0044		
8	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x000048BE	s32	sortId	 30bd 30fc 30c8 0049 0044			 30bd 30fc 30c8 0049 0044 0028 002d 0031 003a 96c6 3081 306a 3044 0029		
9	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x000048DC	s32	qwcId	 0051 0057 0043 0049 0044			 0051 0057 0043 306e 30d1 30e9 30e1 30bf 0069 0044		
10	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x000048F2	s32	yesNoDialogMessageId	 0059 0045 0053 002f 004e 004f 30e1 30c3 30bb 30fc 30b8 0049 0044			 0059 0065 0073 004e 006f 30c0 30a4 30a2 30ed 30b0 8868 793a 6642 306b 4f7f 7528 3059 308b 30e1 30c3 30bb 30fc 30b8 0049 0044		
11	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s32	%d	0x00004926	s32	magicId	 9b54 6cd5 0049 0044			 5dfb 7269 3068 7d10 3065 3044 305f 9b54 6cd5 0049 0044		
12	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	u16	%d	0x0000493E	u16	iconId	 30a2 30a4 30b3 30f3 0049 0044			 30e1 30cb 30e5 30fc 7528 30a2 30a4 30b3 30f3 0049 0044		
13	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	u16	%d	0x00004956	u16	modelId	 30e2 30c7 30eb 0049 0044			 30e2 30c7 30eb 0049 0044		
14	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s16	%d	0x00004962	s16	shopLv	 30b7 30e7 30c3 30d7 30ec 30d9 30eb			 304a 5e97 3067 8ca9 58f2 3067 304d 308b 30ec 30d9 30eb		
15	paramdef/paramdef/64bit/EquipParamGoods.paramdef	EQUIP_PARAM_GOODS_ST	s16	%d	0x0000497A	s16	compTrophySedId	 30b3 30f3 30d7 30c8 30ed 30d5 30a3 30fc 0053 0045 0051 756a 53f7			 30b3 30f3 30d7 30ea 30fc 30c8 7cfb 30c8 30ed 30d5 30a3 306e 0053 0045 0051 756a 53f7		
