no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	s32	%d	0x00008308	s32	behaviorVariationId	 884c 52d5 30d0 30ea 30a8 30fc 30b7 30e7 30f3 0049 0044			 653b 6483 6642 306b 53c2 7167 3059 308b 884c 52d5 30d1 30e9 30e1 30fc 30bf 0049 0044 3092 6c7a 5b9a 3059 308b 3068 304d 306b 4f7f 3046		
2	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	s32	%d	0x00008340	s32	sortId	 30bd 30fc 30c8 0049 0044			 30bd 30fc 30c8 0049 0044 0028 002d 0031 003a 96c6 3081 306a 3044 0029		
3	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	u32	%d	0x0000835E	u32	wanderingEquipId	 5f98 5f8a 88c5 5099 0049 0044			 5f98 5f8a 30b4 30fc 30b9 30c8 7528 306e 5dee 3057 66ff 3048 88c5 5099 0049 0044 002e		
4	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	f32	%0.3f	0x00008382	f32	weight	 91cd 91cf 005b 006b 0067 005d			 91cd 91cf 005b 006b 0067 005d 002e		
5	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	f32	%0.3f	0x00008392	f32	weaponWeightRate	 88c5 5099 91cd 91cf 6bd4 7387			 88c5 5099 91cd 91cf 6bd4 7387		
6	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	s32	%d	0x000083A0	s32	fixPrice	 4fee 7406 4fa1 683c			 4fee 7406 57fa 672c 4fa1 683c		
7	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	s32	%d	0x000083AE	s32	basicPrice	 57fa 672c 4fa1 683c			 57fa 672c 4fa1 683c		
8	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	s32	%d	0x000083B8	s32	sellValue	 8ca9 58f2 4fa1 683c			 8ca9 58f2 4fa1 683c		
9	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	f32	%0.3f	0x000083C2	f32	correctStrength	 7b4b 529b 88dc 6b63			 30ad 30e3 30e9 30d1 30e9 88dc 6b63 5024 002e		
10	/home/synt/misc/data/dlc/paramdef/EquipParamWeapon.paramdef	EQUIP_PARAM_WEAPON_ST	f32	%0.3f	0x000083D6	f32	correctAgility	 4fca 654f 88dc 6b63			 30ad 30e3 30e9 30d1 30e9 88dc 6b63 5024 002e		
