no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008BF8	u8	facePartsId	 9854 30d1 30fc 30c4 0049 0044			 9854 30d1 30fc 30c4 0049 0044		
2	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C06	u8	skinColor_R 	 808c 306e 8272 0028 ff32 0029			 808c 306e 8272 0028 ff32 0029		
3	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C14	u8	skinColor_G 	 808c 306e 8272 0028 ff27 0029			 808c 306e 8272 0028 ff27 0029		
4	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C22	u8	skinColor_B 	 808c 306e 8272 0028 ff22 0029			 808c 306e 8272 0028 ff22 0029		
5	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C30	u8	hairPartsId	 9aea 30d1 30fc 30c4 0049 0044			 9aea 30d1 30fc 30c4 0049 0044		
6	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C3E	u8	hairColor_R 	 9aea 306e 8272 0028 ff32 0029			 9aea 306e 8272 0028 ff32 0029		
7	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C4C	u8	hairColor_G 	 9aea 306e 8272 0028 ff27 0029			 9aea 306e 8272 0028 ff27 0029		
8	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C5A	u8	hairColor_B 	 9aea 306e 8272 0028 ff22 0029			 9aea 306e 8272 0028 ff22 0029		
9	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C68	u8	eyeLPartsId	 5de6 76ee 30d1 30fc 30c4 0049 0044			 5de6 76ee 30d1 30fc 30c4 0049 0044		
10	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C78	u8	eyeLColor_R	 5de6 76ee 306e 8272 0028 ff32 0029			 5de6 76ee 306e 8272 0028 ff32 0029		
11	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C88	u8	eyeLColor_G	 5de6 76ee 306e 8272 0028 ff27 0029			 5de6 76ee 306e 8272 0028 ff27 0029		
12	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008C98	u8	eyeLColor_B	 5de6 76ee 306e 8272 0028 ff22 0029			 5de6 76ee 306e 8272 0028 ff22 0029		
13	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008CA8	u8	eyeRPartsId	 53f3 76ee 30d1 30fc 30c4 0049 0044			 53f3 76ee 30d1 30fc 30c4 0049 0044		
14	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008CB8	u8	eyeRColor_R	 53f3 76ee 306e 8272 0028 ff32 0029			 53f3 76ee 306e 8272 0028 ff32 0029		
15	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008CC8	u8	eyeRColor_G	 53f3 76ee 306e 8272 0028 ff27 0029			 53f3 76ee 306e 8272 0028 ff27 0029		
16	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008CD8	u8	eyeRColor_B	 53f3 76ee 306e 8272 0028 ff22 0029			 53f3 76ee 306e 8272 0028 ff22 0029		
17	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008CE8	u8	eyebrowPartsId	 7709 30d1 30fc 30c4 0049 0044			 7709 30d1 30fc 30c4 0049 0044		
18	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008CF6	u8	eyebrowColor_R 	 7709 306e 8272 0028 ff32 0029			 7709 306e 8272 0028 ff32 0029		
19	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D04	u8	eyebrowColor_G 	 7709 306e 8272 0028 ff27 0029			 7709 306e 8272 0028 ff27 0029		
20	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D12	u8	eyebrowColor_B 	 7709 306e 8272 0028 ff22 0029			 7709 306e 8272 0028 ff22 0029		
21	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D20	u8	eyelashPartsId	 307e 3064 3052 30d1 30fc 30c4 0049 0044			 307e 3064 3052 30d1 30fc 30c4 0049 0044		
22	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D32	u8	eyelashColor_R 	 307e 3064 3052 306e 8272 0028 ff32 0029			 307e 3064 3052 306e 8272 0028 ff32 0029		
23	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D44	u8	eyelashColor_G 	 307e 3064 3052 306e 8272 0028 ff27 0029			 307e 3064 3052 306e 8272 0028 ff27 0029		
24	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D56	u8	eyelashColor_B 	 307e 3064 3052 306e 8272 0028 ff22 0029			 307e 3064 3052 306e 8272 0028 ff22 0029		
25	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D68	u8	beardPartsId	 9aed 30d1 30fc 30c4 0049 0044			 9aed 30d1 30fc 30c4 0049 0044		
26	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D76	u8	beardColor_R 	 9aed 306e 8272 0028 ff32 0029			 9aed 306e 8272 0028 ff32 0029		
27	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D84	u8	beardColor_G 	 9aed 306e 8272 0028 ff27 0029			 9aed 306e 8272 0028 ff27 0029		
28	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008D92	u8	beardColor_B 	 9aed 306e 8272 0028 ff22 0029			 9aed 306e 8272 0028 ff22 0029		
29	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008DA0	u8	accessoriesPartsId	 88c5 98fe 30d1 30fc 30c4 0049 0044			 88c5 98fe 30d1 30fc 30c4 0049 0044		
30	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008DB0	u8	accessoriesColor_R 	 88c5 98fe 306e 8272 0028 ff32 0029			 88c5 98fe 306e 8272 0028 ff32 0029		
31	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008DC0	u8	accessoriesColor_G 	 88c5 98fe 306e 8272 0028 ff27 0029			 88c5 98fe 306e 8272 0028 ff27 0029		
32	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008DD0	u8	accessoriesColor_B 	 88c5 98fe 306e 8272 0028 ff22 0029			 88c5 98fe 306e 8272 0028 ff22 0029		
33	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008DE0	u8	decalPartsId	 30c7 30ab 30fc 30eb 30d1 30fc 30c4 0049 0044			 30c7 30ab 30fc 30eb 30d1 30fc 30c4 0049 0044		
34	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008DF4	u8	decalColor_R 	 30c7 30ab 30fc 30eb 306e 8272 0028 ff32 0029			 30c7 30ab 30fc 30eb 306e 8272 0028 ff32 0029		
35	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E08	u8	decalColor_G 	 30c7 30ab 30fc 30eb 306e 8272 0028 ff27 0029			 30c7 30ab 30fc 30eb 306e 8272 0028 ff27 0029		
36	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E1C	u8	decalColor_B 	 30c7 30ab 30fc 30eb 306e 8272 0028 ff22 0029			 30c7 30ab 30fc 30eb 306e 8272 0028 ff22 0029		
37	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E30	u8	decalPosX	 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0078 0029			 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0078 0029		
38	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E44	u8	decalPosY	 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0079 0029			 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0079 0029		
39	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E58	u8	decalAngle	 30c7 30ab 30fc 30eb 89d2 5ea6			 30c7 30ab 30fc 30eb 89d2 5ea6		
40	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E66	u8	decalScale	 30c7 30ab 30fc 30eb 30b9 30b1 30fc 30eb			 30c7 30ab 30fc 30eb 30b9 30b1 30fc 30eb		
41	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E78	u8	chrBodyScaleHead	 30ad 30e3 30e9 4f53 578b 982d 90e8 30b9 30b1 30fc 30eb			 30ad 30e3 30e9 4f53 578b 982d 90e8 30b9 30b1 30fc 30eb		
42	paramdef/paramdef/64bit/FaceParam.paramdef	FACE_PARAM_ST	u8	%d	0x00008E90	u8	chrBodyScaleBreast	 30ad 30e3 30e9 4f53 578b 80f8 90e8 30b9 30b1 30fc 30eb			 30ad 30e3 30e9 4f53 578b 80f8 90e8 30b9 30b1 30fc 30eb		
