no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000076D8	f32	facePartsId	 9854 30d1 30fc 30c4 0049 0044			 9854 30d1 30fc 30c4 0049 0044		
2	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000076E6	f32	skinColor_R 	 808c 306e 8272 0028 ff32 0029			 808c 306e 8272 0028 ff32 0029		
3	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000076F4	f32	skinColor_G 	 808c 306e 8272 0028 ff27 0029			 808c 306e 8272 0028 ff27 0029		
4	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007702	f32	skinColor_B 	 808c 306e 8272 0028 ff22 0029			 808c 306e 8272 0028 ff22 0029		
5	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007710	f32	hairPartsId	 9aea 30d1 30fc 30c4 0049 0044			 9aea 30d1 30fc 30c4 0049 0044		
6	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x0000771E	f32	hairColor_R 	 9aea 306e 8272 0028 ff32 0029			 9aea 306e 8272 0028 ff32 0029		
7	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x0000772C	f32	hairColor_G 	 9aea 306e 8272 0028 ff27 0029			 9aea 306e 8272 0028 ff27 0029		
8	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x0000773A	f32	hairColor_B 	 9aea 306e 8272 0028 ff22 0029			 9aea 306e 8272 0028 ff22 0029		
9	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007748	f32	eyeLPartsId	 5de6 76ee 30d1 30fc 30c4 0049 0044			 5de6 76ee 30d1 30fc 30c4 0049 0044		
10	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007758	f32	eyeLColor_R	 5de6 76ee 306e 8272 0028 ff32 0029			 5de6 76ee 306e 8272 0028 ff32 0029		
11	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007768	f32	eyeLColor_G	 5de6 76ee 306e 8272 0028 ff27 0029			 5de6 76ee 306e 8272 0028 ff27 0029		
12	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007778	f32	eyeLColor_B	 5de6 76ee 306e 8272 0028 ff22 0029			 5de6 76ee 306e 8272 0028 ff22 0029		
13	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007788	f32	eyeRPartsId	 53f3 76ee 30d1 30fc 30c4 0049 0044			 53f3 76ee 30d1 30fc 30c4 0049 0044		
14	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007798	f32	eyeRColor_R	 53f3 76ee 306e 8272 0028 ff32 0029			 53f3 76ee 306e 8272 0028 ff32 0029		
15	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000077A8	f32	eyeRColor_G	 53f3 76ee 306e 8272 0028 ff27 0029			 53f3 76ee 306e 8272 0028 ff27 0029		
16	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000077B8	f32	eyeRColor_B	 53f3 76ee 306e 8272 0028 ff22 0029			 53f3 76ee 306e 8272 0028 ff22 0029		
17	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000077C8	f32	eyebrowPartsId	 7709 30d1 30fc 30c4 0049 0044			 7709 30d1 30fc 30c4 0049 0044		
18	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000077D6	f32	eyebrowColor_R 	 7709 306e 8272 0028 ff32 0029			 7709 306e 8272 0028 ff32 0029		
19	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000077E4	f32	eyebrowColor_G 	 7709 306e 8272 0028 ff27 0029			 7709 306e 8272 0028 ff27 0029		
20	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000077F2	f32	eyebrowColor_B 	 7709 306e 8272 0028 ff22 0029			 7709 306e 8272 0028 ff22 0029		
21	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007800	f32	eyelashPartsId	 307e 3064 3052 30d1 30fc 30c4 0049 0044			 307e 3064 3052 30d1 30fc 30c4 0049 0044		
22	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007812	f32	eyelashColor_R 	 307e 3064 3052 306e 8272 0028 ff32 0029			 307e 3064 3052 306e 8272 0028 ff32 0029		
23	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007824	f32	eyelashColor_G 	 307e 3064 3052 306e 8272 0028 ff27 0029			 307e 3064 3052 306e 8272 0028 ff27 0029		
24	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007836	f32	eyelashColor_B 	 307e 3064 3052 306e 8272 0028 ff22 0029			 307e 3064 3052 306e 8272 0028 ff22 0029		
25	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007848	f32	beardPartsId	 9aed 30d1 30fc 30c4 0049 0044			 9aed 30d1 30fc 30c4 0049 0044		
26	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007856	f32	beardColor_R 	 9aed 306e 8272 0028 ff32 0029			 9aed 306e 8272 0028 ff32 0029		
27	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007864	f32	beardColor_G 	 9aed 306e 8272 0028 ff27 0029			 9aed 306e 8272 0028 ff27 0029		
28	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007872	f32	beardColor_B 	 9aed 306e 8272 0028 ff22 0029			 9aed 306e 8272 0028 ff22 0029		
29	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007880	f32	accessoriesPartsId	 88c5 98fe 30d1 30fc 30c4 0049 0044			 88c5 98fe 30d1 30fc 30c4 0049 0044		
30	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007890	f32	accessoriesColor_R 	 88c5 98fe 306e 8272 0028 ff32 0029			 88c5 98fe 306e 8272 0028 ff32 0029		
31	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000078A0	f32	accessoriesColor_G 	 88c5 98fe 306e 8272 0028 ff27 0029			 88c5 98fe 306e 8272 0028 ff27 0029		
32	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000078B0	f32	accessoriesColor_B 	 88c5 98fe 306e 8272 0028 ff22 0029			 88c5 98fe 306e 8272 0028 ff22 0029		
33	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000078C0	f32	decalPartsId	 30c7 30ab 30fc 30eb 30d1 30fc 30c4 0049 0044			 30c7 30ab 30fc 30eb 30d1 30fc 30c4 0049 0044		
34	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000078D4	f32	decalColor_R 	 30c7 30ab 30fc 30eb 306e 8272 0028 ff32 0029			 30c7 30ab 30fc 30eb 306e 8272 0028 ff32 0029		
35	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000078E8	f32	decalColor_G 	 30c7 30ab 30fc 30eb 306e 8272 0028 ff27 0029			 30c7 30ab 30fc 30eb 306e 8272 0028 ff27 0029		
36	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000078FC	f32	decalColor_B 	 30c7 30ab 30fc 30eb 306e 8272 0028 ff22 0029			 30c7 30ab 30fc 30eb 306e 8272 0028 ff22 0029		
37	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007910	f32	decalPosX	 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0078 0029			 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0078 0029		
38	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007924	f32	decalPosY	 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0079 0029			 30c7 30ab 30fc 30eb 4f4d 7f6e 0028 0079 0029		
39	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007938	f32	decalAngle	 30c7 30ab 30fc 30eb 89d2 5ea6			 30c7 30ab 30fc 30eb 89d2 5ea6		
40	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007946	f32	decalScale	 30c7 30ab 30fc 30eb 30b9 30b1 30fc 30eb			 30c7 30ab 30fc 30eb 30b9 30b1 30fc 30eb		
41	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007958	f32	chrBodyScaleHead	 30ad 30e3 30e9 4f53 578b 982d 90e8 30b9 30b1 30fc 30eb			 30ad 30e3 30e9 4f53 578b 982d 90e8 30b9 30b1 30fc 30eb		
42	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007970	f32	chrBodyScaleBreast	 30ad 30e3 30e9 4f53 578b 80f8 90e8 30b9 30b1 30fc 30eb			 30ad 30e3 30e9 4f53 578b 80f8 90e8 30b9 30b1 30fc 30eb		
43	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x00007988	f32	chrBodyScaleAbdomen	 30ad 30e3 30e9 4f53 578b 8179 90e8 30b9 30b1 30fc 30eb			 30ad 30e3 30e9 4f53 578b 8179 90e8 30b9 30b1 30fc 30eb		
44	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000079A0	f32	chrBodyScaleArm	 30ad 30e3 30e9 4f53 578b 8155 90e8 30b9 30b1 30fc 30eb			 30ad 30e3 30e9 4f53 578b 8155 90e8 30b9 30b1 30fc 30eb		
45	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000079B8	f32	chrBodyScaleLeg	 30ad 30e3 30e9 4f53 578b 811a 90e8 30b9 30b1 30fc 30eb			 30ad 30e3 30e9 4f53 578b 811a 90e8 30b9 30b1 30fc 30eb		
46	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000079D0	f32	age	 5e74 9f62			 5e74 9f62		
47	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000079D6	f32	gender	 6027 5225			 6027 5225		
48	paramdef/paramdef/64bit/FaceRangeParam.paramdef	FACE_RANGE_PARAM_ST	f32	%d	0x000079DC	f32	caricatureGeometry	 8a87 5f35 ff08 30e2 30c7 30eb ff09			 8a87 5f35 ff08 30e2 30c7 30eb ff09		
