no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	s32	%d	0x00001148	s32	sortNo	 30bd 30fc 30c8 756a 53f7			 8868 793a 30bd 30fc 30c8 756a 53f7		
2	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	f32	%.2f	0x00001158	f32	manifestRate	 30ab 30c6 30b4 30ea 5225 51fa 73fe 7387			 30ab 30c6 30b4 30ea 5225 51fa 73fe 7387		
3	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	s32	%d	0x0000116A	s32	directionalId	 65b9 5411 6027 0049 0044			 65b9 5411 6027 0049 0044		
4	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	s32	%d	0x00001176	s32	cateGroupId	 30ab 30c6 30b4 30ea 30b0 30eb 30fc 30d7 0049 0044			 30ab 30c6 30b4 30ea 30b0 30eb 30fc 30d7 0049 0044		
5	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	s32	%d	0x0000118C	s32	excludeGroupId	 6392 4ed6 30b0 30eb 30fc 30d7 0049 0044			 6392 4ed6 30b0 30eb 30fc 30d7 0049 0044		
6	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x0000119E	EQUIP_GEN_PARAM_BOOL32	isNegative:1	 30de 30a4 30ca 30b9 52b9 679c 304b			 30de 30a4 30ca 30b9 52b9 679c 304b		
7	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x000011AE	EQUIP_GEN_PARAM_BOOL32	enableSlotTypeA:1	 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff21 51fa 73fe 53ef 80fd 002e			 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff21 51fa 73fe 53ef 80fd 002e		
8	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x000011CA	EQUIP_GEN_PARAM_BOOL32	enableSlotTypeB:1	 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff22 51fa 73fe 53ef 80fd 002e			 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff22 51fa 73fe 53ef 80fd 002e		
9	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x000011E6	EQUIP_GEN_PARAM_BOOL32	enableSlotTypeC:1	 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff23 51fa 73fe 53ef 80fd 002e			 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff23 51fa 73fe 53ef 80fd 002e		
10	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x00001202	EQUIP_GEN_PARAM_BOOL32	enableSlotTypeD:1	 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff24 51fa 73fe 53ef 80fd 002e			 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff24 51fa 73fe 53ef 80fd 002e		
11	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x0000121E	EQUIP_GEN_PARAM_BOOL32	enableSlotTypeE:1	 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff25 51fa 73fe 53ef 80fd 002e			 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff25 51fa 73fe 53ef 80fd 002e		
12	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x0000123A	EQUIP_GEN_PARAM_BOOL32	enableSlotTypeF:1	 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff26 51fa 73fe 53ef 80fd 002e			 30b9 30ed 30c3 30c8 30bf 30a4 30d7 ff26 51fa 73fe 53ef 80fd 002e		
13	paramdef/paramdef/64bit/GemCategoryParam.paramdef	GEM_CATEGORY_PARAM_ST	u32	%d	0x00001256	u32	holygrailTypeGroup:7	 8056 676f 30bf 30a4 30d7 30b0 30eb 30fc 30d7 0049 0044			 8056 676f 30bf 30a4 30d7 30b0 30eb 30fc 30d7 0049 0044		
