no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	s32	%d	0x00003D28	s32	logicId	 30ed 30b8 30c3 30af 30b9 30af 30ea 30d7 30c8 0049 0044			 30b9 30af 30ea 30d7 30c8 3067 4f5c 6210 3057 305f 30ed 30b8 30c3 30af 306e 0049 0044 3092 8a2d 5b9a 3057 307e 3059 3002		
2	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	s32	%d	0x00003D5A	s32	battleGoalID	 6226 95d8 30b4 30fc 30eb 0049 0044			 6226 95d8 30b4 30fc 30eb 0049 0044		
3	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	f32	%f	0x00003D6A	f32	nearDist	 8fd1 8ddd 96e2 0020 8ddd 96e2 005b 006d 005d			 8fd1 8ddd 96e2 3068 307f 306a 3059 7bc4 56f2 3067 3059 3002 8fd1 63a5 683c 95d8 306e 5224 5b9a 306b 4f7f 7528 3057 307e 3059 3002		
4	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	f32	%f	0x00003DA0	f32	midDist	 4e2d 8ddd 96e2 0020 8ddd 96e2 005b 006d 005d			 4e2d 8ddd 96e2 3068 307f 306a 3059 7bc4 56f2 3067 3059 3002 4e2d 8ddd 96e2 683c 95d8 306e 5224 5b9a 306b 4f7f 7528 3057 307e 3059 3002		
5	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	f32	%f	0x00003DD8	f32	farDist	 9060 8ddd 96e2 0020 8ddd 96e2 005b 006d 005d			 9060 8ddd 96e2 3068 307f 306a 3059 7bc4 56f2 3067 3059 3002 98db 3073 9053 5177 306e 5224 5b9a 306b 4f7f 7528 3057 307e 3059 3002		
6	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	f32	%f	0x00003E0E	f32	outDist	 7bc4 56f2 5916 0020 8ddd 96e2 005b 006d 005d			 6226 95d8 7bc4 56f2 5916 3068 307f 306a 3059 8ddd 96e2 3067 3059 3002 7bc4 56f2 5916 306e 6575 306b 306f 6226 95d8 884c 52d5 3092 884c 304a 3046 3068 306f 3057 306a 304f 306a 308a 307e 3059 3002		
7	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	f32	%f	0x00003E5E	f32	BackHomeLife_OnHitEneWal	 6575 58c1 63a5 89e6 6642 306e 0042 0061 0063 006b 0048 006f 006d 0065 6642 9593 005b 0073 0065 0063 005d			 30d6 30ed 30c3 30af 3092 3055 3048 304e 308b 6575 58c1 306b 63a5 89e6 3057 305f 3068 304d 3001 0042 0061 0063 006b 0054 006f 0048 006f 006d 0065 30b4 30fc 30eb 306e 5bff 547d		
8	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	s32	%d	0x00003EA6	s32	goalID_ToCaution	 30b4 30fc 30eb ff1a 8b66 6212 72b6 614b ff08 901a 5e38 97f3 ff09			 30b4 30fc 30eb ff1a 8b66 6212 72b6 614b ff08 901a 5e38 97f3 ff09		
9	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	s32	%d	0x00003EC2	s32	idAttackCannotMove	 52d5 3051 306a 304f 306a 3063 305f 3068 304d 306b 884c 3046 0045 007a 0053 0074 0061 0074 0065 756a 53f7			 7834 58ca 53ef 80fd 306a 30aa 30d6 30b8 30a7 30af 30c8 306b 3088 3063 3066 52d5 304d 304c 6b62 307e 3063 3066 3044 308b 5834 5408 3001 81ea 52d5 7684 306b 5b9f 884c 3059 308b 884c 52d5 3002		
10	/home/synt/misc/data/dlc/paramdef/NpcThinkParam.paramdef	NPC_THINK_PARAM_ST	s32	%d	0x00003F10	s32	goalID_ToFind	 30b4 30fc 30eb ff1a 767a 898b 72b6 614b			 30b4 30fc 30eb ff1a 767a 898b 72b6 614b		
