no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	s16	%d	0x000013B8	s16	hp	 0048 0050			 7834 58ca 307e 3067 306e 8010 4e45 529b 0028 002d 0031 003a 7834 58ca 4e0d 53ef 0029		
2	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	u16	%d	0x000013DC	u16	defense	 9632 5fa1 529b			 3053 306e 5024 4ee5 4e0b 306e 653b 6483 529b 306f 30c0 30e1 30fc 30b8 306a 3057		
3	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	s16	%d	0x000013FE	s16	extRefTexId	 5916 90e8 53c2 7167 30c6 30af 30b9 30c1 30e3 0049 0044			 006d 0041 0041 002f 006d 0041 0041 005f 003f 003f 003f 003f 002e 0074 0070 0066 0028 002d 0031 003a 306a 3057 0029 0028 0041 0041 003a 30a8 30ea 30a2 756a 53f7 0029		
4	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	s16	%d	0x00001442	s16	materialId	 6750 8cea 0049 0044			 30de 30c6 30ea 30a2 30eb 0049 0044 3002 5e8a 6750 8cea 3068 540c 3058 6271 3044 3002 002d 0031 306e 3068 304d 306f 4eca 307e 3067 3068 540c 3058 6319 52d5		
5	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	u8	%d	0x00001482	u8	animBreakIdMax	 30a2 30cb 30e1 7834 58ca 0049 0044 6700 5927 5024			 30a2 30cb 30e1 7834 58ca 0049 0044 304c 0030 756a 304b 3089 4f55 756a 307e 3067 304b		
6	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	u8	%d	0x000014A6	u8	isCamHit:1	 30ab 30e1 30e9 304c 5f53 305f 308b 304b			 30ab 30e1 30e9 304c 5f53 305f 308b 304b 0028 0030 003a 5f53 305f 3089 306a 3044 002c 0020 0031 003a 5f53 305f 308b 0029		
7	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	u8	%d	0x000014D8	u8	isBreakByPlayerCollide:1	 30d7 30ec 30a4 30e4 885d 7a81 3067 58ca 308c 308b 304b			 30d7 30ec 30a4 30e4 304c 63a5 89e6 3057 305f 3068 304d 306b 58ca 308c 0028 0030 003a 306a 3044 002c 0020 0031 003a 308b 0029		
8	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	u8	%d	0x0000150C	u8	isAnimBreak:1	 30a2 30cb 30e1 7834 58ca 304b			 30a2 30cb 30e1 7834 58ca 304b 0028 0030 003a 7269 7406 7834 58ca 002c 0020 0031 003a 30a2 30cb 30e1 7834 58ca 0029		
9	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	u8	%d	0x0000153C	u8	isPenetrationBulletHit:1	 8cab 901a 5f3e 4e38 304c 5f53 305f 308b 304b			 8cab 901a 5f3e 4e38 304c 5f53 305f 308b 304b 0028 0030 003a 5f53 305f 3089 306a 3044 002c 0020 0031 003a 5f53 305f 308b 0029		
10	paramdef/paramdef/64bit/ObjectParam.paramdef	OBJECT_PARAM_ST	u8	%d	0x00001570	u8	isChrHit:1	 30ad 30e3 30e9 304c 5f53 305f 308b 304b			 30ad 30e3 30e9 304c 5f53 305f 308b 304b 0028 0030 003a 5f53 305f 3089 306a 3044 002c 0020 0031 003a 5f53 305f 308b 0029		
