no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x000016F8	f32	physicsAtkRate	 7269 7406 653b 6483 529b 57fa 672c 5024			 7269 7406 653b 6483 529b 306e 88dc 6b63 5024		
2	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x0000170C	f32	magicAtkRate	 9b54 6cd5 653b 6483 529b 57fa 672c 5024			 9b54 6cd5 653b 6483 529b 306e 88dc 6b63 5024		
3	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x00001720	f32	fireAtkRate	 708e 653b 6483 529b 57fa 672c 5024			 708e 653b 6483 529b 306e 88dc 6b63 5024		
4	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x00001732	f32	thunderAtkRate	 96fb 6483 653b 6483 529b 57fa 672c 5024			 96fb 6483 653b 6483 529b 306e 88dc 6b63 5024		
5	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x00001746	f32	staminaAtkRate	 30b9 30bf 30df 30ca 653b 6483 529b			 30b9 30bf 30df 30ca 653b 6483 529b 306e 88dc 6b63 5024		
6	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x0000175E	f32	saWeaponAtkRate	 0053 0041 6b66 5668 653b 6483 529b			 30b9 30fc 30d1 30fc 30a2 30fc 30de 30fc 6b66 5668 653b 6483 8272 306e 88dc 6b63 5024		
7	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x00001782	f32	saDurabilityRate	 0053 0041 8010 4e45 5024			 0053 0041 8010 4e45 529b 306e 88dc 6b63 5024		
8	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x00001796	f32	correctStrengthRate	 7b4b 529b 88dc 6b63			 7b4b 529b 88dc 6b63 306e 88dc 6b63 5024		
9	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x000017A8	f32	correctAgilityRate	 4fca 654f 88dc 6b63			 4fca 654f 88dc 6b63 306e 88dc 6b63 5024		
10	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x000017BA	f32	correctMagicRate	 9b54 529b 88dc 6b63			 9b54 529b 88dc 6b63 306e 88dc 6b63 5024		
11	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x000017CC	f32	correctFaithRate	 4fe1 4ef0 88dc 6b63			 4fe1 4ef0 88dc 6b63 306e 88dc 6b63 5024		
12	/home/synt/misc/data/dlc/paramdef/ReinforceParamWeapon.paramdef	REINFORCE_PARAM_WEAPON_ST	f32	%.2f	0x000017DE	f32	physicsGuardCutRate	 30ac 30fc 30c9 6642 7269 7406 653b 6483 30ab 30c3 30c8 7387			 30ac 30fc 30c9 6642 7269 7406 653b 6483 30ab 30c3 30c8 7387 306e 88dc 6b63 5024		
