no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	f32	%f	0x00001558	f32	neckTurnGain	 f18e 5590 e882 5183 4383 9383			 f18e 5590 e882 5183 4383 9383 4281 828d a282 d982 c782 8191 ad82 f189 e982 8c00 93b4 825f 82a9 92e7 966e 82ca 82d6 8dcc 8282 5bb3 6d63 005d ab91 f18e f082 e38f b082 e782 ea82 e982 c58d e192 cc82 828d b382 635b 5d6d 9100 8eab 82f1 8ff0 82e3 82b0 82e7 82ea 8de9 91c5 82e5 8dcc 8282 5bb3 6d63 005d d082 b482 f082 c88b b082 e782 ea82 e982 c58d e591 cc82 708a 7893 8328 8352 8354 8343 8293 92cc 296c 8200 82d0 82b4 8bf0 82c8 82b0 82e7 82ea 8de9 8fc5 82ac 8acc 9370 0078 ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 e192 a282 ea8f 878d c982 cd82 ab91 aa82 ad82 c182 c282 a282 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82aa 82b1 88cc 92ca 8275 82e6 82e8 8de0 8282 8fa2 8dea 8287 82c9 91cd 82ab 97aa 82a3 82ea 82c4 82a2 82e9 89c6 92bc 82e8 82b7 5be9 6d63 005d ab91 f18e e682 e882 c782 ea82 ae82 e782 a282 e38f a982 e782 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 9100 8eab 82f1 82a9 82e7 82c7 82ea 82ae 82e7 89a2 82ba 82dc 83c5 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d c282 dc82 e690 ca88 7592 5b58 6d63 005d c282 dc82 e690 ca88 7592 5b59 6d63 005d c282 dc82 e690 ca88 7592 5b5a 6d63 005d ab91 cc82 da90 6e92 f082 4983 9383 4983 7483 b782 e982 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 828d ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 e192 ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 e38f aa82 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 da90 6e92 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 8d83 6283 4e83 832f 8341 8393 838d 8362 824e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 8200 82d0 82b4 8ecc 95b2 8cfb 00fc ab91 912f 8eab 82f1 83f0 838d 8362 814e 8c69 92c5 81e8 8148 826a 82b7 82e9 00a9 ab91 cc82 da90 6e92 aa82 4c97 f88c a982 8200 82d0 82cb 97e8 8270 82d0 8ab4 90d6 82df 89cc 93f1 825d 96f0 8eb3 828b 82b7 8ee9 95b2 8cfb 00fc e192 a282 d982 c782 e690 c982 f189 e982 4281 312d c582 f18e 5590 e882 b582 c882 a282 8200 82b1 8acc 90d6 82df 8dcc 91c5 90e5 89f9 8af1 9370 8178 8242 82b1 8acc 9370 8878 8fc8 82e3 82cd 82dc 82aa 82e7 82c8 00a2		
2	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x00001577	s16	originalGroundHeightMS	 b48c 5f93 a982 e782 6e92 ca96 d682 cc82 828d b382 635b 5d6d			 b48c 5f93 a982 e782 6e92 ca96 d682 cc82 828d b382 635b 5d6d 9100 8eab 82f1 8ff0 82e3 82b0 82e7 82ea 8de9 92c5 82e1 8dcc 8282 5bb3 6d63 005d ab91 f18e f082 e38f b082 e782 ea82 e982 c58d e591 cc82 828d b382 635b 5d6d 8200 82d0 82b4 8bf0 82c8 82b0 82e7 82ea 8de9 91c5 82e5 8acc 9370 2878 5283 5483 4383 9383 cc82 6c92 0029 d082 b482 f082 c88b b082 e782 ea82 e982 c58d ac8f cc82 708a 7893 9100 8eab 82f1 82aa 82b1 88cc 92ca 8275 82e6 82e8 92e0 82e1 8fa2 8dea 8287 82c9 91cd 82ab 82aa 82ad 82c1 82c2 82a2 82c4 82a2 82e9 89c6 92bc 82e8 82b7 5be9 6d63 005d ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 828d a282 ea8f 878d c982 cd82 ab91 aa82 a397 ea82 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82e6 82e8 82c7 82ea 82ae 82e7 8fa2 82e3 82a9 83e7 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d ab91 f18e a982 e782 c782 ea82 ae82 e782 a282 ba89 dc82 c582 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 8200 82c2 90dc 88e6 92ca 5875 635b 5d6d 8200 82c2 90dc 88e6 92ca 5975 635b 5d6d 8200 82c2 90dc 88e6 92ca 5a75 635b 5d6d 9100 82ab 90cc 92da 826e 83f0 8349 8393 8349 8274 82b7 82e9 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 8daa 8282 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 92aa 82e1 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 8faa 82e3 82aa 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 90aa 92da 826e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 83aa 838d 8362 2f4e 4183 9383 8d83 6283 4e83 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d d082 b482 cc82 b28e fb95 fc8c 9100 2fab ab91 f18e f082 8d83 6283 4e83 6981 c58c e892 4881 6a81 b782 e982 a982 9100 82ab 90cc 92da 826e 97aa 8c4c 82f8 00a9 d082 cb82 e882 7097 d082 b482 d68a df90 cc82 f189 5d93 f082 b396 8b8e b782 e982 b28e fb95 fc8c 9200 82e1 82a2 82d9 90c7 82e6 89c9 82f1 81e9 2d42 8231 8ec5 90f1 8255 82e8 82b5 82c8 00a2 b182 cc82 d68a df90 cc82 c58d e591 f990 f189 708a 7893 4281 b182 cc82 708a 7893 c888 e38f cd82 dc82 aa82 e782 c882 a282		
3	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x00001590	s16	minAnkleHeightMS	 ab91 f18e f082 e38f b082 e782 ea82 e982 c58d e192 cc82 828d b382 635b 5d6d			 ab91 f18e f082 e38f b082 e782 ea82 e982 c58d e192 cc82 828d b382 635b 5d6d 9100 8eab 82f1 8ff0 82e3 82b0 82e7 82ea 8de9 91c5 82e5 8dcc 8282 5bb3 6d63 005d d082 b482 f082 c88b b082 e782 ea82 e982 c58d e591 cc82 708a 7893 8328 8352 8354 8343 8293 92cc 296c 8200 82d0 82b4 8bf0 82c8 82b0 82e7 82ea 8de9 8fc5 82ac 8acc 9370 0078 ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 e192 a282 ea8f 878d c982 cd82 ab91 aa82 ad82 c182 c282 a282 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82aa 82b1 88cc 92ca 8275 82e6 82e8 8de0 8282 8fa2 8dea 8287 82c9 91cd 82ab 97aa 82a3 82ea 82c4 82a2 82e9 89c6 92bc 82e8 82b7 5be9 6d63 005d ab91 f18e e682 e882 c782 ea82 ae82 e782 a282 e38f a982 e782 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 9100 8eab 82f1 82a9 82e7 82c7 82ea 82ae 82e7 89a2 82ba 82dc 83c5 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d c282 dc82 e690 ca88 7592 5b58 6d63 005d c282 dc82 e690 ca88 7592 5b59 6d63 005d c282 dc82 e690 ca88 7592 5b5a 6d63 005d ab91 cc82 da90 6e92 f082 4983 9383 4983 7483 b782 e982 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 828d ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 e192 ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 e38f aa82 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 da90 6e92 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 8d83 6283 4e83 832f 8341 8393 838d 8362 824e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 8200 82d0 82b4 8ecc 95b2 8cfb 00fc ab91 912f 8eab 82f1 83f0 838d 8362 814e 8c69 92c5 81e8 8148 826a 82b7 82e9 00a9 ab91 cc82 da90 6e92 aa82 4c97 f88c a982 8200 82d0 82cb 97e8 8270 82d0 8ab4 90d6 82df 89cc 93f1 825d 96f0 8eb3 828b 82b7 8ee9 95b2 8cfb 00fc e192 a282 d982 c782 e690 c982 f189 e982 4281 312d c582 f18e 5590 e882 b582 c882 a282 8200 82b1 8acc 90d6 82df 8dcc 91c5 90e5 89f9 8af1 9370 8178 8242 82b1 8acc 9370 8878 8fc8 82e3 82cd 82dc 82aa 82e7 82c8 00a2		
4	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x000015AF	s16	maxAnkleHeightMS	 ab91 f18e f082 e38f b082 e782 ea82 e982 c58d e591 cc82 828d b382 635b 5d6d			 ab91 f18e f082 e38f b082 e782 ea82 e982 c58d e591 cc82 828d b382 635b 5d6d 8200 82d0 82b4 8bf0 82c8 82b0 82e7 82ea 8de9 91c5 82e5 8acc 9370 2878 5283 5483 4383 9383 cc82 6c92 0029 d082 b482 f082 c88b b082 e782 ea82 e982 c58d ac8f cc82 708a 7893 9100 8eab 82f1 82aa 82b1 88cc 92ca 8275 82e6 82e8 92e0 82e1 8fa2 8dea 8287 82c9 91cd 82ab 82aa 82ad 82c1 82c2 82a2 82c4 82a2 82e9 89c6 92bc 82e8 82b7 5be9 6d63 005d ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 828d a282 ea8f 878d c982 cd82 ab91 aa82 a397 ea82 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82e6 82e8 82c7 82ea 82ae 82e7 8fa2 82e3 82a9 83e7 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d ab91 f18e a982 e782 c782 ea82 ae82 e782 a282 ba89 dc82 c582 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 8200 82c2 90dc 88e6 92ca 5875 635b 5d6d 8200 82c2 90dc 88e6 92ca 5975 635b 5d6d 8200 82c2 90dc 88e6 92ca 5a75 635b 5d6d 9100 82ab 90cc 92da 826e 83f0 8349 8393 8349 8274 82b7 82e9 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 8daa 8282 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 92aa 82e1 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 8faa 82e3 82aa 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 90aa 92da 826e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 83aa 838d 8362 2f4e 4183 9383 8d83 6283 4e83 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d d082 b482 cc82 b28e fb95 fc8c 9100 2fab ab91 f18e f082 8d83 6283 4e83 6981 c58c e892 4881 6a81 b782 e982 a982 9100 82ab 90cc 92da 826e 97aa 8c4c 82f8 00a9 d082 cb82 e882 7097 d082 b482 d68a df90 cc82 f189 5d93 f082 b396 8b8e b782 e982 b28e fb95 fc8c 9200 82e1 82a2 82d9 90c7 82e6 89c9 82f1 81e9 2d42 8231 8ec5 90f1 8255 82e8 82b5 82c8 00a2 b182 cc82 d68a df90 cc82 c58d e591 f990 f189 708a 7893 4281 b182 cc82 708a 7893 c888 e38f cd82 dc82 aa82 e782 c882 a282		
5	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x000015CE	s16	cosineMaxKneeAngle	 d082 b482 f082 c88b b082 e782 ea82 e982 c58d e591 cc82 708a 7893 8328 8352 8354 8343 8293 92cc 296c			 d082 b482 f082 c88b b082 e782 ea82 e982 c58d e591 cc82 708a 7893 8328 8352 8354 8343 8293 92cc 296c 8200 82d0 82b4 8bf0 82c8 82b0 82e7 82ea 8de9 8fc5 82ac 8acc 9370 0078 ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 e192 a282 ea8f 878d c982 cd82 ab91 aa82 ad82 c182 c282 a282 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82aa 82b1 88cc 92ca 8275 82e6 82e8 8de0 8282 8fa2 8dea 8287 82c9 91cd 82ab 97aa 82a3 82ea 82c4 82a2 82e9 89c6 92bc 82e8 82b7 5be9 6d63 005d ab91 f18e e682 e882 c782 ea82 ae82 e782 a282 e38f a982 e782 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 9100 8eab 82f1 82a9 82e7 82c7 82ea 82ae 82e7 89a2 82ba 82dc 83c5 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d c282 dc82 e690 ca88 7592 5b58 6d63 005d c282 dc82 e690 ca88 7592 5b59 6d63 005d c282 dc82 e690 ca88 7592 5b5a 6d63 005d ab91 cc82 da90 6e92 f082 4983 9383 4983 7483 b782 e982 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 828d ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 e192 ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 e38f aa82 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 da90 6e92 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 8d83 6283 4e83 832f 8341 8393 838d 8362 824e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 8200 82d0 82b4 8ecc 95b2 8cfb 00fc ab91 912f 8eab 82f1 83f0 838d 8362 814e 8c69 92c5 81e8 8148 826a 82b7 82e9 00a9 ab91 cc82 da90 6e92 aa82 4c97 f88c a982 8200 82d0 82cb 97e8 8270 82d0 8ab4 90d6 82df 89cc 93f1 825d 96f0 8eb3 828b 82b7 8ee9 95b2 8cfb 00fc e192 a282 d982 c782 e690 c982 f189 e982 4281 312d c582 f18e 5590 e882 b582 c882 a282 8200 82b1 8acc 90d6 82df 8dcc 91c5 90e5 89f9 8af1 9370 8178 8242 82b1 8acc 9370 8878 8fc8 82e3 82cd 82dc 82aa 82e7 82c8 00a2		
6	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x000015F7	s16	cosineMinKneeAngle	 d082 b482 f082 c88b b082 e782 ea82 e982 c58d ac8f cc82 708a 7893			 d082 b482 f082 c88b b082 e782 ea82 e982 c58d ac8f cc82 708a 7893 9100 8eab 82f1 82aa 82b1 88cc 92ca 8275 82e6 82e8 92e0 82e1 8fa2 8dea 8287 82c9 91cd 82ab 82aa 82ad 82c1 82c2 82a2 82c4 82a2 82e9 89c6 92bc 82e8 82b7 5be9 6d63 005d ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 828d a282 ea8f 878d c982 cd82 ab91 aa82 a397 ea82 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82e6 82e8 82c7 82ea 82ae 82e7 8fa2 82e3 82a9 83e7 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d ab91 f18e a982 e782 c782 ea82 ae82 e782 a282 ba89 dc82 c582 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 8200 82c2 90dc 88e6 92ca 5875 635b 5d6d 8200 82c2 90dc 88e6 92ca 5975 635b 5d6d 8200 82c2 90dc 88e6 92ca 5a75 635b 5d6d 9100 82ab 90cc 92da 826e 83f0 8349 8393 8349 8274 82b7 82e9 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 8daa 8282 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 92aa 82e1 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 8faa 82e3 82aa 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 90aa 92da 826e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 83aa 838d 8362 2f4e 4183 9383 8d83 6283 4e83 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d d082 b482 cc82 b28e fb95 fc8c 9100 2fab ab91 f18e f082 8d83 6283 4e83 6981 c58c e892 4881 6a81 b782 e982 a982 9100 82ab 90cc 92da 826e 97aa 8c4c 82f8 00a9 d082 cb82 e882 7097 d082 b482 d68a df90 cc82 f189 5d93 f082 b396 8b8e b782 e982 b28e fb95 fc8c 9200 82e1 82a2 82d9 90c7 82e6 89c9 82f1 81e9 2d42 8231 8ec5 90f1 8255 82e8 82b5 82c8 00a2 b182 cc82 d68a df90 cc82 c58d e591 f990 f189 708a 7893 4281 b182 cc82 708a 7893 c888 e38f cd82 dc82 aa82 e782 c882 a282		
7	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x00001612	s16	footPlantedAnkleHeightMS	 ab91 f18e aa82 ad82 c182 c282 a282 c482 a282 e982 c682 bc89 e892 b782 e982 c58d e192 ca88 7592 635b 5d6d			 ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 e192 a282 ea8f 878d c982 cd82 ab91 aa82 ad82 c182 c282 a282 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82aa 82b1 88cc 92ca 8275 82e6 82e8 8de0 8282 8fa2 8dea 8287 82c9 91cd 82ab 97aa 82a3 82ea 82c4 82a2 82e9 89c6 92bc 82e8 82b7 5be9 6d63 005d ab91 f18e e682 e882 c782 ea82 ae82 e782 a282 e38f a982 e782 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 9100 8eab 82f1 82a9 82e7 82c7 82ea 82ae 82e7 89a2 82ba 82dc 83c5 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d c282 dc82 e690 ca88 7592 5b58 6d63 005d c282 dc82 e690 ca88 7592 5b59 6d63 005d c282 dc82 e690 ca88 7592 5b5a 6d63 005d ab91 cc82 da90 6e92 f082 4983 9383 4983 7483 b782 e982 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 828d ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 e192 ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 e38f aa82 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 da90 6e92 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 8d83 6283 4e83 832f 8341 8393 838d 8362 824e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 8200 82d0 82b4 8ecc 95b2 8cfb 00fc ab91 912f 8eab 82f1 83f0 838d 8362 814e 8c69 92c5 81e8 8148 826a 82b7 82e9 00a9 ab91 cc82 da90 6e92 aa82 4c97 f88c a982 8200 82d0 82cb 97e8 8270 82d0 8ab4 90d6 82df 89cc 93f1 825d 96f0 8eb3 828b 82b7 8ee9 95b2 8cfb 00fc e192 a282 d982 c782 e690 c982 f189 e982 4281 312d c582 f18e 5590 e882 b582 c882 a282 8200 82b1 8acc 90d6 82df 8dcc 91c5 90e5 89f9 8af1 9370 8178 8242 82b1 8acc 9370 8878 8fc8 82e3 82cd 82dc 82aa 82e7 82c8 00a2		
8	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x00001653	s16	footRaisedAnkleHeightMS	 ab91 f18e aa82 a397 ea82 c482 a282 e982 c682 bc89 e892 b782 e982 c58d 828d ca88 7592 635b 5d6d			 ab91 f18e aa82 b182 cc82 ca88 7592 e682 e882 e082 828d a282 ea8f 878d c982 cd82 ab91 aa82 a397 ea82 c482 a282 e982 c682 bc89 e892 b782 e982 635b 5d6d 9100 8eab 82f1 82e6 82e8 82c7 82ea 82ae 82e7 8fa2 82e3 82a9 83e7 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d ab91 f18e a982 e782 c782 ea82 ae82 e782 a282 ba89 dc82 c582 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 8200 82c2 90dc 88e6 92ca 5875 635b 5d6d 8200 82c2 90dc 88e6 92ca 5975 635b 5d6d 8200 82c2 90dc 88e6 92ca 5a75 635b 5d6d 9100 82ab 90cc 92da 826e 83f0 8349 8393 8349 8274 82b7 82e9 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 8daa 8282 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 92aa 82e1 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 8faa 82e3 82aa 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 90aa 92da 826e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 83aa 838d 8362 2f4e 4183 9383 8d83 6283 4e83 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d d082 b482 cc82 b28e fb95 fc8c 9100 2fab ab91 f18e f082 8d83 6283 4e83 6981 c58c e892 4881 6a81 b782 e982 a982 9100 82ab 90cc 92da 826e 97aa 8c4c 82f8 00a9 d082 cb82 e882 7097 d082 b482 d68a df90 cc82 f189 5d93 f082 b396 8b8e b782 e982 b28e fb95 fc8c 9200 82e1 82a2 82d9 90c7 82e6 89c9 82f1 81e9 2d42 8231 8ec5 90f1 8255 82e8 82b5 82c8 00a2 b182 cc82 d68a df90 cc82 c58d e591 f990 f189 708a 7893 4281 b182 cc82 708a 7893 c888 e38f cd82 dc82 aa82 e782 c882 a282		
9	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x00001690	s16	raycastDistanceUp	 ab91 f18e e682 e882 c782 ea82 ae82 e782 a282 e38f a982 e782 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d			 ab91 f18e e682 e882 c782 ea82 ae82 e782 a282 e38f a982 e782 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 9100 8eab 82f1 82a9 82e7 82c7 82ea 82ae 82e7 89a2 82ba 82dc 83c5 838c 8343 834c 8383 8358 8267 82b7 82e9 5ba9 6d63 005d c282 dc82 e690 ca88 7592 5b58 6d63 005d c282 dc82 e690 ca88 7592 5b59 6d63 005d c282 dc82 e690 ca88 7592 5b5a 6d63 005d ab91 cc82 da90 6e92 f082 4983 9383 4983 7483 b782 e982 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 828d ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d 6e92 ca96 cc82 828d b382 aa82 e192 ad82 c882 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 e38f aa82 c182 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 da90 6e92 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d ab91 aa82 8d83 6283 4e83 832f 8341 8393 838d 8362 824e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 8200 82d0 82b4 8ecc 95b2 8cfb 00fc ab91 912f 8eab 82f1 83f0 838d 8362 814e 8c69 92c5 81e8 8148 826a 82b7 82e9 00a9 ab91 cc82 da90 6e92 aa82 4c97 f88c a982 8200 82d0 82cb 97e8 8270 82d0 8ab4 90d6 82df 89cc 93f1 825d 96f0 8eb3 828b 82b7 8ee9 95b2 8cfb 00fc e192 a282 d982 c782 e690 c982 f189 e982 4281 312d c582 f18e 5590 e882 b582 c882 a282 8200 82b1 8acc 90d6 82df 8dcc 91c5 90e5 89f9 8af1 9370 8178 8242 82b1 8acc 9370 8878 8fc8 82e3 82cd 82dc 82aa 82e7 82c8 00a2		
10	paramdef/paramdef/64bit/SkeletonParam.paramdef	SKELETON_PARAM_ST	s16	%d	0x000016BF	s16	raycastDistanceDown	 ab91 f18e a982 e782 c782 ea82 ae82 e782 a282 ba89 dc82 c582 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d			 ab91 f18e a982 e782 c782 ea82 ae82 e782 a282 ba89 dc82 c582 8c83 4383 4c83 8383 5883 6783 b782 e982 a982 635b 5d6d 8200 82c2 90dc 88e6 92ca 5875 635b 5d6d 8200 82c2 90dc 88e6 92ca 5975 635b 5d6d 8200 82c2 90dc 88e6 92ca 5a75 635b 5d6d 9100 82ab 90cc 92da 826e 83f0 8349 8393 8349 8274 82b7 82e9 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 8daa 8282 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9200 966e 82ca 8dcc 8282 82b3 92aa 82e1 82ad 82c8 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 8faa 82e3 82aa 82c1 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 90aa 92da 826e 82b5 82bd 82c6 82ab 83cc 8351 8343 5b93 2f31 3031 5d30 9100 82ab 83aa 838d 8362 2f4e 4183 9383 8d83 6283 4e83 b582 bd82 c682 ab82 cc82 5183 4383 9383 315b 312f 3030 005d d082 b482 cc82 b28e fb95 fc8c 9100 2fab ab91 f18e f082 8d83 6283 4e83 6981 c58c e892 4881 6a81 b782 e982 a982 9100 82ab 90cc 92da 826e 97aa 8c4c 82f8 00a9 d082 cb82 e882 7097 d082 b482 d68a df90 cc82 f189 5d93 f082 b396 8b8e b782 e982 b28e fb95 fc8c 9200 82e1 82a2 82d9 90c7 82e6 89c9 82f1 81e9 2d42 8231 8ec5 90f1 8255 82e8 82b5 82c8 00a2 b182 cc82 d68a df90 cc82 c58d e591 f990 f189 708a 7893 4281 b182 cc82 708a 7893 c888 e38f cd82 dc82 aa82 e782 c882 a282		
