no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	s32	%d	0x0000B978	s32	iconId	 30a2 30a4 30b3 30f3 0049 0044			 30a2 30a4 30b3 30f3 0049 0044 0028 002d 0031 306e 6642 306f 3001 30a2 30a4 30b3 30f3 5fc5 8981 306a 3057 0029		
2	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000B9A6	f32	conditionHp	 767a 52d5 6761 4ef6 3000 6b8b 308a 0048 0050 6bd4 7387 005b 0025 005d			 6b8b 308a 0048 0050 304c 3001 006d 0061 0078 0048 0050 306e 4f55 0025 306b 306a 3063 305f 3089 767a 52d5 3059 308b 304b 3092 8a2d 5b9a		
3	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000B9DE	f32	effectEndurance	 52b9 679c 6301 7d9a 6642 9593 3000 6642 9593 005b 0073 005d			 5909 5316 6301 7d9a 6642 9593 3000 002f 002d 0031 3067 6c38 7d9a 0020 002f 0030 3067 77ac 9593 0031 56de 9650 308a		
4	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BA0E	f32	motionInterval	 767a 52d5 9593 9694 005b 0073 005d			 4f55 79d2 9593 9694 3067 767a 751f 3059 308b 306e 304b 3092 8a2d 5b9a		
5	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BA2C	f32	maxHpRate	 6700 5927 0048 0050 500d 7387 005b 0025 005d			 6700 5927 0048 0050 306b 88dc 6b63 3092 304b 3051 308b		
6	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BA44	f32	maxMpRate	 6700 5927 004d 0050 500d 7387 005b 0025 005d			 6700 5927 004d 0050 306b 88dc 6b63 3092 304b 3051 308b		
7	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BA5C	f32	maxStaminaRate	 6700 5927 30b9 30bf 30df 30ca 500d 7387 005b 0025 005d			 6700 5927 0053 0050 306b 88dc 6b63 3092 304b 3051 308b		
8	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BA74	f32	slashDamageCutRate	 9632 5fa1 5074 ff1a 65ac 6483 30c0 30e1 30fc 30b8 500d 7387			 65ac 6483 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
9	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BABA	f32	blowDamageCutRate	 9632 5fa1 5074 ff1a 6253 6483 30c0 30e1 30fc 30b8 500d 7387			 6253 6483 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
10	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BB00	f32	thrustDamageCutRate	 9632 5fa1 5074 ff1a 523a 7a81 30c0 30e1 30fc 30b8 500d 7387			 523a 7a81 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
11	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BB46	f32	neutralDamageCutRate	 9632 5fa1 5074 ff1a 7121 5c5e 6027 30c0 30e1 30fc 30b8 500d 7387			 7121 5c5e 6027 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
12	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BB8E	f32	magicDamageCutRate	 9632 5fa1 5074 ff1a 9b54 6cd5 30c0 30e1 30fc 30b8 500d 7387			 9b54 6cd5 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
13	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BBD4	f32	fireDamageCutRate	 9632 5fa1 5074 ff1a 708e 30c0 30e1 30fc 30b8 500d 7387			 708e 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
14	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BC18	f32	thunderDamageCutRate	 9632 5fa1 5074 ff1a 96fb 6483 30c0 30e1 30fc 30b8 500d 7387			 708e 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
15	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BC5C	f32	physicsAttackRate	 653b 6483 5074 ff1a 7269 7406 30c0 30e1 30fc 30b8 500d 7387			 7269 7406 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
16	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BCA2	f32	magicAttackRate	 653b 6483 5074 ff1a 9b54 6cd5 30c0 30e1 30fc 30b8 500d 7387			 9b54 6cd5 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
17	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BCE8	f32	fireAttackRate	 653b 6483 5074 ff1a 708e 30c0 30e1 30fc 30b8 500d 7387			 708e 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
18	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BD2C	f32	thunderAttackRate	 653b 6483 5074 ff1a 96fb 6483 30c0 30e1 30fc 30b8 500d 7387			 96fb 6483 30c0 30e1 30fc 30b8 500d 7387 ff1a 7b97 51fa 3057 305f 30c0 30e1 30fc 30b8 306b 00d7 25cb 500d 3067 88dc 6b63 3092 304b 3051 308b 3002 ff11 304c 901a 5e38 3002		
19	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BD72	f32	physicsAttackPowerRate	 7269 7406 653b 6483 529b 500d 7387			 7269 7406 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
20	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BD96	f32	magicAttackPowerRate	 9b54 6cd5 653b 6483 529b 500d 7387			 9b54 6cd5 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
21	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BDBA	f32	fireAttackPowerRate	 708e 653b 6483 529b 500d 7387			 708e 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
22	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BDDC	f32	thunderAttackPowerRate	 96fb 6483 653b 6483 529b 500d 7387			 96fb 6483 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
23	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	s32	%d	0x0000BE00	s32	physicsAttackPower	 7269 7406 653b 6483 529b 005b 0070 006f 0069 006e 0074 005d			 7269 7406 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 52a0 6e1b 7b97 3059 308b		
24	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	s32	%d	0x0000BE26	s32	magicAttackPower	 9b54 6cd5 653b 6483 529b 005b 0070 006f 0069 006e 0074 005d			 9b54 6cd5 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 52a0 6e1b 7b97 3059 308b		
25	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	s32	%d	0x0000BE4C	s32	fireAttackPower	 708e 653b 6483 529b 005b 0070 006f 0069 006e 0074 005d			 708e 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 52a0 6e1b 7b97 3059 308b		
26	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	s32	%d	0x0000BE70	s32	thunderAttackPower	 96fb 6483 653b 6483 529b 005b 0070 006f 0069 006e 0074 005d			 96fb 6483 653b 6483 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 52a0 6e1b 7b97 3059 308b		
27	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BE96	f32	physicsDiffenceRate	 7269 7406 9632 5fa1 529b 500d 7387			 7269 7406 9632 5fa1 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
28	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BEBA	f32	magicDiffenceRate	 9b54 6cd5 9632 5fa1 529b 500d 7387			 9b54 6cd5 9632 5fa1 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
29	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BEDE	f32	fireDiffenceRate	 708e 9632 5fa1 529b 500d 7387			 708e 9632 5fa1 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
30	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	f32	%f	0x0000BF00	f32	thunderDiffenceRate	 96fb 6483 9632 5fa1 529b 500d 7387			 96fb 6483 9632 5fa1 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 304b 3051 307e 3059		
31	paramdef/paramdef/64bit/SpEffect.paramdef	SP_EFFECT_PARAM_ST	s32	%d	0x0000BF24	s32	physicsDiffence	 7269 7406 9632 5fa1 529b 005b 0070 006f 0069 006e 0074 005d			 7269 7406 9632 5fa1 529b 306b 8a2d 5b9a 3057 305f 6570 5024 3092 52a0 6e1b 7b97 3059 308b		
