no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	s16	%d	0x00001968	s16	commonCapsuleBeginDmyId	 5171 901a 003a 767a 751f 6e90 30c0 30df 30dd 30ea 756a 53f7 0031			 5171 901a 003a 767a 751f 6e90 30c0 30df 30dd 30ea 756a 53f7 0031		
2	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	s16	%d	0x00001984	s16	commonCapsuleEndDmyId	 5171 901a 003a 767a 751f 6e90 30c0 30df 30dd 30ea 756a 53f7 0032			 5171 901a 003a 767a 751f 6e90 30c0 30df 30dd 30ea 756a 53f7 0032		
3	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	f32	%0.1f	0x000019A0	f32	commonCapsuleRadius	 5171 901a 003a 767a 751f 6e90 534a 5f84 005b 006d 005d			 5171 901a 003a 767a 751f 6e90 534a 5f84 005b 006d 005d		
4	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	dummy8		0x000019B8	dummy8	commonReserve[120]	 4e88 7d04			 4e88 7d04		
5	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	u8	%d	0x000019BE	u8	sfxWindEnable:1	 ff33 ff26 ff38 98a8 304c 6709 52b9 304b			 ff33 ff26 ff38 98a8 304c 6709 52b9 304b		
6	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	u8	%d	0x000019D0	u8	sfxIgnorePlayerSfx:1	 30d7 30ec 30a4 30e4 ff33 ff26 ff38 7121 8996 304b			 30d7 30ec 30a4 30e4 ff33 ff26 ff38 7121 8996 304b		
7	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	u8	%d	0x000019E6	u8	sfxIsCollision:1	 ff33 ff26 ff38 30b3 30ea 30b8 30e7 30f3 304b			 ff33 ff26 ff38 30b3 30ea 30b8 30e7 30f3 304b		
8	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	dummy8		0x000019FA	dummy8	sfxPad_0[3]	 30d1 30c7 30a3 30f3 30b0			 30d1 30c7 30a3 30f3 30b0		
9	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	f32	%0.1f	0x00001A06	f32	sfxDirPitchMin	 ff33 ff26 ff38 003a 6700 5c0f 0050 0069 0074 0063 0068 005b 5ea6 005d			 ff33 ff26 ff38 003a 6700 5c0f 0050 0069 0074 0063 0068 005b 5ea6 005d		
10	/home/synt/misc/data/dlc/paramdef/WindParam.paramdef	WIND_PARAM_ST	f32	%0.1f	0x00001A24	f32	sfxDirPitchMax	 ff33 ff26 ff38 003a 6700 5927 0050 0069 0074 0063 0068 005b 5ea6 005d			 ff33 ff26 ff38 003a 6700 5927 0050 0069 0074 0063 0068 005b 5ea6 005d		
