infoStartAddr:	0x4540
numEntries:	0xB8	184
title:	ACTIONBUTTON_PARAM_ST
paramStartAddr:	0x00001180
entryID   	paramAddr 	infoAddr  	regionType	padding1[3]	dummyPoly1	dummyPoly2	radius	angle	depth	width	height	baseHeightOffset	angleCheckType	padding2[3]	allowAngle	textBoxType	padding3[3]	textId	invalidFlag	grayoutFlag	priority	execInvalidTime	execButtonCircle	padding4[3]
0x00000000	0x00001180	0x00004540	0		1	1	1.000000	1	1.000000	1.000000	2.000000	1.000000	0		1	0		0	1	1	1	0	1		 30c6 30b9 30c8 0030
0x00000001	0x000011C8	0x0000454A	0		0	0	0.000000	0	0.000000	0.000000	0.000000	0.000000	0		0	0		0	0	0	0	0	0		 30c6 30b9 30c8 0031
0x000003E8	0x00001210	0x00004554	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		50000200	-1	-1	0	0	1		 5931 3063 305f 30e9 30a4 30d5 3092 53d6 308a 623b 3059
0x000003F2	0x00001258	0x0000456C	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		50000205	-1	-1	1	0	1		 30e9 30a4 30d5 3092 3068 308b
0x000003FC	0x000012A0	0x0000457A	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		50000100	-1	200	10	0	1		 5893 7891 3092 8aad 3080
0x00000BB8	0x000012E8	0x00004586	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		50000210	-1	-1	10	0	1		 624b 7d19 3092 8aad 3080 ff08 8840 6587 5b57 ff09
0x00000BC2	0x00001330	0x0000459C	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		50000500	-1	-1	10	0	1		 81ea 5206 306e 624b 7d19 3092 78ba 8a8d 3059 308b ff08 8840 6587 5b57 ff09
0x00000FA0	0x00001378	0x000045BC	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		10010103	-1	-1	3	0	1		 30a2 30a4 30c6 30e0 3092 62fe 3046
0x00001004	0x000013C0	0x000045CC	0		90	-1	1.200000	180	0.000000	0.000000	2.400000	-1.400000	0		180	0		10010102	-1	-1	3	0	1		 907a 7269 3092 3068 308b ff08 6575 30c9 30ed 30c3 30d7 30a2 30a4 30c6 30e0 30fb 6b7b 4f53 767a 5149 ff09
0x0000100E	0x00001408	0x000045F8	0		90	-1	1.200000	180	0.000000	0.000000	2.400000	-1.400000	0		180	0		10010103	-1	-1	3	0	1		 907a 7269 3092 3068 308b ff08 6575 30c9 30ed 30c3 30d7 30a2 30a4 30c6 30e0 30fb 6575 6d88 6ec5 ff09
0x00001068	0x00001450	0x00004622	0		90	-1	1.200000	180	0.000000	0.000000	2.300000	-1.300000	0		180	0		10010101	-1	-1	3	0	1		 907a 54c1 3092 3068 308b ff08 5b9d 30a2 30a4 30c6 30e0 ff09
0x00001072	0x00001498	0x0000463C	0		90	-1	1.800000	180	0.000000	0.000000	2.300000	-1.300000	0		180	0		10010101	-1	-1	3	0	1		 907a 54c1 3092 3068 308b ff08 5b9d 30a2 30a4 30c6 30e0 005f 60aa 5922 306e 4e3b 306e 4ef2 9593 305f 3061 ff09
0x00001130	0x000014E0	0x0000466A	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		10010110	-1	-1	2	0	1		 004f 004b
0x00001388	0x00001528	0x00004670	0		193	-1	1.700000	90	0.000000	0.000000	1.400000	-1.000000	0		90	0		10010300	-1	-1	5	0	1		 306f 3057 3054 3092 306e 307c 308b
0x00001392	0x00001570	0x00004680	0		194	-1	1.700000	90	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010301	-1	-1	5	0	1		 306f 3057 3054 3092 304a 308a 308b
0x00001770	0x000015B8	0x00004690	0		-1	-1	1.600000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 0063 0030 0030 0030 0030 ff09
0x00001771	0x00001600	0x000046AA	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 4f1a 8a71 30b9 30ad 30c3 30d7
