infoStartAddr:	0x0C80
numEntries:	0x38	56
title:	AI_SOUND_PARAM_ST
paramStartAddr:	0x00000580
entryID   	paramAddr 	infoAddr  	radius	lifeFrame	bSpEffectEnable	type	fakeTargetType	interestCategory	useHitDamageTeam	pad1[19]
0x00000000	0x00000580	0x00000C80	0.000000	0.000000	0	0	0	0	0		 30c7 30d5 30a9 30eb 30c8 ff08 7de8 96c6 3057 306a 3044 ff09
0x000003E8	0x000005A0	0x00000C9A	0.500000	1.000000	1	1	0	1	0		 6b69 304d
0x000003F2	0x000005C0	0x00000CA0	5.000000	1.000000	1	1	0	5	0		 8d70 308a
0x000003FC	0x000005E0	0x00000CA6	8.000000	1.000000	1	1	0	5	0		 30c0 30c3 30b7 30e5
0x00000406	0x00000600	0x00000CB0	8.000000	1.000000	1	1	0	5	0		 30ed 30fc 30ea 30f3 30b0
0x00000410	0x00000620	0x00000CBC	6.000000	1.000000	1	1	0	5	0		 30d0 30c3 30af 30b9 30c6 30c3 30d7
0x0000041A	0x00000640	0x00000CCC	1.000000	1.000000	1	1	0	1	0		 7740 5730 ff08 901a 5e38 ff09
0x00000424	0x00000660	0x00000CDA	5.000000	1.000000	1	1	0	5	0		 7740 5730 ff08 5f37 ff09
0x0000042E	0x00000680	0x00000CE6	10.000000	1.000000	1	1	0	10	0		 7740 5730 ff08 5d29 308c ff09
0x000007D0	0x000006A0	0x00000CF4	2.000000	1.000000	1	2	0	10	0		 653b 6483 767a 751f 3010 5c0f 3011
0x000007DA	0x000006C0	0x00000D04	4.000000	1.000000	1	2	0	10	0		 653b 6483 767a 751f 3010 5927 3011
0x000007E4	0x000006E0	0x00000D14	6.000000	1.000000	1	2	0	20	0		 653b 6483 767a 751f 3010 9283 5f3e 3011
0x00000834	0x00000700	0x00000D26	4.000000	1.000000	1	2	0	20	0		 653b 6483 30d2 30c3 30c8 3010 5c0f 3011
