infoStartAddr:	0x552D8
numEntries:	0x1855	6229
title:	BEHAVIOR_PARAM_ST
paramStartAddr:	0x00024838
entryID   	paramAddr 	infoAddr  	variationId	behaviorJudgeId	ezStateBehaviorType_old	refType	pad0[2]	refId	sfxVariationId	stamina	mp	category	heroPoint	pad1[2]
0x00000000	0x00024838	0x000552D8	0	0	0	0		0	-1	0	0	0	0		 30c6 30b9 30c8 7528
0x00000005	0x00024858	0x000552E2	0	0	0	0		4	-1	0	0	0	0		 7121 52b9 884c 52d5 3010 30b7 30b9 30c6 30e0 3011
0x00000007	0x00024878	0x000552F8	0	0	3	2		4	29	0	0	0	0		 0050 0043 005f 0053 004f 0053 0073 0069 0067 006e 3010 30b7 30b9 30c6 30e0 3011
0x0000000C	0x00024898	0x0005531A	0	0	0	2		6	-1	0	0	0	0		 006b 0069 0063 006b 006f 0075 0074 3010 30b7 30b9 30c6 30e0 3011
0x0000000D	0x000248B8	0x00055336	0	0	0	2		7	32	0	0	0	0		 006c 0065 0061 0076 0065 0053 0065 0073 0073 0069 006f 006e 3010 30b7 30b9 30c6 30e0 3011
0x0000000F	0x000248D8	0x0005535C	0	0	0	2		10	30	0	0	0	0		 0042 006c 0061 0063 006b 005f 0053 006f 0075 006c 0073 0069 0067 006e 3010 30b7 30b9 30c6 30e0 3011
0x00000010	0x000248F8	0x00055386	0	0	0	2		11	31	0	0	0	0		 4e71 5165 3010 30b7 30b9 30c6 30e0 3011
0x00000011	0x00024918	0x00055398	0	0	0	2		12	-1	0	0	0	0		 0062 006c 006f 006f 0064 0053 0069 0067 006e 3010 30b7 30b9 30c6 30e0 3011
0x00000032	0x00024938	0x000553B8	0	0	0	1		50	-1	0	0	0	0		 304b 304c 308a 706b 52b9 679c
0x00000065	0x00024958	0x000553C6	0	0	0	2		8	-1	0	0	0	0		 30b4 30fc 30b9 30c8 5f31 4f53 5316 3010 30b7 30b9 30c6 30e0 3011
0x00000066	0x00024978	0x000553E2	0	0	0	2		9	-1	0	0	0	0		 30d6 30e9 30c3 30af 5f37 5316 3010 30b7 30b9 30c6 30e0 3011
0x000000C9	0x00024998	0x000553FC	0	0	0	2		201	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f ff2e ff30 ff23 005f ff0b 0031
0x000000CA	0x000249B8	0x0005541C	0	0	0	2		202	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f ff2e ff30 ff23 005f ff0b 0032
0x000000CB	0x000249D8	0x0005543C	0	0	0	2		203	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f ff2e ff30 ff23 005f ff0b 0033
0x000000CE	0x000249F8	0x0005545C	0	0	0	2		206	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f ff2e ff30 ff23 005f ff0d 0031
0x000000CF	0x00024A18	0x0005547C	0	0	0	2		207	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f ff2e ff30 ff23 005f ff0d 0032
0x000000D0	0x00024A38	0x0005549C	0	0	0	2		208	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f ff2e ff30 ff23 005f ff0d 0033
0x000000D3	0x00024A58	0x000554BC	0	0	0	2		211	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30d6 30e9 30c3 30af 005f ff0b 0031
0x000000D4	0x00024A78	0x000554DE	0	0	0	2		212	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30d6 30e9 30c3 30af 005f ff0b 0032
0x000000DD	0x00024A98	0x00055500	0	0	0	2		221	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30db 30ef 30a4 30c8 005f ff0b 0031
0x000000DE	0x00024AB8	0x00055522	0	0	0	2		222	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30db 30ef 30a4 30c8 005f ff0b 0032
0x000000E7	0x00024AD8	0x00055544	0	0	0	2		231	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30b0 30ec 30a4 005f ff0b 0031
0x000000E8	0x00024AF8	0x00055564	0	0	0	2		232	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30b0 30ec 30a4 005f ff0b 0032
0x000000EC	0x00024B18	0x00055584	0	0	0	2		236	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30b0 30ec 30a4 005f ff0d 0031
0x000000ED	0x00024B38	0x000555A4	0	0	0	2		237	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30a8 30ea 30a2 005f 30b0 30ec 30a4 005f ff0d 0032
0x00000137	0x00024B58	0x000555C4	0	0	0	2		311	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30d6 30e9 30c3 30af 005f ff0b 0031
0x00000138	0x00024B78	0x000555EA	0	0	0	2		312	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30d6 30e9 30c3 30af 005f ff0b 0032
0x00000141	0x00024B98	0x00055610	0	0	0	2		321	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30db 30ef 30a4 30c8 005f ff0b 0031
0x00000142	0x00024BB8	0x00055636	0	0	0	2		322	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30db 30ef 30a4 30c8 005f ff0b 0032
0x0000014B	0x00024BD8	0x0005565C	0	0	0	2		331	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30b0 30ec 30a4 005f ff0b 0031
0x0000014C	0x00024BF8	0x00055680	0	0	0	2		332	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30b0 30ec 30a4 005f ff0b 0032
0x00000150	0x00024C18	0x000556A4	0	0	0	2		336	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30b0 30ec 30a4 005f ff0d 0031
0x00000151	0x00024C38	0x000556C8	0	0	0	2		337	-1	0	0	0	0		 3010 ff31 ff37 ff23 3011 30d7 30ec 30a4 30e4 30fc 005f 30b0 30ec 30a4 005f ff0d 0032
0x00001388	0x00024C58	0x000556EC	0	0	0	0		5000	0	0	0	0	0		 57ce 4e0b 0031 3000 71c3 3048 308b 6b7b 4f53 ff08 5143 30fb 738b 57ce 304b 304c 308a 706b 3000 5c0f ff09
0x00001392	0x00024C78	0x00055718	0	0	0	0		5010	0	0	0	0	0		 57ce 4e0b 0031 3000 9589 9580 30c0 30e1 30fc 30b8
0x0000139C	0x00024C98	0x0005572E	0	0	0	0		5020	0	0	0	0	0		 57ce 4e0b 0031 3000 71c3 3048 308b 30b4 30ed 30b4 30ed 9244 7403
0x000013A6	0x00024CB8	0x0005574A	0	0	0	0		5030	0	0	0	0	0		 57ce 4e0b 0031 3000 71c3 3048 308b 9244 7403
0x000013B0	0x00024CD8	0x0005575E	0	0	0	0		5040	0	0	0	0	0		 3010 0053 0050 3011 0020 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0
