infoStartAddr:	0x15D0
numEntries:	0x8A	138
title:	CHARMAKEMENU_LISTITEM_PARAM_ST
paramStartAddr:	0x00000D30
entryID   	paramAddr 	infoAddr  	Value	CaptionID	IconID	reserved[7]
0x00000000	0x00000D30	0x000015D0	1	0	0	0	 672a 8a2d 5b9a
0x00000001	0x00000D40	0x00000000	2	0	0	1	 15d0
0x00000002	0x00000D50	0x00000000	3	0	0	2	 15d0
0x00000064	0x00000D60	0x000015D8	0	421110	80	100	 30d9 30fc 30b9 4f53 578b
0x00000065	0x00000D70	0x00000000	1	421111	81	101	 15d0
0x00000066	0x00000D80	0x00000000	2	421112	82	102	 15d0
0x00000067	0x00000D90	0x00000000	3	421113	83	103	 15d0
0x00000068	0x00000DA0	0x00000000	4	421114	84	104	 15d0
0x00000069	0x00000DB0	0x00000000	5	421115	85	105	 15d0
0x0000006A	0x00000DC0	0x00000000	6	421116	86	106	 15d0
0x0000006B	0x00000DD0	0x00000000	7	421118	87	107	 15d0
0x0000006C	0x00000DE0	0x00000000	8	421117	88	108	 15d0
0x000000C8	0x00000DF0	0x000015E4	0	0	140	200	 30d9 30fc 30b9 9854 0020 203b 30d5 30ec 30fc 30e0 0039 0030 007e 0039 0039 306f 30ec 30f3 30c0 30ea 30f3 30b0 753b 50cf 5c02 7528 306e 305f 3081 3001 5225 0049 0044 306b 5207 308a 66ff 3048
0x000000C9	0x00000E00	0x00000000	1	0	141	201	 15d0
0x000000CA	0x00000E10	0x00000000	2	0	142	202	 15d0
0x000000CB	0x00000E20	0x00000000	3	0	143	203	 15d0
0x000000CC	0x00000E30	0x00000000	4	0	144	204	 15d0
0x000000CD	0x00000E40	0x00000000	5	0	145	205	 15d0
0x000000CE	0x00000E50	0x00000000	6	0	146	206	 15d0
0x000000CF	0x00000E60	0x00000000	7	0	147	207	 15d0
0x000000D0	0x00000E70	0x00000000	8	0	148	208	 15d0
0x000000D1	0x00000E80	0x00000000	9	0	149	209	 15d0
0x000000DC	0x00000E90	0x00001632	0	0	150	220	 30d9 30fc 30b9 9854 3000 5973 6027 7528 8868 793a
0x000000DD	0x00000EA0	0x00000000	1	0	151	221	 15d0
0x000000DE	0x00000EB0	0x00000000	2	0	152	222	 15d0
0x000000DF	0x00000EC0	0x00000000	3	0	153	223	 15d0
0x000000E0	0x00000ED0	0x00000000	4	0	154	224	 15d0
0x000000E1	0x00000EE0	0x00000000	5	0	155	225	 15d0
0x000000E2	0x00000EF0	0x00000000	6	0	156	226	 15d0
0x000000E3	0x00000F00	0x00000000	7	0	157	227	 15d0
0x000000E4	0x00000F10	0x00000000	8	0	158	228	 15d0
0x000000E5	0x00000F20	0x00000000	9	0	159	229	 15d0
0x0000012C	0x00000F30	0x00001648	0	0	1	44	 77b3 0028 53f3 0029
0x0000012D	0x00000F40	0x00000000	1	0	2	45	 15d0
0x0000012E	0x00000F50	0x00000000	2	0	3	46	 15d0
0x00000190	0x00000F60	0x00001652	0	0	1	144	 77b3 0028 5de6 0029
0x00000191	0x00000F70	0x00000000	1	0	2	145	 15d0
0x00000192	0x00000F80	0x00000000	2	0	3	146	 15d0
0x000001F4	0x00000F90	0x0000165C	0	0	10	244	 7709
0x000001F5	0x00000FA0	0x00000000	1	0	11	245	 15d0
0x000001F6	0x00000FB0	0x00000000	2	0	12	246	 15d0
0x000001F7	0x00000FC0	0x00000000	3	0	13	247	 15d0
0x000001F8	0x00000FD0	0x00000000	4	0	14	248	 15d0
0x000001F9	0x00000FE0	0x00000000	5	0	15	249	 15d0
0x000001FA	0x00000FF0	0x00000000	6	0	16	250	 15d0
0x000001FB	0x00001000	0x00000000	7	0	17	251	 15d0
0x000001FC	0x00001010	0x00000000	8	0	18	252	 15d0
0x000001FD	0x00001020	0x00000000	9	0	19	253	 15d0
0x000001FE	0x00001030	0x00000000	10	0	120	254	 15d0
0x00000258	0x00001040	0x00001660	0	0	20	88	 9aed
0x00000259	0x00001050	0x00000000	1	0	21	89	 15d0
0x0000025A	0x00001060	0x00000000	2	0	22	90	 15d0
0x0000025B	0x00001070	0x00000000	3	0	23	91	 15d0
0x0000025C	0x00001080	0x00000000	4	0	24	92	 15d0
0x0000025D	0x00001090	0x00000000	5	0	25	93	 15d0
0x0000025E	0x000010A0	0x00000000	6	0	26	94	 15d0
0x0000025F	0x000010B0	0x00000000	7	0	27	95	 15d0
0x00000260	0x000010C0	0x00000000	8	0	28	96	 15d0
0x00000261	0x000010D0	0x00000000	9	0	29	97	 15d0
0x00000262	0x000010E0	0x00000000	10	0	130	98	 15d0
0x00000263	0x000010F0	0x00000000	11	0	131	99	 15d0
0x00000264	0x00001100	0x00000000	12	0	132	100	 15d0
0x00000265	0x00001110	0x00000000	13	0	133	101	 15d0
0x00000266	0x00001120	0x00000000	14	0	134	102	 15d0
0x00000267	0x00001130	0x00000000	15	0	135	103	 15d0
0x00000268	0x00001140	0x00000000	16	0	136	104	 15d0
0x0000026C	0x00001150	0x00001664	0	0	20	108	 9aed 3000 5973 6027 7528 306e 300c 306a 3057 300d 306e 307f
0x000002BC	0x00001160	0x0000167E	0	0	70	188	 9aea 578b
0x000002BD	0x00001170	0x00000000	1	0	50	189	 15d0
0x000002BE	0x00001180	0x00000000	2	0	51	190	 15d0
0x000002BF	0x00001190	0x00000000	3	0	52	191	 15d0
0x000002C0	0x000011A0	0x00000000	4	0	53	192	 15d0
0x000002C1	0x000011B0	0x00000000	5	0	54	193	 15d0
0x000002C2	0x000011C0	0x00000000	6	0	55	194	 15d0
0x000002C3	0x000011D0	0x00000000	7	0	56	195	 15d0
0x000002C4	0x000011E0	0x00000000	8	0	57	196	 15d0
0x000002C5	0x000011F0	0x00000000	9	0	58	197	 15d0
0x000002C6	0x00001200	0x00000000	10	0	59	198	 15d0
0x000002C7	0x00001210	0x00000000	101	0	60	199	 15d0
0x000002C8	0x00001220	0x00000000	102	0	61	200	 15d0
0x000002C9	0x00001230	0x00000000	103	0	62	201	 15d0
0x000002CA	0x00001240	0x00000000	104	0	63	202	 15d0
0x000002CB	0x00001250	0x00000000	105	0	64	203	 15d0
0x000002CC	0x00001260	0x00000000	106	0	65	204	 15d0
0x000002CD	0x00001270	0x00000000	107	0	66	205	 15d0
