infoStartAddr:	0x28B8
numEntries:	0xB9	185
title:	CHARMAKEMENUTOP_PARAM_ST
paramStartAddr:	0x00001198
entryID   	paramAddr 	infoAddr  	CommandID	CaptionID	FaceParamID	TableID	ViewCondition	PreviewMode	reserved[11]
0x00000001	0x00001198	0x000028B8	20	402012	0	0	0	0	1	 6027 5225
0x00000002	0x000011B8	0x000028BE	21	402013	0	0	0	0	2	 5e74 9803
0x00000003	0x000011D8	0x000028C4	22	431100	0	0	0	0	3	 58f0
0x00000004	0x000011F8	0x000028C8	23	421100	142	100	0	0	4	 4f53 683c
0x00000005	0x00001218	0x000028CE	10	422100	0	0	0	0	5	 002d 002d 002d 002d 002d ff5b 30b9 30b1 30fc 30eb 8abf 6574
0x00000006	0x00001238	0x000028E8	1	422210	136	0	0	0	6	 982d 90e8
0x00000007	0x00001258	0x000028EE	1	422220	137	0	0	0	7	 80f8 90e8
0x00000008	0x00001278	0x000028F4	1	422230	138	0	0	0	8	 8179 90e8
0x00000009	0x00001298	0x000028FA	1	422240	139	0	0	0	9	 8155 90e8
0x0000000A	0x000012B8	0x00002900	1	422250	140	0	0	0	10	 811a 90e8
0x0000000B	0x000012D8	0x00002906	11	0	0	0	0	0	11	 ff5d 002d 002d 002d 002d 002d
0x0000000C	0x000012F8	0x00002914	2	421300	109	100	0	2	12	 808c 8272 30d9 30fc 30b9
0x0000000D	0x00001318	0x00002920	10	426200	0	0	0	2	13	 002d 002d 002d 002d 002d ff5b 808c 306e 8272 8abf
0x0000000E	0x00001338	0x00002936	1	426210	8	0	0	2	14	 808c 306e 660e 308b 3055
0x0000000F	0x00001358	0x00002942	1	426240	9	0	0	2	15	 808c 8272 8abf 6574 ff11
0x00000010	0x00001378	0x0000294E	1	426250	10	0	0	2	16	 808c 8272 8abf 6574 ff12
0x00000011	0x00001398	0x0000295A	1	426260	11	0	0	2	17	 808c 8272 8abf 6574 ff13
0x00000012	0x000013B8	0x00002966	1	426220	12	0	0	2	18	 9f3b 6881 306e 8272
