infoStartAddr:	0x36F0
numEntries:	0x7D	125
title:	DECAL_PARAM_ST
paramStartAddr:	0x00000BF8
entryID   	paramAddr 	infoAddr  	textureId	dmypolyId	pitchAngle	yawAngle	nearDistance	farDistance	nearSize	farSize	maskSpeffectId	randomVariationNum:4	replaceTextureId_byMaterial:1	dmypolyCategory:2	decalShapeType:4	useDeferredDecal:1	usePaintDecal:1	targetAttackChr:1	targetDamageChr:1	targetOtherChr:1	targetMapObj:1	usePom:1	randomSizeMin	randomSizeMax	randomRollMin	randomRollMax	randomPitchMin	randomPitchMax	randomYawMin	randomYawMax	pomHightScale	pomSampleMin	pomSampleMax	pad_00[14]
0x00000000	0x00000BF8	0x000036F0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	256	256	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0	8		 30c6 30b9 30c8
0x00000001	0x00000C50	0x000036F8	33021000	-1	30.0	-40.0	0.0	3.0	1.0	2.0	-1	0	1	0	0	1	1	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 3010 30c6 30b9 30c8 3011 8840 7cca
0x00000002	0x00000CA8	0x00003708	23000000	-1	0.0	0.0	0.0	10.0	2.0	2.0	-1	0	0	0	1	1	1	1	1	1	1	0	25600	25600	0.0	0.0	0.0	0.0	0.0	0.0	-0.000	63	8		 3010 30c6 30b9 30c8 3011 7126 3052 8de1
0x00000003	0x00000D00	0x0000371A	1	-1	0.0	0.0	0.0	10.0	2.0	2.0	-1	0	0	0	1	1	1	1	1	1	1	0	25600	25600	0.0	0.0	0.0	0.0	0.0	0.0	-0.000	63	8		 3010 30c6 30b9 30c8 3011 30ad 30e5 30fc 30d6 30c6 30b9 30c8
0x00000064	0x00000D58	0x00003734	11011000	-1	30.0	-40.0	0.0	3.0	1.0	2.0	-1	0	1	0	0	1	1	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6b63 9762 3000 6575 002d 30de 30c3 30d7
0x00000065	0x00000DB0	0x0000374A	11011000	-1	30.0	-40.0	0.0	3.0	1.0	2.0	-1	0	1	0	0	1	1	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 5de6 3000 0020 0020 0020 6575 002d 30de 30c3 30d7
0x00000066	0x00000E08	0x00003764	11011000	-1	30.0	-40.0	0.0	3.0	1.0	2.0	-1	0	1	0	0	1	1	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 53f3 3000 0020 0020 0020 6575 002d 30de 30c3 30d7
0x00000096	0x00000E60	0x0000377E	33021100	7	10.0	-20.0	-0.5	8.0	1.5	1.5	-1	0	0	0	0	1	0	0	0	0	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 6b7b 4ea1 6642 5410 8840 3000 30de 30c3 30d7
0x000000C8	0x00000EB8	0x00003792	13011000	-1	0.0	0.0	-1.5	4.0	1.0	1.0	-1	0	1	0	0	0	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6b63 9762 0020 0020 30ad 30e3 30e9
0x000000C9	0x00000F10	0x000037A6	13011000	-1	20.0	-20.0	-1.5	4.0	1.0	1.0	-1	0	1	0	0	0	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 5de6 3000 0020 0020 0020 30ad 30e3 30e9
0x000000CA	0x00000F68	0x000037BC	13011000	-1	0.0	60.0	-1.5	4.0	1.0	1.0	-1	0	1	0	0	0	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 53f3 3000 0020 0020 0020 30ad 30e3 30e9
0x000000D2	0x00000FC0	0x000037D2	13011000	0	0.0	80.0	0.0	4.0	1.0	1.0	-1	0	1	0	0	0	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6295 3052 0020 0020 30ad 30e3 30e9
0x000000D3	0x00001018	0x000037E6	13021100	81	-16.0	-113.0	-1.0	4.0	1.0	1.0	-1	0	0	0	0	0	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 30d1 30ea 30a3 6295 3052 0020 0020 6575 002d 0050 0043
0x000000D4	0x00001070	0x00003802	13021100	81	-3.0	39.0	-0.7	4.0	1.0	1.0	-1	0	0	0	0	0	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 30d1 30ea 30a3 6295 3052 0020 0020 6575 002d 0050 0043
0x0000012C	0x000010C8	0x0000381E	13011000	-1	0.0	40.0	-0.5	4.0	1.0	2.0	-1	2	1	0	0	1	0	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6b63 9762 0020 0020 30de 30c3 30d7
0x0000012D	0x00001120	0x00003832	13011000	-1	30.0	-30.0	-0.5	4.0	1.4	3.0	-1	2	1	0	0	1	0	1	1	1	1	0	23040	28160	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 5de6 3000 0020 0020 0020 30de 30c3 30d7
0x0000012E	0x00001178	0x00003848	13011000	-1	30.0	30.0	-0.5	4.0	2.0	3.0	-1	2	1	0	0	1	0	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 53f3 3000 0020 0020 0020 30de 30c3 30d7
0x00000136	0x000011D0	0x0000385E	13011000	-1	30.0	-40.0	-0.5	3.0	2.0	3.0	-1	0	1	0	0	1	0	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6295 3052 3000 30de 30c3 30d7
0x00000137	0x00001228	0x00003870	13021100	204	-146.0	7.0	-1.5	7.0	2.6	3.3	-1	2	0	0	0	1	0	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 30d1 30ea 30a3 6295 3052 3000 0050 0043 002d 30de 30c3 30d7
0x00000138	0x00001280	0x0000388E	13021000	204	-146.0	79.0	-1.5	7.0	1.0	2.0	-1	2	0	0	0	1	0	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 30d1 30ea 30a3 6295 3052 3000 0050 0043 002d 30de 30c3 30d7
0x00000139	0x000012D8	0x000038AC	12011000	204	-161.0	-57.0	-0.8	4.0	1.0	2.0	-1	2	0	0	0	1	0	1	1	1	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 30d1 30ea 30a3 6295 3052 3000 0050 0043 002d 30de 30c3 30d7
0x0000015E	0x00001330	0x000038CA	11011000	170	-146.0	7.0	-1.5	7.0	2.6	3.3	481	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x0000015F	0x00001388	0x000038DE	11011000	171	-146.0	7.0	-1.5	7.0	2.6	3.3	482	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000160	0x000013E0	0x000038F2	11011000	172	-146.0	7.0	-1.5	7.0	2.6	3.3	481	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000161	0x00001438	0x00003906	11011000	173	-146.0	7.0	-1.5	7.0	2.6	3.3	481	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000162	0x00001490	0x0000391A	11011000	174	-146.0	7.0	-1.5	7.0	2.6	3.3	483	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000163	0x000014E8	0x0000392E	11011000	175	-146.0	7.0	-1.5	7.0	2.6	3.3	484	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000164	0x00001540	0x00003942	11011000	176	-146.0	7.0	-1.5	7.0	2.6	3.3	482	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000165	0x00001598	0x00003956	11011000	177	-146.0	7.0	-1.5	7.0	2.6	3.3	482	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000166	0x000015F0	0x0000396A	11011000	178	-146.0	7.0	-1.5	7.0	2.6	3.3	481	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000167	0x00001648	0x0000397E	11011000	179	-146.0	7.0	-1.5	7.0	2.6	3.3	482	2	0	0	0	1	0	0	0	0	1	0	23040	28160	131072.0	158459989584919382031773728768.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 3000 30de 30c3 30d7
0x00000168	0x000016A0	0x00003992	11011000	7	180.0	0.0	-1.5	7.0	2.6	3.3	-1	2	0	0	0	1	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 005f 9854 0031 3000 30ad 30e3 30e9 002c 30de 30c3 30d7
0x00000169	0x000016F8	0x000039B4	11011000	171	-90.0	0.0	-1.5	7.0	2.6	3.3	-1	2	0	0	0	1	1	1	1	1	1	0	23040	28160	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.000	63	8		 8840 7cca 6559 533a 9577 005f 9854 0032 3000 30ad 30e3 30e9 002c 30de 30c3 30d7
