infoStartAddr:	0x106C
numEntries:	0x45	69
title:	DUNGEON_FEATURE_PARAM_ST
paramStartAddr:	0x000006B8
entryID   	paramAddr 	infoAddr  	featureNameId	subFeatureGroupId	eventflagId	dungeonNamePriority	releaseFlagIdOffset	npcParamIdOffset	itemLotParamIdOffset	eneSpeffectId	gemDropCorrectParamId	gemGenParamIdOffset	dungeonNameModifierId	dungeonShortNameId
0x00000000	0x000006B8	0x0000106C	0	0	0	0	255	0	0	-1	-1	0	-1	-1	 30e1 30a4 30f3 7279 5fb4 ff1a 6a19 6e96
0x00000001	0x000006DC	0x0000107E	0	0	1	0	255	0	0	-1	-1	0	-1	-1	 30e1 30a4 30f3 7279 5fb4 ff1a 756a 4eba
0x00000002	0x00000700	0x00001090	0	0	2	0	255	0	0	-1	-1	0	-1	-1	 30e1 30a4 30f3 7279 5fb4 ff1a 53f8 796d
0x00000003	0x00000724	0x000010A2	0	0	3	0	255	0	0	-1	-1	0	-1	-1	 30e1 30a4 30f3 7279 5fb4 ff1a 72c2 4eba
0x00000004	0x00000748	0x000010B4	0	0	4	0	255	0	0	-1	-1	0	-1	-1	 30e1 30a4 30f3 7279 5fb4 ff1a 6a19 6e96 ff0b 756a 4eba
0x0000000A	0x0000076C	0x000010CC	0	1	10	4	255	1000000	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 6575 306e 6bd2 5316
0x0000000B	0x00000790	0x000010E0	280211	1	11	4	0	2000000	0	-1	-1	0	110	280411	 30b5 30d6 7279 5fb4 ff1a 6575 306e 5f37 5316
0x0000000D	0x000007B4	0x000010F4	0	1	10	4	255	1000000	0	-1	1014	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 6575 306e 6bd2 5316 ff0b 9b54 77f3 88dc 6b63 ff1a 30c8 30a5 30e1 30eb
0x0000000E	0x000007D8	0x0000111C	0	0	0	0	255	0	0	-1	1014	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a ff08 6575 306e 6bd2 5316 ff09 3000 9b54 77f3 88dc 6b63 306e 307f ff1a 30c8 30a5 30e1 30eb
0x0000000F	0x000007FC	0x0000114C	0	0	0	0	255	0	0	-1	1022	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a ff08 6575 306e 6bd2 5316 ff09 3000 9b54 77f3 88dc 6b63 306e 307f ff1a 30a4 30ba
0x00000014	0x00000820	0x00001178	280220	2	20	3	1	0	0	-1	-1	0	200	280420	 30b5 30d6 7279 5fb4 ff1a 7279 6b8a 751f 6210 6575
0x00000015	0x00000844	0x0000118E	280221	2	21	3	1	0	0	-1	-1	0	200	280421	 30b5 30d6 7279 5fb4 ff1a 004e 0050 0043 6575
0x00000016	0x00000868	0x000011A2	280222	2	22	3	1	0	0	-1	-1	0	200	280422	 30b5 30d6 7279 5fb4 ff1a 5468 56f2 5f37 5316 6575
0x00000017	0x0000088C	0x000011B8	280223	2	23	3	1	0	0	-1	-1	0	200	280423	 30b5 30d6 7279 5fb4 ff1a 4e0d 6b7b 5f37 6575
0x00000018	0x000008B0	0x000011CC	280224	2	24	3	1	0	0	-1	-1	0	200	280424	 30b5 30d6 7279 5fb4 ff1a 7279 6b8a 751f 6210 6575 ff06 004e 0050 0043 6575
0x00000019	0x000008D4	0x000011EC	280225	2	25	3	1	0	0	-1	-1	0	200	280425	 30b5 30d6 7279 5fb4 ff1a 7279 6b8a 751f 6210 6575 ff06 5468 56f2 5f37 5316 6575
0x0000001A	0x000008F8	0x0000120E	280226	2	26	3	1	0	0	-1	-1	0	200	280426	 30b5 30d6 7279 5fb4 ff1a 7279 6b8a 751f 6210 6575 ff06 4e0d 6b7b 5f37 6575
0x0000001B	0x0000091C	0x0000122E	280227	2	27	3	1	0	0	-1	-1	0	200	280427	 30b5 30d6 7279 5fb4 ff1a 004e 0050 0043 6575 ff06 5468 56f2 5f37 5316 6575
0x0000001C	0x00000940	0x0000124E	280228	2	28	3	1	0	0	-1	-1	0	200	280428	 30b5 30d6 7279 5fb4 ff1a 004e 0050 0043 6575 ff06 4e0d 6b7b 5f37 6575
0x0000001D	0x00000964	0x0000126C	280229	2	29	3	1	0	0	-1	-1	0	200	280429	 30b5 30d6 7279 5fb4 ff1a 5468 56f2 5f37 5316 6575 ff06 4e0d 6b7b 5f37 6575
0x0000001E	0x00000988	0x0000128C	0	3	30	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30b7 30e7 30c3 30d7
0x0000001F	0x000009AC	0x000012A0	0	3	31	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 540c 58eb 8a0e 3061 5f37 6575
0x00000020	0x000009D0	0x000012B8	0	3	32	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30ec 30a2 30b7 30e7 30c3 30d7
0x00000021	0x000009F4	0x000012D0	0	3	33	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30b7 30e7 30c3 30d7 ff0b 540c 58eb 8a0e 3061 5f37 6575
0x00000022	0x00000A18	0x000012F2	0	3	34	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30ec 30a2 30b7 30e7 30c3 30d7 ff0b 540c 58eb 8a0e 3061 5f37 6575
0x00000023	0x00000A3C	0x00001318	0	10	35	10	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x00000024	0x00000A60	0x00001334	0	10	35	10	255	0	0	-1	1012	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0 ff0b 9b54 77f3 88dc 6b63 0031 0030 0031 0032
0x00000025	0x00000A84	0x00001362	0	10	35	10	255	0	0	-1	1023	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0 ff0b 9b54 77f3 88dc 6b63 0031 0030 0032 0033
0x00000026	0x00000AA8	0x00001390	0	10	35	10	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0 ff0b 9b54 77f3 88dc 6b63 0031 0030 0033 0034
0x00000027	0x00000ACC	0x000013BE	0	10	35	10	255	0	0	-1	1011	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0 ff0b 9b54 77f3 88dc 6b63 0031 0030 0031 0031
0x00000028	0x00000AF0	0x000013EC	280240	4	40	2	2	0	0	-1	-1	0	400	-1	 30b5 30d6 7279 5fb4 ff1a 30de 30eb 30c1 53ec 559a 6575
0x00000032	0x00000B14	0x00001404	0	20	50	0	255	0	0	-1	1011	0	-1	-1	 8056 676f 30bf 30a4 30d7 88dc 6b63 ff1a 9b54 77f3 88dc 6b63 0031 0030 0031 0031
0x00000033	0x00000B38	0x00001426	0	20	51	0	255	0	0	-1	1022	0	-1	-1	 8056 676f 30bf 30a4 30d7 88dc 6b63 ff1a 9b54 77f3 88dc 6b63 0031 0030 0032 0032
0x00000034	0x00000B5C	0x00001448	0	20	52	0	255	0	0	-1	1034	0	-1	-1	 8056 676f 30bf 30a4 30d7 88dc 6b63 ff1a 9b54 77f3 88dc 6b63 0031 0030 0033 0034
0x00000035	0x00000B80	0x0000146A	0	20	53	0	255	0	0	-1	1011	0	-1	-1	 8056 676f 30bf 30a4 30d7 88dc 6b63 ff1a 9b54 77f3 88dc 6b63 0031 0030 0031 0031
0x0000003C	0x00000BA4	0x0000148C	0	6	60	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 0034 0046 958b 653e
0x0000003D	0x00000BC8	0x000014A0	0	6	60	0	255	0	0	-1	1013	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 0034 0046 958b 653e ff0b 9b54 77f3 88dc 6b63 0031 0030 0031 0033
0x0000003E	0x00000BEC	0x000014C6	0	0	0	0	255	0	0	-1	1013	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a ff08 0034 0046 958b 653e ff09 9b54 77f3 88dc 6b63 0031 0030 0031 0033
0x0000003F	0x00000C10	0x000014EE	0	6	60	0	255	0	0	-1	1013	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 0034 0046 958b 653e ff0b 9b54 77f3 88dc 6b63 0031 0030 0031 0033
0x00000040	0x00000C34	0x00001514	0	0	0	0	255	0	0	-1	1013	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a ff08 0034 0046 958b 653e ff09 9b54 77f3 88dc 6b63 0031 0030 0031 0033
0x00000041	0x00000C58	0x0000153C	0	6	60	0	255	0	0	-1	1013	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 0034 0046 958b 653e ff0b 9b54 77f3 88dc 6b63 0031 0030 0031 0033
0x00000042	0x00000C7C	0x00001562	0	0	0	0	255	0	0	-1	1013	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a ff08 0034 0046 958b 653e ff09 9b54 77f3 88dc 6b63 0031 0030 0031 0033
0x00000043	0x00000CA0	0x0000158A	0	6	60	0	255	0	0	-1	1012	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 0034 0046 958b 653e ff0b 9b54 77f3 88dc 6b63 0031 0030 0031 0032
0x00000044	0x00000CC4	0x000015B0	0	0	0	0	255	0	0	-1	1012	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a ff08 0034 0046 958b 653e ff09 9b54 77f3 88dc 6b63 0031 0030 0031 0032
0x00000046	0x00000CE8	0x000015D8	280270	7	70	1	3	0	0	7150	-1	1000000	700	-1	 30b5 30d6 7279 5fb4 ff1a 0048 0050 534a 5206 546a 3044
0x00000047	0x00000D0C	0x000015F0	0	8	71	1	255	0	0	7151	-1	2000000	-1	-1	 30b5 30d6 7279 5fb4 ff1a 0048 0050 0031 002f 0034 546a 3044
0x00000048	0x00000D30	0x0000160A	0	8	72	1	255	0	0	7152	-1	2000000	-1	-1	 30b5 30d6 7279 5fb4 ff1a 0048 0050 0031 002f 0038 546a 3044
0x0000004D	0x00000D54	0x00001624	0	0	77	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 751f 6210 30c0 30f3 30b8 30e7 30f3 30fb 30ec 30d9 30eb 0032 30c8 30a5 30e1 30eb
0x0000004E	0x00000D78	0x00001650	0	0	78	0	255	0	0	-1	-1	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 56fa 5b9a 30c0 30f3 30b8 30e7 30f3 5171 901a
0x0000004F	0x00000D9C	0x0000166E	0	0	0	0	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 7279 6b8a 30ad 30e3 30e9 306a 3057
0x00000050	0x00000DC0	0x00001688	0	3	30	0	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30b7 30e7 30c3 30d7
