infoStartAddr:	0x30D0
numEntries:	0x94	148
title:	DUNGEON_SUB_FEAT_LOT_PARAM
paramStartAddr:	0x00000E20
entryID   	paramAddr 	infoAddr  	subFeatureNameId	requiredMaterialId	subFeatureId_1	subFeatureId_2	subFeatureId_3	subFeatureId_4	subFeatureId_5	subFeatureId_6	subFeatureId_7	subFeatureId_8	subFeatureId_9	subFeatureId_10	pad_0[2]	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10
0x00000000	0x00000E20	0x000030D0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30c7 30d5 30a9 30eb 30c8
0x00000711	0x00000E5C	0x000030DC	0	1809	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0038 3011 30c8 30a5 30e1 30eb 005f 8ffd 52a0 7d20 6750
0x0097370E	0x00000E98	0x00003104	0	0	30	31	33	-1	-1	-1	-1	-1	-1	-1	0	8.00	8.00	2.00	82.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x00973713	0x00000ED4	0x0000311E	0	0	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x00973722	0x00000F10	0x0000313E	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097372C	0x00000F4C	0x0000314E	0	0	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10.00	90.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x00004E2A	0x00000F88	0x00003166	280110	20010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 30c8 30a5 30e1 30eb ff1a 6575 5f37 5316
0x00975E1E	0x00000FC4	0x00003190	0	0	30	31	33	-1	-1	-1	-1	-1	-1	-1	0	12.00	12.00	3.00	73.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x00975E23	0x00001000	0x000031AA	0	0	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x00975E32	0x0000103C	0x000031CA	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
