infoStartAddr:	0x05F0
numEntries:	0x1A	26
title:	EQUIP_MTRL_SET_PARAM_ST
paramStartAddr:	0x000002B0
entryID   	paramAddr 	infoAddr  	materialId01	materialId02	materialId03	materialId04	materialId05	itemNum01	itemNum02	itemNum03	itemNum04	itemNum05	isDisableDispNum01:1	isDisableDispNum02:1	isDisableDispNum03:1	isDisableDispNum04:1	isDisableDispNum05:1	pad[6]
0x00000000	0x000002B0	0x000005F0	3000	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c
0x00000064	0x000002D0	0x000005F6	3000	-1	-1	-1	-1	3	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff11
0x000000C8	0x000002F0	0x00000600	3000	-1	-1	-1	-1	5	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff12
0x0000012C	0x00000310	0x0000060A	3000	-1	-1	-1	-1	8	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff13
0x00000190	0x00000330	0x00000614	3010	-1	-1	-1	-1	3	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff14
0x000001F4	0x00000350	0x0000061E	3010	-1	-1	-1	-1	5	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff15
0x00000258	0x00000370	0x00000628	3010	-1	-1	-1	-1	8	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff16
0x000002BC	0x00000390	0x00000632	3020	-1	-1	-1	-1	3	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff17
0x00000320	0x000003B0	0x0000063C	3020	-1	-1	-1	-1	5	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff18
0x00000384	0x000003D0	0x00000646	3020	-1	-1	-1	-1	8	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff19
0x000003E8	0x000003F0	0x00000650	3030	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 57fa 672c ff0b ff11 ff10
0x000007D0	0x00000410	0x0000065C	2000	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 89e6 624b 53ec 559a
0x000007DA	0x00000430	0x00000666	2010	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 5b87 5b99 53ec 559a
0x000007E4	0x00000450	0x00000670	2020	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 30ea 30d5 30ec 30af 30c8 30a6 30a9 30fc 30eb
0x000007EE	0x00000470	0x00000684	2030	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 30cc 30eb 30cc 30eb 5316
0x000007F8	0x00000490	0x00000690	2040	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 30e9 30a4 30c8
0x00000802	0x000004B0	0x00000698	2050	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 7bc4 56f2 56de 5fa9
0x0000080C	0x000004D0	0x000006A2	2060	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 52a0 901f
0x00000816	0x000004F0	0x000006A8	2070	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 5730 3092 9019 3046 9b54 6cd5
0x00000820	0x00000510	0x000006B6	2080	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 8a98 5c0e 5f3e
0x0000082A	0x00000530	0x000006BE	2090	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 540c 58eb 8a0e 3061
0x00000834	0x00000550	0x000006C8	2100	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 30e1 30c3 30bb 30f3 30b8 30e3 30fc 7206 5f3e
0x0000083E	0x00000570	0x000006DC	2110	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 30e1 30c3 30bb 30f3 30b8 30e3 30fc 64ec 614b
0x000009C4	0x00000590	0x000006F0	2500	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 77ed 9283 005f 9283 5f3e
0x00000A28	0x000005B0	0x000006FC	2600	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	0	0		 9577 9283 005f 9283 5f3e
