infoStartAddr:	0x0E58
numEntries:	0x29	41
title:	EQUIP_PARAM_ACCESSORY_ST
paramStartAddr:	0x00000418
entryID   	paramAddr 	infoAddr  	refId	sfxVariationId	weight	behaviorId	basicPrice	sellValue	sortId	qwcId	equipModelId	iconId	shopLv	trophySGradeId	trophySeqId	equipModelCategory	equipModelGender	accessoryCategory	refCategory	spEffectCategory	pad[1]	vagrantItemLotId	vagrantBonusEneDropItemLotId	vagrantItemEneDropItemLotId	isDeposit:1	isEquipOutBrake:1	disableMultiDropShare:1	pad1[3]
0x00000064	0x00000418	0x00000E58	2000	-1	0.000	0	0	1000	3	0	0	4000	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 88c5 5099 91cd 91cf 30a2 30c3 30d7
0x00000065	0x00000458	0x00000E68	2010	-1	0.000	0	0	100	12	0	0	4001	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 30d4 30f3 30c1 653b 6483 529b 30a2 30c3 30d7
0x00000066	0x00000498	0x00000E7C	2320	-1	0.000	0	0	1000	23	0	0	4040	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 6697 6708 795e 306e 6307 8f2a
0x00000067	0x000004D8	0x00000E8A	2330	-1	0.000	0	0	1000	37	0	0	4041	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 76d7 8cca 56e3 306e 6307 8f2a
0x00000068	0x00000518	0x00000E98	2013	-1	0.000	0	0	100	2	0	0	4004	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 30b9 30bf 30df 30ca 56de 5fa9 30a2 30c3 30d7
0x00000069	0x00000558	0x00000EAC	2020	-1	0.000	0	0	100	6	0	0	4005	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 708e 8010 6027 30a2 30c3 30d7
0x0000006A	0x00000598	0x00000EBA	2021	-1	0.000	0	0	100	7	0	0	4006	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 96f7 8010 6027 30a2 30c3 30d7
0x0000006B	0x000005D8	0x00000EC8	2022	-1	0.000	0	0	100	5	0	0	4007	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 9b54 6cd5 8010 6027 30a2 30c3 30d7
0x0000006C	0x00000618	0x00000ED8	2024	-1	0.000	0	0	100	8	0	0	4008	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 5168 8010 6027 30a2 30c3 30d7 0031
0x0000006D	0x00000658	0x00000EE8	2030	-1	0.000	0	0	100	9	0	0	4009	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 51fa 8840 8010 6027 30a2 30c3 30d7
0x0000006E	0x00000698	0x00000EF8	2031	-1	0.000	0	0	100	10	0	0	4010	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 6bd2 8010 6027 30a2 30c3 30d7
0x0000006F	0x000006D8	0x00000F06	2340	-1	0.000	0	0	100	1	0	0	4042	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 0048 0050 5fae 5897
0x00000071	0x00000718	0x00000F10	2034	-1	0.000	0	0	100	11	0	0	4013	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 546a 8010 6027 30a2 30c3 30d7
0x00000072	0x00000758	0x00000F1E	2040	-1	0.000	0	0	100	20	0	0	4014	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 9b54 6cd5 30b9 30ed 30c3 30c8 30a2 30c3 30d7
0x00000073	0x00000798	0x00000F32	2050	-1	0.000	0	0	100	16	0	0	4015	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 9b54 6cd5 5a01 529b 30a2 30c3 30d7
0x00000074	0x000007D8	0x00000F42	2060	-1	0.000	0	0	1000	19	0	0	4016	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 004d 0050 504f 91cd
0x00000075	0x00000818	0x00000F4C	36	-1	0.000	0	0	1000	28	0	0	4017	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 81f4 547d 653b 6483 529b 30a2 30c3 30d7
0x00000077	0x00000858	0x00000F5E	2080	-1	0.000	0	0	100	27	0	0	4019	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 5f13 306e 9054 4eba
0x00000078	0x00000898	0x00000F68	2023	-1	0.000	0	0	100	4	0	0	4020	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 7269 7406 9632 5fa1 529b 30a2 30c3 30d7
0x00000079	0x000008D8	0x00000F7A	2100	-1	0.000	0	0	100	32	0	0	4021	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 30a2 30a4 30c6 30e0 30c9 30ed 30c3 30d7 30a2 30c3 30d7
0x0000007A	0x00000918	0x00000F92	2101	-1	0.000	0	0	100	33	0	0	4022	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 53d6 5f97 30bd 30a6 30eb 30a2 30c3 30d7
0x0000007B	0x00000958	0x00000FA4	2110	-1	0.000	0	0	100	18	0	0	4023	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 97f3 6d88 53bb
0x0000007C	0x00000998	0x00000FAC	2111	-1	0.000	0	0	1000	38	0	0	4024	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 77f3 30b3 30ed 5e3d 5b50
0x0000007D	0x000009D8	0x00000FB8	2120	-1	0.000	0	0	100	31	0	0	4025	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 525b 811a
0x0000007E	0x00000A18	0x00000FBE	2130	-1	0.000	0	0	100	14	0	0	4026	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 5fa9 6d3b
0x0000007F	0x00000A58	0x00000FC4	2131	-1	0.000	0	0	100	15	0	0	4027	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 546a 3044 304b 3089 306e 5fa9 6d3b
0x00000080	0x00000A98	0x00000FD4	2121	-1	0.000	0	0	100	30	0	0	4028	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 8efd 696d
0x00000082	0x00000AD8	0x00000FDA	2140	-1	0.000	0	0	1000	24	0	0	4030	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 5171 9cf4
0x00000089	0x00000B18	0x00000FE0	2190	-1	0.000	0	0	1000	36	0	0	4037	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 6df7 6c8c 306e 8a00 8449
0x0000008A	0x00000B58	0x00000FEC	2200	-1	0.000	0	0	-1	34	0	0	4002	-1	-1	32	0	0	0	2	0		101400	101410	101420	1	0	1		 95c7 6b69 304d
0x0000008B	0x00000B98	0x00000FF4	2210	-1	0.000	0	0	-1	35	0	0	4003	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	1		 6eb6 5ca9 6b69 304d
0x0000008D	0x00000BD8	0x00000FFE	2230	-1	0.000	0	0	100	17	0	0	4039	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 88dc 52a9 9b54 6cd5 5ef6 9577
0x0000008E	0x00000C18	0x0000100C	2240	-1	0.000	0	0	500	40	0	0	4018	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 0048 0050 30c9 30ec 30a4 30f3
0x0000008F	0x00000C58	0x0000101A	2250	-1	0.000	0	0	1000	39	0	0	4029	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	1	0		 5f37 8005 306e 546a 3044
0x00000090	0x00000C98	0x00001026	2260	-1	0.000	0	0	100	25	0	0	4031	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 30ab 30a6 30f3 30bf 30fc 5f37 5316
0x00000091	0x00000CD8	0x00001036	2270	-1	0.000	0	0	100	29	0	0	4032	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 6b66 5668 3092 5927 5207 306b
0x00000092	0x00000D18	0x00001044	2090	-1	0.000	0	0	50	26	0	0	4035	-1	-1	-1	0	0	0	2	0		101400	101410	101420	1	0	0		 0053 0041 30a2 30c3 30d7
