infoStartAddr:	0x1226C
numEntries:	0x17B	379
title:	FACE_PARAM_ST
paramStartAddr:	0x000023C8
entryID   	paramAddr 	infoAddr  	facePartsId	skinColor_R 	skinColor_G 	skinColor_B 	hairPartsId	hairColor_R 	hairColor_G 	hairColor_B 	eyeLPartsId	eyeLColor_R	eyeLColor_G	eyeLColor_B	eyeRPartsId	eyeRColor_R	eyeRColor_G	eyeRColor_B	eyebrowPartsId	eyebrowColor_R 	eyebrowColor_G 	eyebrowColor_B 	eyelashPartsId	eyelashColor_R 	eyelashColor_G 	eyelashColor_B 	beardPartsId	beardColor_R 	beardColor_G 	beardColor_B 	accessoriesPartsId	accessoriesColor_R 	accessoriesColor_G 	accessoriesColor_B 	decalPartsId	decalColor_R 	decalColor_G 	decalColor_B 	decalPosX	decalPosY	decalAngle	decalScale	chrBodyScaleHead	chrBodyScaleBreast	chrBodyScaleAbdomen	chrBodyScaleArm	chrBodyScaleLeg	age	gender	caricatureGeometry	caricatureTexture	faceGeoData00	faceGeoData01	faceGeoData02	faceGeoData03	faceGeoData04	faceGeoData05	faceGeoData06	faceGeoData07	faceGeoData08	faceGeoData09	faceGeoData10	faceGeoData11	faceGeoData12	faceGeoData13	faceGeoData14	faceGeoData15	faceGeoData16	faceGeoData17	faceGeoData18	faceGeoData19	faceGeoData20	faceGeoData21	faceGeoData22	faceGeoData23	faceGeoData24	faceGeoData25	faceGeoData26	faceGeoData27	faceGeoData28	faceGeoData29	faceGeoData30	faceGeoData31	faceGeoData32	faceGeoData33	faceGeoData34	faceGeoData35	faceGeoData36	faceGeoData37	faceGeoData38	faceGeoData39	faceGeoData40	faceGeoData41	faceGeoData42	faceGeoData43	faceGeoData44	faceGeoData45	faceGeoData46	faceGeoData47	faceGeoData48	faceGeoData49	faceGeoData50	faceGeoData51	faceGeoData52	faceGeoData53	faceGeoData54	faceGeoData55	faceGeoData56	faceGeoData57	faceGeoData58	faceGeoData59	faceGeoData60	faceTexData00	faceTexData01	faceTexData02	faceTexData03	faceTexData04	faceTexData05	faceTexData06	faceTexData07	faceTexData08	faceTexData09	faceTexData10	faceTexData11	faceTexData12	faceTexData13	faceTexData14	faceTexData15	faceTexData16	faceTexData17	faceTexData18	faceTexData19	faceTexData20	faceTexData21	faceTexData22	faceTexData23	faceTexData24	faceTexData25	faceTexData26	faceTexData27	faceTexData28	faceTexData29	faceTexData30	faceTexData31	faceTexData32	faceTexData33	faceTexData34	faceTexData35	faceGeoAsymData00	faceGeoAsymData01	faceGeoAsymData02	faceGeoAsymData03	faceGeoAsymData04	faceGeoAsymData05	faceGeoAsymData06	faceGeoAsymData07	faceGeoAsymData08	faceGeoAsymData09	faceGeoAsymData10	faceGeoAsymData11	faceGeoAsymData12	faceGeoAsymData13	faceGeoAsymData14	faceGeoAsymData15	faceGeoAsymData16	faceGeoAsymData17	faceGeoAsymData18	faceGeoAsymData19	faceGeoAsymData20	faceGeoAsymData21	faceGeoAsymData22	faceGeoAsymData23	faceGeoAsymData24	faceGeoAsymData25
0x00000000	0x000023C8	0x0001226C	0	145	130	120	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 0074 0065 0073 0074
0x00000001	0x00002474	0x00012276	0	145	130	120	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 30ad 30e3 30e9 30e1 30a4 30af 30c6 30b9 30c8
0x00000064	0x00002520	0x0001228A	0	145	130	120	3	150	145	140	0	120	90	90	0	120	90	90	1	150	145	140	1	150	145	130	4	150	145	140	0	128	128	128	1	100	100	100	181	114	255	15	128	128	128	128	128	138	128	128	128	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 30c7 30d0 30c3 30b0 7528 3000 6a19 6e96 9854
0x0000006E	0x000025CC	0x0001229E	0	145	130	120	1	150	145	140	0	120	90	90	0	120	90	90	2	150	145	140	0	150	145	130	3	150	145	140	6	128	128	128	5	128	128	128	120	80	0	20	128	128	128	128	128	133	128	128	128	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 30c7 30d0 30c3 30b0 7528 3000 6700 5927 8ca0 8377 0028 81ea 30ad 30e3 30e9 0029
0x0000006F	0x00002678	0x000122C0	1	145	130	120	1	150	145	140	0	120	90	90	0	120	90	90	2	150	145	140	0	150	145	130	3	150	145	140	6	128	128	128	5	128	128	128	120	80	0	20	128	128	128	128	128	133	128	128	128	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 30c7 30d0 30c3 30b0 7528 3000 6700 5927 8ca0 8377 0028 30b2 30b9 30c8 ff11 0029
0x00000070	0x00002724	0x000122E2	2	145	130	120	9	150	145	140	1	120	90	90	1	120	90	90	9	150	145	140	0	150	145	130	9	150	145	140	5	128	128	128	4	128	128	128	120	80	0	20	128	128	128	128	128	133	128	128	128	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 30c7 30d0 30c3 30b0 7528 3000 6700 5927 8ca0 8377 0028 30b2 30b9 30c8 ff12 0029
0x00000071	0x000027D0	0x00012304	0	145	130	120	8	150	145	140	2	120	90	90	2	120	90	90	1	150	145	140	0	150	145	130	5	150	145	140	3	128	128	128	3	128	128	128	120	80	0	20	128	128	128	128	128	133	128	128	128	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 30c7 30d0 30c3 30b0 7528 3000 6700 5927 8ca0 8377 0028 30b2 30b9 30c8 ff13 0029
0x00000072	0x0000287C	0x00012326	1	145	130	120	108	150	145	140	0	120	90	90	0	120	90	90	7	150	145	140	0	150	145	130	6	150	145	140	1	128	128	128	1	128	128	128	120	80	0	20	128	128	128	128	128	133	128	128	128	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	113	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 30c7 30d0 30c3 30b0 7528 3000 6700 5927 8ca0 8377 0028 30b2 30b9 30c8 ff14 0029
0x000003E8	0x00002928	0x00012348	0	145	130	120	0	0	0	0	0	100	110	90	0	100	110	90	0	0	0	0	0	128	128	128	0	0	0	0	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	118	48	128	128	127	127	107	127	127	127	137	107	167	127	147	137	137	107	137	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	107	77	137	157	127	127	127	127	107	157	127	77	147	157	137	87	97	127	147	127	127	117	117	127	127	127	127	127	127	127	127	128	128	128	128	128	128	128	215	128	128	128	128	128	128	128	128	128	128	118	138	148	158	128	128	128	128	108	138	98	98	128	128	128	128	158	158	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0030
0x000003E9	0x000029D4	0x0001236A	0	138	118	103	0	110	80	50	0	120	90	90	0	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	128	58	128	128	135	148	138	138	138	148	118	138	128	128	138	98	138	108	108	148	138	128	118	128	118	128	68	128	118	98	128	178	98	128	108	68	138	168	158	158	178	88	128	168	128	128	128	198	138	78	118	128	108	148	108	98	58	118	88	78	128	108	98	138	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	158	128	128	128	128	108	138	108	88	128	128	128	128	128	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0031
