infoStartAddr:	0x04D8
numEntries:	0x15	21
title:	GAME_AREA_PARAM_ST
paramStartAddr:	0x00000238
entryID   	paramAddr 	infoAddr  	bonusSoul_single	bonusSoul_multi	humanityPointCountFlagIdTop	humanityDropPoint1	humanityDropPoint2	humanityDropPoint3	humanityDropPoint4	humanityDropPoint5	humanityDropPoint6	humanityDropPoint7	humanityDropPoint8	humanityDropPoint9	humanityDropPoint10
0x00000000	0x00000238	0x000004D8	10000	10000	-1	65535	65535	65535	65535	65535	65535	65535	65535	65535	65535	 30c6 30b9 30c8
0x00000001	0x00000258	0x000004E0	10000	10000	-1	65535	65535	65535	65535	65535	65535	65535	65535	65535	65535	 30c6 30b9 30c8 0031
0x00200E40	0x00000278	0x000004EA	128000	128000	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0031 005f 0030 0030 62e0 70b9 005f 62e0 70b9 8001 4eba ff08 899a 9192 ff09
0x00200E4A	0x00000298	0x0000050E	230000	230000	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0031 005f 0030 0030 62e0 70b9 005f 60aa 5922 3092 7d99 3050 3082 306e
0x002194E0	0x000002B8	0x00000530	11800	11800	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0032 005f 0030 0030 5893 5730 8857 005f 30a2 30a4 30b3 30ec 30af 30bf 30fc
0x00231B80	0x000002D8	0x00000554	6600	6600	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0033 005f 0030 0030 5ec3 589f 005f 8840 306b 6e07 3044 305f 7363
0x00231B8A	0x000002F8	0x00000574	21000	21000	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0033 005f 0030 0030 5ec3 589f 005f 5d50 306e 7363 ff08 9aa8 ff09
0x0024A220	0x00000318	0x00000594	15000	15000	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0034 005f 0030 0030 8056 5802 8857 0041 005f 8056 5973 30d3 30fc 30b9 30c8
0x0024C93A	0x00000338	0x000005B8	1800	1800	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0034 005f 0030 0031 8056 5802 8857 0042 005f 30ac 30b9 30b3 30a4 30f3 795e 7236
0x0024C93B	0x00000358	0x000005DE	1800	1800	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0034 005f 0030 0031 8056 5802 8857 0042 005f 30ac 30b9 30b3 30a4 30f3 795e 7236
0x0024C930	0x00000378	0x00000604	4000	4000	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0034 005f 0030 0031 8056 5802 8857 0042 005f 6559 533a 9577
0x0024F040	0x00000398	0x00000622	28800	28800	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0034 005f 0030 0032 8056 5802 8857 0043 005f 6708 306e 843d 3068 3057 5b50
0x0024F04B	0x000003B8	0x00000646	22400	22400	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0034 005f 0030 0032 8056 5802 8857 0043 005f 6708 304b 3089 306e 4f7f 8005 305f 3061
0x002628C0	0x000003D8	0x0000066E	25600	25600	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0035 005f 0030 0030 53e4 57ce 005f 738b 306e 6b7b 795e
0x0027AF63	0x000003F8	0x0000068A	72000	72000	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0036 005f 0030 0030 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 30ec 30c3 30b5 30fc 30c7 30fc 30e2 30f3 ff08 6b7b 3068 95c7 ff09
0x0027AF92	0x00000418	0x000006C2	48400	48400	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0036 005f 0030 0030 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 60aa 5922 306e 4e3b
0x00293600	0x00000438	0x000006E8	18600	18600	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0037 005f 0030 0030 68ee 005f 95c7 306e 65c5 56e3
0x002ABCA3	0x00000458	0x00000702	33000	33000	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0038 005f 0030 0030 751f 8d04 306e 8857 005f 306a 308a 305d 3053 306a 3044 306e 90aa 795e
0x002C4084	0x00000478	0x0000072C	0	0	-1	100	100	100	100	100	100	100	100	100	100	 006d 0032 0039 005f 0030 0030 30c0 30f3 30b8 30e7 30f3 005f 30dc 30b9 0028 4e00 822c 0029
0x0030D720	0x00000498	0x00000752	22600	22600	-1	100	100	100	100	100	100	100	100	100	100	 006d 0033 0032 005f 0030 0030 5927 5b66 005f 767d 75f4 306e 8718 86db
