infoStartAddr:	0x01C8
numEntries:	0x0E	14
title:	GAME_MAP_PARAM_ST
paramStartAddr:	0x00000190
entryID   	paramAddr 	infoAddr  	settingNo_timeSlotA	settingNo_timeSlotB	settingNo_timeSlotC	settingNo_timeSlotD
0x00000000	0x00000190	0x000001C8	0	0	0	0	 30c7 30d5 30a9 30eb 30c8
0x01406F40	0x00000194	0x000001D4	0	0	0	1	 006d 0032 0031 005f 0030 0030 3000 62e0 70b9 0020 ff1a 3000 0030 003e 660e 7a7a 3000 0031 003e 30e9 30b9 30c8 7528
0x01409650	0x00000198	0x00000204	0	0	1	2	 006d 0032 0031 005f 0030 0031 3000 73fe 5b9f 62e0 70b9 0020 ff1a 3000 0030 003e 8d64 6708 306e 307f
0x014FB180	0x0000019C	0x0000022E	0	0	1	1	 006d 0032 0032 005f 0030 0030 3000 5893 5730 0020 ff1a 3000 0030 003e 5915 65b9 3000 0031 003e 591c
0x015EF3C0	0x000001A0	0x00000258	0	0	1	1	 006d 0032 0033 005f 0030 0030 3000 5ec3 589f 0020 ff1a 3000 0030 003e 5915 65b9 3000 0031 003e 591c
0x016E3600	0x000001A4	0x00000282	0	0	1	2	 006d 0032 0034 005f 0030 0030 3000 8056 ff21 0020 ff1a 3000 0030 003e 5915 65b9 3000 0031 003e 591c 3000 0033 003e 8d64 6708
0x016E5D10	0x000001A8	0x000002B6	0	1	2	3	 006d 0032 0034 005f 0030 0031 3000 8056 ff22 0020 ff1a 3000 0030 003e 663c 3000 0031 003e 5915 65b9 3000 0032 003e 591c 3000 0033 003e 8d64 6708
0x016E8420	0x000001AC	0x000002F2	0	0	0	0	 006d 0032 0034 005f 0030 0032 3000 8056 ff23 0020 ff1a 3000 0030 003e 8d64 6708
0x017D7840	0x000001B0	0x00000314	0	0	0	0	 006d 0032 0035 005f 0030 0030 3000 53e4 57ce 0020 ff1a 3000 0030 003e 591c 306e 307f
0x018CBA80	0x000001B4	0x00000338	0	0	0	0	 006d 0032 0036 005f 0030 0030 3000 30c8 30e9 30c3 30d7 0020 ff1a 3000 0030 003e 591c 306e 307f 0028 5c02 7528 0029
0x019BFCC0	0x000001B8	0x00000368	0	0	0	0	 006d 0032 0037 005f 0030 0030 3000 68ee 0020 ff1a 3000 0030 003e 591c 306e 307f
0x01AB3F00	0x000001BC	0x0000038A	0	0	1	2	 006d 0032 0038 005f 0030 0030 3000 751f 8d04 0020 ff1a 3000 0030 003e 5915 65b9 3000 0031 003e 591c 3000 0032 003e 8d64 6708
0x01E84800	0x000001C0	0x000003BE	0	0	0	0	 006d 0033 0032 005f 0030 0030 3000 5927 5b66 0020 ff1a 3000 0030 003e 591c 306e 307f
