infoStartAddr:	0x8AB0
numEntries:	0x1BB	443
title:	GEM_CATEGORY_PARAM_ST
paramStartAddr:	0x000029C8
entryID   	paramAddr 	infoAddr  	sortNo	manifestRate	directionalId	cateGroupId	excludeGroupId	isNegative:1	enableSlotTypeA:1	enableSlotTypeB:1	enableSlotTypeC:1	enableSlotTypeD:1	enableSlotTypeE:1	enableSlotTypeF:1	holygrailTypeGroup:7	affinityCateId_0	affinityModifyRate_0	affinityCateId_1	affinityModifyRate_1	affinityCateId_2	affinityModifyRate_2	affinityCateId_3	affinityModifyRate_3
0x00000000	0x000029C8	0x00008AB0	0	100.00	0	0	0	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 30ab 30c6 30b4 30ea 005f 30a2 30c3 30d7 52b9 679c
0x00000001	0x00002A00	0x00008ACA	1	100.00	0	0	0	1	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 30ab 30c6 30b4 30ea 005f 30c0 30a6 30f3 52b9 679c
0x0000000A	0x00002A38	0x00008AE4	2	100.00	0	10	0	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 9632 5fa1 30ab 30c6 30b4 30ea 005f 30a2 30c3 30d7 52b9 679c
0x0000000B	0x00002A70	0x00008AFE	3	100.00	0	10	0	1	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 9632 5fa1 30ab 30c6 30b4 30ea 005f 30c0 30a6 30f3 52b9 679c
0x00000014	0x00002AA8	0x00008B18	4	100.00	0	20	0	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 56de 5fa9 30ab 30c6 30b4 30ea
0x0000001E	0x00002AE0	0x00008B26	5	100.00	0	30	0	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 30b9 30c6 30fc 30bf 30b9 30ab 30c6 30b4 30ea
0x00000064	0x00002B18	0x00008B3A	6	1.00	10000	10100	100	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 0031 67a0 76ee 306b 56fa 5b9a 3059 308b 30ab 30c6 30b4 30ea
0x00000065	0x00002B50	0x00008B54	7	1.00	10000	10101	100	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 6392 4ed6 3055 308c 3066 3067 306a 304f 306a 308b 30ab 30c6 30b4 30ea
0x0000006E	0x00002B88	0x00008B72	8	1.00	10000	10110	110	0	1	1	1	1	1	1	0	72744960	-2.00	-48007	0.00	-49280	0.00	-49280	0.00	 512a 5148 5ea6 0041 306e 30ab 30c6 30b4 30ea
0x0000006F	0x00002BC0	0x00008B86	9	1.00	10000	10111	111	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 512a 5148 5ea6 0042 306e 30ab 30c6 30b4 30ea
