infoStartAddr:	0x10C0
numEntries:	0x2C	44
title:	GEM_DROP_DOPING_PARAM_ST
paramStartAddr:	0x00000460
entryID   	paramAddr 	infoAddr  	rankMin	rankMax	normalDistributionAve	normalDistributionSigma	slotTypeRateA	slotTypeRateB	slotTypeRateC	slotTypeRateD	slotTypeRateE	slotTypeRateF	directionalIdRate_0	directionalIdRate_1	directionalIdRate_2	directionalIdRate_3	directionalIdRate_4	directionalIdRate_5	directionalIdRate_6	directionalIdRate_7
0x00000000	0x00000460	0x000010C0	1	100	0	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 30c7 30d5 30a9 30eb 30c8
0x000017D4	0x000004A8	0x000010CC	3	5	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0031 3011 30c8 30a5 30e1 30eb
0x000017DD	0x000004F0	0x000010EE	3	5	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0031 3011 30c8 30a5 30e1 30eb
0x00001838	0x00000538	0x0000110C	5	7	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 30c8 30a5 30e1 30eb
0x00001841	0x00000580	0x0000112E	5	7	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0032 3011 30c8 30a5 30e1 30eb
0x00001842	0x000005C8	0x0000114C	5	7	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 50fb 5893
0x0000184B	0x00000610	0x0000116A	5	7	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0032 3011 50fb 5893
0x0000189C	0x00000658	0x00001184	7	9	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb
0x0000189E	0x000006A0	0x000011A6	7	9	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x000018A5	0x000006E8	0x000011D0	7	9	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb
