infoStartAddr:	0x069C
numEntries:	0x0B	11
title:	GEM_DROP_MODIFY_PARAM_ST
paramStartAddr:	0x00000148
entryID   	paramAddr 	infoAddr  	slotTypeRateA	slotTypeRateB	slotTypeRateC	slotTypeRateD	slotTypeRateE	slotTypeRateF	directionalIdRate_0	directionalIdRate_1	directionalIdRate_2	directionalIdRate_3	directionalIdRate_4	directionalIdRate_5	directionalIdRate_6	directionalIdRate_7	affinityCateId_0	affinityModifyRate_0	affinityCateId_1	affinityModifyRate_1	affinityCateId_2	affinityModifyRate_2	affinityCateId_3	affinityModifyRate_3	manifestRate_0	manifestRate_1	manifestRate_2	manifestRate_3	manifestRate_4	manifestRate_5	negativizeRate_0	normalDistributionAve	normalDistributionSigma
0x00000000	0x00000148	0x0000069C	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	-1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 306a 306b 3082 304a 3053 3089 306a 3044
0x0000000A	0x000001C4	0x000006AE	1.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	99	999.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 8056 676f 30bf 30a4 30d7 30b0 30eb 30fc 30d7 30c6 30b9 30c8 7528
0x000003F3	0x00000240	0x000006CA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	11	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0041 3010 30c8 30a5 30e1 30eb 3011 0020 5100 5f0f 30ec 30d9 30eb 0031
0x000003F4	0x000002BC	0x000006F2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	12	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0041 3010 30c8 30a5 30e1 30eb 3011 0020 5100 5f0f 30ec 30d9 30eb 0032
0x000003F5	0x00000338	0x0000071A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	13	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0041 3010 30c8 30a5 30e1 30eb 3011 0020 5100 5f0f 30ec 30d9 30eb 0033
0x000003F6	0x000003B4	0x00000742	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	14	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0041 3010 30c8 30a5 30e1 30eb 3011 0020 5100 5f0f 30ec 30d9 30eb 0034
0x000003FE	0x00000430	0x0000076A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	22	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0041 0027 3010 50fb 5893 3011 0020 5100 5f0f 30ec 30d9 30eb 0032
0x000003FF	0x000004AC	0x00000790	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	23	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0041 0027 3010 50fb 5893 3011 0020 5100 5f0f 30ec 30d9 30eb 0033
0x0000040A	0x00000528	0x000007B6	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	34	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0042 3010 30ed 30fc 30e9 30f3 3011 0020 5100 5f0f 30ec 30d9 30eb 0034
0x0000040B	0x000005A4	0x000007DE	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1	1.00	-1	1.00	-1	1.00	35	100.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0	0.00	 30c0 30f3 30b8 30e7 30f3 0042 3010 30ed 30fc 30e9 30f3 3011 0020 5100 5f0f 30ec 30d9 30eb 0035
