infoStartAddr:	0x2DA00
numEntries:	0x458	1112
title:	GEM_GEN_PARAM_ST
paramStartAddr:	0x00006880
entryID   	paramAddr 	infoAddr  	isUnique:1	pad_0[4]	gemNameIdOffset	disableSlotRateModify:1	slotTypeRateA	slotTypeRateB	slotTypeRateC	slotTypeRateD	slotTypeRateE	slotTypeRateF	gemRankDoping	pad_1[3]	gemeffectGenParamType_0	gemeffectGenParam_0	manifestRate_0	negativizeRate_0	gemeffectGenParamType_1	gemeffectGenParam_1	manifestRate_1	negativizeRate_1	gemeffectGenParamType_2	gemeffectGenParam_2	manifestRate_2	negativizeRate_2	gemeffectGenParamType_3	gemeffectGenParam_3	manifestRate_3	negativizeRate_3	gemeffectGenParamType_4	gemeffectGenParam_4	manifestRate_4	negativizeRate_4	gemeffectGenParamType_5	gemeffectGenParam_5	manifestRate_5	negativizeRate_5	equipableSegmentBody:1	equipableSegmentWeapon:1	unremovable:1	isGuestDrop:1
0x00000000	0x00006880	0x0002DA00	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	65536	0.00	0.00	17096	65536	0.00	0.00	16968	65536	0.00	0.00	16672	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 653b 6483 529b 30a2 30c3 30d7
0x00000001	0x00006910	0x0002DA18	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	131072	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 653b 6483 30ab 30c6 30b4 30ea
0x00000002	0x000069A0	0x0002DA30	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	196608	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 653b 6483 30ab 30c6 30b4 30ea 30b0 30eb 30fc 30d7
0x00000003	0x00006A30	0x0002DA50	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	262144	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 653b 6483 ff06 9632 5fa1 65b9 5411 6027
0x00000004	0x00006AC0	0x0002DA6C	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 6bd2 9b54 77f3
0x00000005	0x00006B50	0x0002DA7E	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-56	200	17096	131072	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 653b 6483 529b 30a2 30c3 30d7
0x00000006	0x00006BE0	0x0002DA96	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-56	200	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 0067 0061 006d 0065 0073 0063 006f 006d 3011 77ed 9283 30ad 30e3 30e9 7528 6700 5927 004d 0050 30a2 30c3 30d7
0x0000000A	0x00006C70	0x0002DAC6	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-56	200	17096	65536	-nan	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 30a8 30e9 30fc 9b54 77f3
0x0000000B	0x00006D00	0x0002DADC	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-56	200	17096	65536	-nan	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 30a8 30e9 30fc 9b54 77f3
0x0000000C	0x00006D90	0x0002DAF2	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-56	200	17096	65536	-nan	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 30a8 30e9 30fc 0042 004a
