infoStartAddr:	0xEBA68
numEntries:	0x3ED6	16086
title:	GEMEFFECT_PARAM_ST
paramStartAddr:	0x0005E450
entryID   	paramAddr 	infoAddr  	speffectId	categoryId	effectRank	rankMin	rankMax	disposalPrice	gemIconIdOffset	pad0[2]	gemNameIdOffset	speffectId_forAtk
0x00000000	0x0005E450	0x000EBA68	-1	0	1	0	100	10	0	0	0	-1	 30c7 30d5 30a9 30eb 30c8 9b54 77f3 52b9 679c
0x00000001	0x0005E474	0x000EBA7C	10001	0	2	1	100	10	0	0	0	-1	 653b 6483 529b 30a2 30c3 30d7 3010 4e2d 3011
0x00000002	0x0005E498	0x000EBA90	10002	0	3	1	100	10	0	0	0	-1	 653b 6483 529b 30a2 30c3 30d7 3010 5927 3011
0x0000000A	0x0005E4BC	0x000EBAA4	10100	1	1	1	100	10	0	0	0	-1	 653b 6483 529b 30c0 30a6 30f3 3010 5c0f 3011
0x00000014	0x0005E4E0	0x000EBAB8	-1	0	1	1	100	10	0	0	0	3971	 6bd2
0x00000015	0x0005E504	0x000EBABC	9996	0	1	1	100	10	0	0	0	-1	 3010 0067 0061 006d 0065 0073 0063 006f 006d 3011 77ed 9283 30ad 30e3 30e9 7528 6700 5927 004d 0050 30a2 30c3 30d7
0x00000064	0x0005E528	0x000EBAEC	11000	10	1	1	100	10	0	0	0	-1	 9632 5fa1 529b 30a2 30c3 30d7 3010 5c0f 3011
0x00000065	0x0005E54C	0x000EBB00	11001	10	2	1	100	10	0	0	0	-1	 9632 5fa1 529b 30a2 30c3 30d7 3010 4e2d 3011
0x00000066	0x0005E570	0x000EBB14	11002	10	3	1	100	10	0	0	0	-1	 9632 5fa1 529b 30a2 30c3 30d7 3010 5927 3011
0x0000006E	0x0005E594	0x000EBB28	11100	11	1	1	100	10	0	0	0	-1	 9632 5fa1 529b 30c0 30a6 30f3 3010 5c0f 3011
0x000000C8	0x0005E5B8	0x000EBB3C	10000	100	0	0	100	10	0	0	0	-1	 56fa 5b9a 3067 7740 304f 52b9 679c
0x000000C9	0x0005E5DC	0x000EBB4C	10000	101	0	0	100	10	0	0	0	-1	 6392 4ed6 3055 308c 308b 306f 305a 306e 52b9 679c
0x000000D2	0x0005E600	0x000EBB62	10000	110	0	0	100	10	1	1	1	-1	 512a 5148 5ea6 0041
0x000000D3	0x0005E624	0x000EBB6C	10000	111	0	0	100	10	2	2	2	-1	 512a 5148 5ea6 0042
0x000000D4	0x0005E648	0x000EBB76	10000	112	0	0	100	10	3	3	3	-1	 512a 5148 5ea6 0043
0x000003E8	0x0005E66C	0x000EBB80	10620	200	1	0	100	10	1	1	1	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003E9	0x0005E690	0x000EBB9E	11620	200	1	0	100	10	2	2	2	-1	 653b 6483 529b 3010 6253 6483 3011 56fa 5b9a 5024 002b 0031 0030 0030
