infoStartAddr:	0x05E0
numEntries:	0x24	36
title:	HIT_MTRL_PARAM_ST
paramStartAddr:	0x000003A0
entryID   	paramAddr 	infoAddr  	aiVolumeRate	spEffectIdOnHit0	spEffectIdOnHit1	footEffectHeightType:2	footEffectDirType:2	floorHeightType:2	pad0[3]
0x00000000	0x000003A0	0x000005E0	1.000000	-1	-1	0	0	0		 30c0 30df 30fc
0x00000001	0x000003B0	0x000005E8	1.000000	-1	-1	0	0	0		 77f3 ff08 5c4b 5916 ff09
0x00000002	0x000003C0	0x000005F4	1.000000	-1	-1	0	0	0		 77f3 ff08 5c4b 5185 ff09
0x00000003	0x000003D0	0x00000600	1.000000	-1	-1	0	0	0		 571f
0x00000004	0x000003E0	0x00000604	1.000000	-1	-1	0	0	0		 6728
0x00000005	0x000003F0	0x00000608	1.000000	-1	-1	0	0	0		 8349
0x00000006	0x00000400	0x0000060C	1.000000	-1	-1	0	0	0		 7802 5229
0x00000007	0x00000410	0x00000612	1.000000	-1	-1	2	1	0		 96ea
0x00000008	0x00000420	0x00000616	1.000000	-1	-1	0	0	0		 6c37
0x00000009	0x00000430	0x0000061A	1.000000	-1	-1	0	0	0		 9244
0x0000000A	0x00000440	0x0000061E	1.000000	-1	-1	0	0	0		 7802
0x0000000B	0x00000450	0x00000622	1.000000	-1	-1	0	0	0		 9aa8
0x0000000C	0x00000460	0x00000626	1.000000	-1	-1	0	0	0		 7070
0x0000000D	0x00000470	0x0000062A	1.000000	-1	-1	0	0	0		 843d 3061 8449
0x0000000E	0x00000480	0x00000632	1.000000	-1	-1	0	0	0		 77f3 005f 8840 5c5e 6027
0x0000000F	0x00000490	0x0000063E	1.000000	-1	-1	0	0	0		 77f3 005f 5d50 5c5e 6027
0x00000010	0x000004A0	0x0000064A	1.000000	-1	-1	0	0	0		 7802 304c 591a 3081 306e 77f3
0x00000011	0x000004B0	0x00000658	1.000000	-1	-1	2	1	0		 96ea ff08 8db3 8de1 7121 ff09
0x00000012	0x000004C0	0x00000666	3.000000	4810	-1	1	0	1		 6cb9 6c34
0x00000013	0x000004D0	0x0000066C	3.000000	-1	-1	2	0	1		 6c34 ff08 6ed1 308a 964d 308a ff09
0x00000014	0x000004E0	0x0000067C	3.000000	-1	-1	1	0	1		 6c34 ff08 8db3 88cf ff5e 8db3 9996 7a0b 5ea6 ff09
0x00000015	0x000004F0	0x00000692	3.000000	-1	-1	1	0	1		 6c34 ff08 8db3 9996 ff5e 8170 307e 3067 7a0b 5ea6 ff09
0x00000016	0x00000500	0x000006AA	1.000000	-1	-1	0	1	0		 7c98 6db2
0x00000017	0x00000510	0x000006B0	1.000000	4820	4800	1	1	1		 6bd2 30b3 30fc 30eb 30bf 30fc 30eb
0x00000018	0x00000520	0x000006C0	1.000000	-1	-1	0	0	0		 6ce5
0x00000019	0x00000530	0x000006C4	1.000000	4820	-1	1	1	1		 30b3 30fc 30eb 30bf 30fc 30eb
0x0000001A	0x00000540	0x000006D2	3.000000	-1	-1	1	0	1		 8150 98df 6db2
0x0000001B	0x00000550	0x000006DA	1.000000	-1	-1	0	0	0		 6b7b 4f53
0x0000001C	0x00000560	0x000006E0	1.000000	-1	-1	0	0	0		 7d68 6bef
0x0000001D	0x00000570	0x000006E6	1.000000	-1	-1	0	0	0		 7a7a
0x0000001E	0x00000580	0x000006EA	4.000000	-1	-1	0	0	0		 307c 308d 3044 6728
0x0000001F	0x00000590	0x000006F4	1.000000	-1	-1	0	0	0		 6c34 305f 307e 308a
0x00000020	0x000005A0	0x000006FE	1.000000	-1	-1	0	0	0		 77f3 ff08 5c4b 5916 002f 6e7f 308a ff09
0x00000021	0x000005B0	0x00000710	1.000000	4820	4800	1	0	1		 6bd2 6cbc
0x00000022	0x000005C0	0x00000716	1.000000	4800	-1	1	0	1		 6c34 9280
