infoStartAddr:	0x19E0
numEntries:	0x29	41
title:	HOLYGRAIL_EX_PARAM_ST
paramStartAddr:	0x00000418
entryID   	paramAddr 	infoAddr  	ritualLv	attributeId	mapBaseId	holygrailTypeId	variationNum	mainFeature_1	pad_0	dungeonNameBaseId	uniqueBaseFlagId	uniqueItem00_head	uniqueItem00_tail	uniqueItem01_head	uniqueItem01_tail	uniqueItem02_head	uniqueItem02_tail	uniqueItem03_head	uniqueItem03_tail	directMapUid	requiredMaterialId	groupFrameNameId	uniqueItem04_head	uniqueItem04_tail	uniqueItem05_head	uniqueItem05_tail	uniqueItem06_head	uniqueItem06_tail	uniqueItem07_head	uniqueItem07_tail	uniqueItem08_head	uniqueItem08_tail	uniqueItem09_head	uniqueItem09_tail	uniqueItem10_head	uniqueItem10_tail	uniqueItem11_head	uniqueItem11_tail	uniqueItem12_head	uniqueItem12_tail	uniqueItem13_head	uniqueItem13_tail	fixedSf_1_subFeatureLotId	fixedSf_2_subFeatureLotId	fixedSf_3_subFeatureLotId	fixedSf_4_subFeatureLotId	fixedSf_5_subFeatureLotId	freeSf_1_subFeatureLotId	freeSf_2_subFeatureLotId	freeSf_3_subFeatureLotId	uniqueItem14_head	uniqueItem14_tail	isGenericHolygrail	releaseFlagIdOffset	pad_3[24]	groupSf_1_subFeatureLotId	groupSf_2_subFeatureLotId	groupSf_3_subFeatureLotId	groupSf_4_subFeatureLotId	groupSf_5_subFeatureLotId
0x00000000	0x00000418	0x000019E0	0	0	0	0	1	-1	0	0	0	255	255	255	255	255	255	255	255	-1	0	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	-1	-1	-1	-1	-1	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 30c7 30d5 30a9 30eb 30c8
0x000017DD	0x000004A0	0x000019EC	1	0	109	0	1	0	0	100000	0	255	255	255	255	255	255	255	255	-1	109	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	995010110	-1	-1	-1	-1	-1	255	255	0	64	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0031 3011 30c8 30a5 30e1 30eb
0x00001841	0x00000528	0x00001A0A	2	0	209	0	1	0	0	200000	0	255	255	255	255	255	255	255	255	-1	209	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	995010110	995010120	-1	-1	-1	-1	255	255	0	71	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0032 3011 30c8 30a5 30e1 30eb
0x0000184B	0x000005B0	0x00001A28	2	0	219	1	1	1	0	201000	0	255	255	255	255	255	255	255	255	-1	219	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	995010220	991000000	-1	-1	-1	-1	255	255	0	72	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0032 3011 50fb 5893
0x000018A5	0x00000638	0x00001A42	3	0	309	0	1	0	0	300000	0	255	255	255	255	255	255	255	255	-1	309	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	996100000	998500000	995010110	995010120	-1	-1	-1	-1	255	255	0	78	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb
0x000018AF	0x000006C0	0x00001A60	3	0	319	1	1	1	0	301000	0	255	255	255	255	255	255	255	255	-1	319	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	998600000	995010220	995010230	991000000	-1	-1	-1	255	255	0	79	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893
0x00001909	0x00000748	0x00001A7A	4	0	409	0	1	4	0	400000	0	255	255	255	255	255	255	255	255	-1	409	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	996200000	997000000	995010110	995010120	995010140	-1	-1	-1	255	255	0	85	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0034 3011 30c8 30a5 30e1 30eb 005f 546a 3044
0x0000191D	0x000007D0	0x00001A9E	4	2	429	2	1	3	0	402000	0	255	255	255	255	255	255	255	255	-1	429	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	995010340	-1	-1	-1	-1	-1	255	255	0	87	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0034 3011 30ed 30fc 30e9 30f3
0x0000196D	0x00000858	0x00001ABC	5	0	509	0	1	4	0	500000	0	255	255	255	255	255	255	255	255	-1	509	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	996200000	998700000	995010110	995010120	995010140	-1	-1	-1	255	255	0	92	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb ff1d 30a4 30eb
0x00001981	0x000008E0	0x00001AE0	5	2	529	2	1	3	0	502000	0	255	255	255	255	255	255	255	255	-1	529	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	998800000	995010340	995010350	-1	-1	-1	-1	255	255	0	94	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3
