infoStartAddr:	0x1B20
numEntries:	0xD7	215
title:	ITEMLOT_LVDEP_PARAM_ST
paramStartAddr:	0x00001468
entryID   	paramAddr 	infoAddr  	itemCategory	itemId
0x00000000	0x00001468	0x00001B20	4	1	 52d5 4f5c 78ba 8a8d 7528
0x00000001	0x00001470	0x00001B2C	4	1	 8a66 3057
0x00024DD8	0x00001478	0x00001B32	4	1510	 30bd 30a6 30eb 3010 0030 3011
0x00024DE2	0x00001480	0x00001B40	4	1512	 30bd 30a6 30eb 3010 0032 3011
0x00024DEC	0x00001488	0x00001B4E	4	1514	 30bd 30a6 30eb 3010 0034 3011
0x00024DF6	0x00001490	0x00001B5C	4	1516	 30bd 30a6 30eb 3010 0036 3011
0x00024E00	0x00001498	0x00001B6A	4	1517	 30bd 30a6 30eb 3010 0037 3011
0x00024E0A	0x000014A0	0x00001B78	4	1517	 30bd 30a6 30eb 3010 0037 3011
0x00024E14	0x000014A8	0x00001B86	4	1517	 30bd 30a6 30eb 3010 0037 3011
0x00024E3C	0x000014B0	0x00001B94	4	1511	 30bd 30a6 30eb 3010 0031 3011
0x00024E46	0x000014B8	0x00001BA2	4	1513	 30bd 30a6 30eb 3010 0033 3011
0x00024E50	0x000014C0	0x00001BB0	4	1515	 30bd 30a6 30eb 3010 0035 3011
0x00024E5A	0x000014C8	0x00001BBE	4	1517	 30bd 30a6 30eb 3010 0037 3011
0x00024E64	0x000014D0	0x00001BCC	4	1518	 30bd 30a6 30eb 3010 0038 3011
0x00024E6E	0x000014D8	0x00001BDA	4	1518	 30bd 30a6 30eb 3010 0038 3011
0x00024E78	0x000014E0	0x00001BE8	4	1518	 30bd 30a6 30eb 3010 0038 3011
0x000493E0	0x000014E8	0x00001BF6	4	3000	 6b66 5668 5f37 5316 7d20 6750 3010 30b3 30e2 30f3 3011
0x000493EA	0x000014F0	0x00001C0E	4	3000	 6b66 5668 5f37 5316 7d20 6750 3010 30b3 30e2 30f3 3011
0x000493F4	0x000014F8	0x00001C26	4	3000	 6b66 5668 5f37 5316 7d20 6750 3010 30b3 30e2 30f3 3011
0x000493FE	0x00001500	0x00001C3E	4	3010	 6b66 5668 5f37 5316 7d20 6750 3010 30a2 30f3 30b3 30e2 30f3 3011
0x00049408	0x00001508	0x00001C5A	4	3010	 6b66 5668 5f37 5316 7d20 6750 3010 30a2 30f3 30b3 30e2 30f3 3011
0x00049412	0x00001510	0x00001C76	4	3010	 6b66 5668 5f37 5316 7d20 6750 3010 30a2 30f3 30b3 30e2 30f3 3011
0x0004941C	0x00001518	0x00001C92	4	3010	 6b66 5668 5f37 5316 7d20 6750 3010 30a2 30f3 30b3 30e2 30f3 3011
