infoStartAddr:	0x11DFB8
numEntries:	0x1A9A	6810
title:	ITEMLOT_PARAM_ST
paramStartAddr:	0x00027EB0
entryID   	paramAddr 	infoAddr  	lotItemId01	lotItemId02	lotItemId03	lotItemId04	lotItemId05	lotItemId06	lotItemId07	lotItemId08	lotItemCategory01	lotItemCategory02	lotItemCategory03	lotItemCategory04	lotItemCategory05	lotItemCategory06	lotItemCategory07	lotItemCategory08	lotItemBasePoint01	lotItemBasePoint02	lotItemBasePoint03	lotItemBasePoint04	lotItemBasePoint05	lotItemBasePoint06	lotItemBasePoint07	lotItemBasePoint08	cumulateLotPoint01	cumulateLotPoint02	cumulateLotPoint03	cumulateLotPoint04	cumulateLotPoint05	cumulateLotPoint06	cumulateLotPoint07	cumulateLotPoint08	getItemFlagId01	getItemFlagId02	getItemFlagId03	getItemFlagId04	getItemFlagId05	getItemFlagId06	getItemFlagId07	getItemFlagId08	getItemFlagId	cumulateNumFlagId	cumulateNumMax	lotItem_Rarity	lotItemNum01	lotItemNum02	lotItemNum03	lotItemNum04	lotItemNum05	lotItemNum06	lotItemNum07	lotItemNum08	enableLuck01:1	enableLuck02:1	enableLuck03:1	enableLuck04:1	enableLuck05:1	enableLuck06:1	enableLuck07:1	enableLuck08:1	cumulateReset01:1	cumulateReset02:1	cumulateReset03:1	cumulateReset04:1	cumulateReset05:1	cumulateReset06:1	cumulateReset07:1	cumulateReset08:1
0x00000000	0x00027EB0	0x0011DFB8	100000	10000	240	101000	11000	0	0	0	0	1	4	0	1	0	0	0	100	50	100	50	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	9	1	2	99	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 0074 0065 0073 0074 005f 0070 0061 0072 0061 006d 0030
0x00000001	0x00027F44	0x0011DFD0	240	240	2001	240	240	0	0	0	4	4	4	4	4	0	0	0	100	100	300	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 9a0e 58eb 30c6 30b9 30c8 005f 56de 5fa9 85ac 00d7 0031 3010 78ba 5b9a 3011 6b66 5668 7d20 6750
0x00000002	0x00027FD8	0x0011DFF8	0	3010	3010	1013	1013	1023	1001	1001	-1	4	4	4	4	4	4	4	375	20	30	20	30	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	2	0	2	1	2	1	1	3	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30b7 30df 30e5 30ec 30fc 30bf 30c6 30b9 30c8
0x00000003	0x0002806C	0x0011E00C	0	1000	1000	1000	0	0	0	0	-1	4	4	4	0	0	0	0	25	25	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	0	1	2	3	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 904b 30d1 30e9 30e1 30fc 30bf 6709 52b9 30c6 30b9 30c8
0x0000000A	0x00028100	0x0011E024	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	3	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 6575 30c9 30ed 30c3 30d7 5b9d 30c6 30b9 30c8
0x00000014	0x00028194	0x0011E038	20	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30b6 30b3 9b54 77f3 30c6 30b9 30c8
0x0000001E	0x00028228	0x0011E048	30	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 5f37 6575 9b54 77f3 30c6 30b9 30c8
0x00000028	0x000282BC	0x0011E058	20	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 30d5 30ed 30a2 5c02 7528 95a2 6570 30c6 30b9 30c8
0x0000157C	0x00028350	0x0011E078	704	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 8a93 7d04 0042 004a 88c5 7740 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30db 30b9 30c8 ff09
0x00001586	0x000283E4	0x0011E0A8	704	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 8a93 7d04 0042 004a 88c5 7740 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30b2 30b9 30c8 ff09
