infoStartAddr:	0x0E40
numEntries:	0x40	64
title:	LOCK_CAM_PARAM_ST
paramStartAddr:	0x00000640
entryID   	paramAddr 	infoAddr  	camDistTarget	rotRangeMinX	lockRotXShiftRatio	chrOrgOffset_Y	chrLockRangeMaxRadius	camFovY	chrLockRangeMaxRadius_forD	chrLockRangeMaxRadius_forPD
0x00000000	0x00000640	0x00000E40	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 30c7 30d5 30a9 30eb 30c8 5024
0x00000001	0x00000660	0x00000E4E	4.000	-40.000	0.600	1.420	30.000	43.000	-1.000	-1.000	 5f3e 4e38 767a 751f 6e90 30bf 30a4 30d7 300c 5c04 51fa 8005 306e 30bf 30fc 30b2 30c3 30c8 304b 3089 767a 751f 300d 7528
0x0000000A	0x00000680	0x00000E80	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0053 0050 30c6 30f3 30d7 30ec
0x00000834	0x000006A0	0x00000E8E	4.000	-15.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 62e0 70b9 8001 4eba ff08 899a 9192 ff09 3000 901a 5e38
0x00000835	0x000006C0	0x00000EAA	3.800	-20.000	0.250	1.420	22.000	43.000	9.000	5.000	 0076 0073 62e0 70b9 8001 4eba ff08 899a 9192 ff09 3000 8fd1 8ddd 96e2
0x00000839	0x000006E0	0x00000EC8	4.000	-15.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 60aa 5922 3092 7d99 3050 3082 306e 3000 901a 5e38
0x0000083A	0x00000700	0x00000EE2	3.800	-20.000	0.250	1.420	22.000	43.000	9.000	5.000	 0076 0073 60aa 5922 3092 7d99 3050 3082 306e 3000 8fd1 8ddd 96e2
0x00000898	0x00000720	0x00000EFE	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30a2 30a4 30b3 30ec 30af 30bf 30fc 3000 901a 5e38
0x00000899	0x00000740	0x00000F18	4.500	-40.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30a2 30a4 30b3 30ec 30af 30bf 30fc 3000 5168 8ddd 96e2
0x000008FC	0x00000760	0x00000F34	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 8840 306b 6e07 3044 305f 7363 3000 901a 5e38
0x000008FD	0x00000780	0x00000F4C	4.000	-40.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 8840 306b 6e07 3044 305f 7363 3000 5168 8ddd 96e2
0x00000901	0x000007A0	0x00000F66	4.200	-20.000	0.400	1.520	22.000	43.000	9.000	5.000	 0076 0073 5d50 306e 7363 ff08 9aa8 ff09 3000 901a 5e38
0x00000902	0x000007C0	0x00000F7E	4.500	0.000	0.300	1.520	22.000	48.000	9.000	5.000	 0076 0073 5d50 306e 7363 ff08 9aa8 ff09 3000 8fd1 8ddd 96e2
0x00000960	0x000007E0	0x00000F98	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 8056 5973 30d3 30fc 30b9 30c8 3000 901a 5e38
0x00000961	0x00000800	0x00000FB0	4.000	-10.000	0.250	1.420	22.000	43.000	9.000	5.000	 0076 0073 8056 5973 30d3 30fc 30b9 30c8 3000 5168 8ddd 96e2
0x0000096A	0x00000820	0x00000FCA	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 6559 533a 9577 3000 901a 5e38
0x0000096B	0x00000840	0x00000FDC	4.000	-15.000	0.250	1.420	22.000	43.000	9.000	5.000	 0076 0073 6559 533a 9577 3000 8fd1 8ddd 96e2
0x0000096F	0x00000860	0x00000FF0	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30ac 30b9 30b3 30a4 30f3 795e 7236 3000 901a 5e38
0x00000970	0x00000880	0x0000100A	4.000	-40.000	0.200	1.420	22.000	43.000	9.000	5.000	 0076 0073 30ac 30b9 30b3 30a4 30f3 795e 7236 3000 5168 8ddd 96e2
0x00000974	0x000008A0	0x00001026	4.500	-10.000	0.350	1.520	22.000	43.000	9.000	5.000	 0076 0073 6708 304b 3089 306e 4f7f 8005 305f 3061 3000 901a 5e38
0x00000975	0x000008C0	0x00001042	4.500	-15.000	0.850	1.520	22.000	43.000	9.000	5.000	 0076 0073 6708 304b 3089 306e 4f7f 8005 305f 3061 3000 8fd1 8ddd 96e2
0x00000979	0x000008E0	0x00001060	4.000	-10.000	0.250	1.420	22.000	43.000	9.000	5.000	 0076 0073 6708 306e 843d 3068 3057 5b50 3000 901a 5e38
0x0000097A	0x00000900	0x00001078	6.000	-40.000	0.150	1.620	22.000	43.000	9.000	5.000	 0076 0073 6708 306e 843d 3068 3057 5b50 3000 6d41 661f 9b54 6cd5 6642
0x000009C4	0x00000920	0x00001096	4.000	-40.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 738b 306e 6b7b 795e 3000 901a 5e38
0x000009C5	0x00000940	0x000010AA	4.000	-25.000	0.150	1.420	22.000	43.000	9.000	5.000	 0076 0073 738b 306e 6b7b 795e 3000 5927 9b54 6cd5 6642
0x00000A28	0x00000960	0x000010C2	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 60aa 5922 306e 4e3b 3000 901a 5e38
0x00000A29	0x00000980	0x000010D6	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 60aa 5922 306e 4e3b
0x00000A2D	0x000009A0	0x000010E4	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30ec 30c3 30b5 30fc 30c7 30fc 30e2 30f3 ff08 6b7b 3068 95c7 ff09 3000 901a 5e38
0x00000A2E	0x000009C0	0x0000110A	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30ec 30c3 30b5 30fc 30c7 30fc 30e2 30f3 ff08 6b7b 3068 95c7 ff09
0x00000A8C	0x000009E0	0x0000112A	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 95c7 306e 65c5 56e3 3000 901a 5e38
0x00000A8D	0x00000A00	0x0000113E	3.700	-40.000	0.350	1.320	22.000	43.000	9.000	5.000	 0076 0073 95c7 306e 65c5 56e3 3000 5168 8ddd 96e2
0x00000AF0	0x00000A20	0x00001154	4.000	-40.000	0.250	1.420	22.000	43.000	9.000	5.000	 0076 0073 306a 308a 305d 3053 306a 3044 306e 90aa 795e 3000 901a 5e38
0x00000AF1	0x00000A40	0x00001172	5.000	-25.000	0.450	1.620	22.000	43.000	9.000	5.000	 0076 0073 306a 308a 305d 3053 306a 3044 306e 90aa 795e 3000 8fd1 8ddd 96e2
0x00000B54	0x00000A60	0x00001192	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 30c7 30d5 30a9 30eb 30c8
