infoStartAddr:	0x6390
numEntries:	0x1C6	454
title:	MENUPROPERTY_LAYOUT
paramStartAddr:	0x00002AD0
entryID   	paramAddr 	infoAddr  	LayoutPath[16]	PropertyID	CaptionTextID	HelpTextID	reserved[4]
0x00000064	0x00002AD0	0x00006390	0	0	0	0	100	 30a4 30f3 30d9 30f3 30c8 30ea ff1a 3010 6d88 8017 54c1 3011 30ea 30b9 30c8 8868 793a 005f 0030 3000 0050 0061 0072 0061 006d 005f 0030
0x00000065	0x00002AF0	0x000063C8	101	101	0	0	101	 0050 0061 0072 0061 006d 005f 0030 005f 0054
0x00000066	0x00002B10	0x000063DC	0	0	0	0	102	 0050 0061 0072 0061 006d 005f 0031
0x00000067	0x00002B30	0x000063EC	0	0	0	0	103	 30a4 30f3 30d9 30f3 30c8 30ea ff1a 3010 6d88 8017 54c1 3011 30ea 30b9 30c8 8868 793a 005f 0030 005f 7d42 7aef
0x000000C8	0x00002B50	0x0000641A	103	103	0	39001	200	 30a4 30f3 30d9 30f3 30c8 30ea ff1a 3010 6d88 8017 54c1 3011 901a 5e38 8868 793a 005f 0030 3000 004e 0075 006d 0062 0065 0072 0048 0065 006c 0064
0x000000C9	0x00002B70	0x00006456	106	106	0	0	201	 004e 0075 006d 0062 0065 0072 0048 0065 006c 0064 004d 0041 0058
0x000000CA	0x00002B90	0x00006472	104	104	0	39002	202	 0049 0074 0065 006d 005f 0031 005f 0054 0050 005f 0042 0061 0073 0065
0x000000CB	0x00002BB0	0x00006490	107	107	0	0	203	 0049 0074 0065 006d 005f 0031 005f 0054 0050 005f 0041 0064 0064
0x000000CC	0x00002BD0	0x000064AC	201	201	0	36001	204	 0049 0074 0065 006d 005f 0032
0x000000CD	0x00002BF0	0x000064BA	200	200	0	36002	205	 0049 0074 0065 006d 005f 0033 005f 0054 0050
0x000000CE	0x00002C10	0x000064CE	0	0	16011	36011	206	 0049 0074 0065 006d 005f 0035 005f 0054
0x000000CF	0x00002C30	0x000064E0	202	202	0	0	207	 0049 0074 0065 006d 005f 0036 005f 0049 0063 006f 006e 005f 0031
0x000000D0	0x00002C50	0x000064FC	203	203	0	0	208	 0049 0074 0065 006d 005f 0036 005f 0049 0063 006f 006e 005f 0032
0x000000D1	0x00002C70	0x00006518	204	204	0	0	209	 0049 0074 0065 006d 005f 0036 005f 0049 0063 006f 006e 005f 0033
0x000000D2	0x00002C90	0x00006534	205	205	0	0	210	 0049 0074 0065 006d 005f 0036 005f 0049 0063 006f 006e 005f 0034
0x000000D3	0x00002CB0	0x00006550	0	0	16021	36021	211	 0049 0074 0065 006d 005f 0037 005f 0054
0x000000D4	0x00002CD0	0x00006562	206	206	0	0	212	 0049 0074 0065 006d 005f 0038 005f 0049 0063 006f 006e 005f 0031
0x000000D5	0x00002CF0	0x0000657E	207	207	0	0	213	 0049 0074 0065 006d 005f 0038 005f 0049 0063 006f 006e 005f 0032
0x000000D6	0x00002D10	0x0000659A	208	208	0	0	214	 0049 0074 0065 006d 005f 0038 005f 0049 0063 006f 006e 005f 0033
0x000000D7	0x00002D30	0x000065B6	209	209	0	0	215	 0049 0074 0065 006d 005f 0038 005f 0049 0063 006f 006e 005f 0034
0x000000D8	0x00002D50	0x000065D2	0	0	0	0	216	 30a4 30f3 30d9 30f3 30c8 30ea ff1a 3010 6d88 8017 54c1 3011 901a 5e38 8868 793a 005f 7d42 7aef
0x0000044C	0x00002D70	0x000065FA	54	310	0	0	76	 30a4 30f3 30d9 30f3 30c8 30ea ff1a 3010 6b66 5668 3011 30ea 30b9 30c8 8868 793a 005f 0030
0x0000044D	0x00002D90	0x00006620	55	311	0	0	77	 30a4 30f3 30d9 30f3 30c8 30ea ff1a 3010 6b66 5668 3011 30ea 30b9 30c8 8868 793a 005f 0031
