infoStartAddr:	0x1EA8
numEntries:	0x8B	139
title:	MENUPROPERTY_SPEC
paramStartAddr:	0x00000D48
entryID   	paramAddr 	infoAddr  	CaptionTextID	IconID	RequiredPropertyID	CompareType	FormatType	AdhocCaption[9]
0x00000000	0x00000D48	0x00001EA8	0	0	0	0	0	0	 002d 002d 002d 002d
0x00000064	0x00000D68	0x00001EB2	0	0	0	0	0	0	 3010 30a2 30a4 30c6 30e0 3011 540d 524d
0x00000065	0x00000D88	0x00001EC4	0	0	0	0	0	0	 3010 30a2 30a4 30c6 30e0 3011 7c21 6613 8aac 660e
0x00000066	0x00000DA8	0x00001EDA	0	0	0	0	0	0	 3010 30a2 30a4 30c6 30e0 3011 3046 3093 3061 304f
0x00000067	0x00000DC8	0x00001EF0	19001	0	0	1	0	0	 3010 30a2 30a4 30c6 30e0 3011 6240 6301 6570
0x00000068	0x00000DE8	0x00001F04	19002	0	0	1	0	0	 3010 30a2 30a4 30c6 30e0 3011 5009 5eab 6240 6301 6570
0x00000069	0x00000E08	0x00001F1C	0	0	0	2	0	0	 3010 30a2 30a4 30c6 30e0 3011 30bd 30fc 30c8 0049 0044
0x0000006A	0x00000E28	0x00001F34	0	0	0	1	0	0	 3010 30a2 30a4 30c6 30e0 3011 6700 5927 6240 6301 6570
0x0000006B	0x00000E48	0x00001F4C	0	0	0	1	0	0	 3010 30a2 30a4 30c6 30e0 3011 5009 5eab 6700 5927 6240 6301 6570
0x000000C8	0x00000E68	0x00001F68	16002	7027	0	2	2	0	 3010 6d88 8017 54c1 3011 6d88 8cbb 5f3e 4e38 6570
0x000000C9	0x00000E88	0x00001F7E	16001	0	0	0	110	0	 3010 6d88 8017 54c1 3011 4f7f 7528 6642 6d88 8cbb 30bf 30a4 30d7
0x000000CA	0x00000EA8	0x00001F9A	16012	7008	0	1	100	0	 3010 6d88 8017 54c1 3011 80fd 529b 88dc 6b63 ff1a 7b4b 529b
0x000000CB	0x00000EC8	0x00001FB4	16013	7009	0	1	100	0	 3010 6d88 8017 54c1 3011 80fd 529b 88dc 6b63 ff1a 6280 91cf
0x000000CC	0x00000EE8	0x00001FCE	16014	7010	0	1	100	0	 3010 6d88 8017 54c1 3011 80fd 529b 88dc 6b63 ff1a 5c04 6483
0x000000CD	0x00000F08	0x00001FE8	16015	7011	0	1	100	0	 3010 6d88 8017 54c1 3011 80fd 529b 88dc 6b63 ff1a 9b54 6cd5
0x000000CE	0x00000F28	0x00002002	16022	7012	10102	0	2	0	 3010 6d88 8017 54c1 3011 5fc5 8981 80fd 529b ff1a 7b4b 529b
0x000000CF	0x00000F48	0x0000201C	16023	7013	10103	0	2	0	 3010 6d88 8017 54c1 3011 5fc5 8981 80fd 529b ff1a 6280 91cf
0x000000D0	0x00000F68	0x00002036	16024	7014	10104	0	2	0	 3010 6d88 8017 54c1 3011 5fc5 8981 80fd 529b ff1a 5c04 6483
0x000000D1	0x00000F88	0x00002050	16025	7015	10105	0	2	0	 3010 6d88 8017 54c1 3011 5fc5 8981 80fd 529b ff1a 9b54 6cd5
0x0000012C	0x00000FA8	0x0000206A	11001	0	0	0	0	0	 3010 6b66 5668 3011 7a2e 5225
0x0000012D	0x00000FC8	0x00002078	11002	0	0	0	0	0	 3010 6b66 5668 3011 653b 6483 30bf 30a4 30d7 540d
0x00000136	0x00000FE8	0x0000208E	11003	7000	0	1	2	0	 3010 6b66 5668 3011 8fd1 63a5 653b 6483 529b
0x00000137	0x00001008	0x000020A2	11004	7004	0	1	2	0	 3010 6b66 5668 3011 9283 6483 653b 6483 529b
0x00000138	0x00001028	0x000020B6	11005	7005	0	1	2	0	 3010 6b66 5668 3011 9b54 6cd5 653b 6483 529b
0x00000139	0x00001048	0x000020CA	11006	7006	0	1	2	0	 3010 6b66 5668 3011 708e 653b 6483 529b
0x0000013A	0x00001068	0x000020DC	11007	7007	0	1	2	0	 3010 6b66 5668 3011 96f7 653b 6483 529b
0x00000140	0x00001088	0x000020EE	0	0	0	1	1	0	 3010 6b66 5668 3011 7269 7406 4ed8 52a0 653b 6483 529b
0x00000141	0x000010A8	0x00002106	0	0	0	1	1	0	 3010 6b66 5668 3011 9283 6483 4ed8 52a0 653b 6483 529b
0x00000142	0x000010C8	0x0000211E	0	0	0	1	1	0	 3010 6b66 5668 3011 9b54 6cd5 4ed8 52a0 653b 6483 529b
0x00000143	0x000010E8	0x00002136	0	0	0	1	1	0	 3010 6b66 5668 3011 708e 4ed8 52a0 653b 6483 529b
0x00000144	0x00001108	0x0000214C	0	0	0	1	1	0	 3010 6b66 5668 3011 96f7 4ed8 52a0 653b 6483 529b
0x00000145	0x00001128	0x00002162	11009	7002	0	1	1	0	 3010 6b66 5668 3011 8fd1 63a5 5c5e 6027 653b 6483 529b
0x00000146	0x00001148	0x0000217A	11010	7003	0	1	1	0	 3010 6b66 5668 3011 523a 7a81 5c5e 6027 653b 6483 529b
0x00000147	0x00001168	0x00002192	11008	7001	0	1	1	0	 3010 6b66 5668 3011 6253 6483 8fd1 63a5 5c5e 6027 653b 6483 529b
0x00000148	0x00001188	0x000021AE	11016	7027	0	2	2	0	 3010 6b66 5668 3011 6d88 8cbb 5f3e 4e38 6570
0x0000014A	0x000011A8	0x000021C2	11011	7025	0	1	0	0	 3010 6b66 5668 3011 81f4 547d 653b 6483 529b
0x0000014B	0x000011C8	0x000021D6	11091	7037	0	1	0	0	 3010 6b66 5668 3011 52b9 679c ff1a 6bd2
0x0000014C	0x000011E8	0x000021E8	11092	7038	0	1	0	0	 3010 6b66 5668 3011 52b9 679c ff1a 6d41 8840
0x0000014F	0x00001208	0x000021FC	11093	6010	0	1	0	0	 3010 6b66 5668 3011 7279 5225 30c0 30e1 30fc 30b8 52b9 679c ff1a 6708
0x00000150	0x00001228	0x0000221A	11094	6011	0	1	0	0	 3010 6b66 5668 3011 7279 5225 30c0 30e1 30fc 30b8 52b9 679c ff1a 7363
0x00000154	0x00001248	0x00002238	11041	7008	0	1	100	0	 3010 6b66 5668 3011 80fd 529b 88dc 6b63 ff1a 7b4b 529b
0x00000155	0x00001268	0x00002250	11042	7009	0	1	100	0	 3010 6b66 5668 3011 80fd 529b 88dc 6b63 ff1a 6280 91cf
0x00000156	0x00001288	0x00002268	11043	7010	0	1	100	0	 3010 6b66 5668 3011 80fd 529b 88dc 6b63 ff1a 5c04 6483
0x00000157	0x000012A8	0x00002280	11044	7011	0	1	100	0	 3010 6b66 5668 3011 80fd 529b 88dc 6b63 ff1a 9b54 6cd5
0x0000015E	0x000012C8	0x00002298	11060	7012	10102	0	2	0	 3010 6b66 5668 3011 5fc5 8981 80fd 529b ff1a 7b4b 529b
0x0000015F	0x000012E8	0x000022B0	11061	7013	10103	0	2	0	 3010 6b66 5668 3011 5fc5 8981 80fd 529b ff1a 6280 91cf
0x00000160	0x00001308	0x000022C8	11062	7014	10104	0	2	0	 3010 6b66 5668 3011 5fc5 8981 80fd 529b ff1a 5c04 6483
0x00000161	0x00001328	0x000022E0	11063	7015	10105	0	2	0	 3010 6b66 5668 3011 5fc5 8981 80fd 529b ff1a 9b54 6cd5
0x00000168	0x00001348	0x000022F8	11081	7025	0	1	0	0	 3010 6b66 5668 3011 73fe 5728 8010 4e45 5024
0x00000169	0x00001368	0x0000230C	11081	7025	0	1	0	0	 3010 6b66 5668 3011 6700 5927 8010 4e45 5024
0x00000172	0x00001388	0x00002320	0	0	0	1	0	0	 3010 6b66 5668 3011 9b54 77f3 88c5 5099 6570
0x00000173	0x000013A8	0x00002334	0	0	0	1	0	0	 3010 6b66 5668 3011 9b54 77f3 30b9 30ed 30c3 30c8 6570
0x0000017C	0x000013C8	0x0000234C	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0031
0x0000017D	0x000013E8	0x00002360	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0032
0x0000017E	0x00001408	0x00002374	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0033
0x0000017F	0x00001428	0x00002388	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0034
0x00000180	0x00001448	0x0000239C	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0035
0x00000181	0x00001468	0x000023B0	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0036
0x00000182	0x00001488	0x000023C4	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0037
0x00000183	0x000014A8	0x000023D8	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0038
0x00000184	0x000014C8	0x000023EC	0	0	0	0	0	0	 3010 6b66 5668 3011 9b54 77f3 52b9 679c 0039
0x00000190	0x000014E8	0x00002400	12010	7048	0	2	3	0	 3010 9632 5177 3011 30c0 30e1 30fc 30b8 30ab 30c3 30c8 7387 ff1a 65ac 6483
0x00000191	0x00001508	0x00002420	12011	7049	0	2	3	0	 3010 9632 5177 3011 30c0 30e1 30fc 30b8 30ab 30c3 30c8 7387 ff1a 523a 7a81
0x00000192	0x00001528	0x00002440	12012	7050	0	2	3	0	 3010 9632 5177 3011 30c0 30e1 30fc 30b8 30ab 30c3 30c8 7387 ff1a 6253 6483
0x00000193	0x00001548	0x00002460	12013	7051	0	2	3	0	 3010 9632 5177 3011 30c0 30e1 30fc 30b8 30ab 30c3 30c8 7387 ff1a 9283 6483
0x00000194	0x00001568	0x00002480	12014	7052	0	2	3	0	 3010 9632 5177 3011 30c0 30e1 30fc 30b8 30ab 30c3 30c8 7387 ff1a 9b54 6cd5
0x00000195	0x00001588	0x000024A0	12015	7053	0	2	3	0	 3010 9632 5177 3011 30c0 30e1 30fc 30b8 30ab 30c3 30c8 7387 ff1a 708e
