infoStartAddr:	0x2308
numEntries:	0x35	53
title:	MOVE_PARAM_ST
paramStartAddr:	0x00000538
entryID   	paramAddr 	infoAddr  	stayId	walkF	walkB	walkL	walkR	dashF	dashB	dashL	dashR	superDash	escapeF	escapeB	escapeL	escapeR	turnL	trunR	largeTurnL	largeTurnR	stepMove	flyStay	flyWalkF	flyWalkFL	flyWalkFR	flyWalkFL2	flyWalkFR2	flyDashF	flyDashFL	flyDashFR	flyDashFL2	flyDashFR2	dashEscapeF	dashEscapeB	dashEscapeL	dashEscapeR	analogMoveParamId	turnNoAnimAngle	turn45Angle	turn90Angle	turnWaitNoAnimAngle
0x00000000	0x00000538	0x00002308	0	200	201	202	203	500	501	502	503	510	700	701	702	703	602	603	604	605	680	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 8efd 91cf
0x00000001	0x000005C8	0x0000230E	0	200	201	202	203	500	501	502	503	510	705	706	707	708	602	603	604	605	681	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 8efd 91cf ff0b
0x00000005	0x00000658	0x00002316	0	300	301	302	303	550	551	552	553	760	710	711	712	713	602	603	604	605	690	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 4e2d 91cf
0x00000006	0x000006E8	0x0000231C	0	300	301	302	303	550	551	552	553	760	715	716	717	718	602	603	604	605	691	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 4e2d 91cf ff0b
0x0000000A	0x00000778	0x00002324	0	310	311	312	313	560	561	562	563	770	720	721	722	723	602	603	604	605	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 91cd 91cf
0x0000000F	0x00000808	0x0000232A	0	310	311	312	313	-1	-1	-1	-1	-1	730	731	732	733	602	603	604	605	696	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 91cd 91cf 30aa 30fc 30d0 30fc
0x00000010	0x00000898	0x00002338	0	200	201	202	203	500	501	502	503	510	735	736	737	738	602	603	604	605	697	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 8d85 8efd 91cf
0x00000014	0x00000928	0x00002340	0	200	201	202	203	-1	-1	-1	-1	-1	700	701	702	703	602	603	604	605	680	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 64ec 614b 005f 8efd 91cf
0x00000015	0x000009B8	0x0000234C	0	200	201	202	203	-1	-1	-1	-1	-1	705	706	707	708	602	603	604	605	681	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 64ec 614b 005f 8efd 91cf ff0b
0x00000019	0x00000A48	0x0000235A	0	300	301	302	303	-1	-1	-1	-1	-1	710	711	712	713	602	603	604	605	690	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 64ec 614b 005f 4e2d 91cf
0x0000001A	0x00000AD8	0x00002366	0	300	301	302	303	-1	-1	-1	-1	-1	715	716	717	718	602	603	604	605	691	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 64ec 614b 005f 4e2d 91cf ff0b
0x0000001E	0x00000B68	0x00002374	0	310	311	312	313	-1	-1	-1	-1	-1	720	721	722	723	602	603	604	605	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 64ec 614b 005f 91cd 91cf
0x00000023	0x00000BF8	0x00002380	0	310	311	312	313	-1	-1	-1	-1	-1	730	731	732	733	602	603	604	605	696	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 64ec 614b 005f 91cd 91cf 30aa 30fc 30d0 30fc
0x00000024	0x00000C88	0x00002394	0	200	201	202	203	-1	-1	-1	-1	-1	735	736	737	738	602	603	604	605	697	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 64ec 614b 005f 8d85 8efd 91cf
0x00000028	0x00000D18	0x000023A2	0	300	301	302	303	-1	-1	-1	-1	550	700	701	702	703	602	603	604	605	690	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	 6c34 4e2d ff08 6df1 ff09 005f 8efd 91cf
0x00000029	0x00000DA8	0x000023B4	0	300	301	302	303	-1	-1	-1	-1	550	705	706	707	708	602	603	604	605	691	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	 6c34 4e2d ff08 6df1 ff09 005f 8efd 91cf ff0b
0x0000002D	0x00000E38	0x000023C8	0	310	311	312	313	-1	-1	-1	-1	560	710	711	712	713	602	603	604	605	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	 6c34 4e2d ff08 6df1 ff09 005f 4e2d 91cf
0x0000002E	0x00000EC8	0x000023DA	0	310	311	312	313	-1	-1	-1	-1	560	715	716	717	718	602	603	604	605	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	 6c34 4e2d ff08 6df1 ff09 005f 4e2d 91cf ff0b
0x00000032	0x00000F58	0x000023EE	0	310	311	312	313	-1	-1	-1	-1	560	720	721	722	723	602	603	604	605	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	 6c34 4e2d ff08 6df1 ff09 005f 91cd 91cf
0x00000037	0x00000FE8	0x00002400	0	310	311	312	313	-1	-1	-1	-1	-1	730	731	732	733	602	603	604	605	696	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	 6c34 4e2d ff08 6df1 ff09 005f 91cd 91cf 30aa 30fc 30d0 30fc
0x00000038	0x00001078	0x0000241A	0	300	301	302	303	-1	-1	-1	-1	550	700	701	702	703	602	603	604	605	690	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	 6c34 4e2d ff08 6df1 ff09 005f 8d85 8efd 91cf
0x0000003C	0x00001108	0x0000242E	0	400	401	402	403	410	411	412	413	420	700	701	702	703	602	603	604	605	680	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 3010 0053 0050 3011 30ac 30fc 30c9 8b66 6212 005f 8efd 91cf
0x0000003D	0x00001198	0x00002448	0	400	401	402	403	410	411	412	413	420	705	706	707	708	602	603	604	605	681	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 3010 0053 0050 3011 30ac 30fc 30c9 8b66 6212 005f 8efd 91cf ff0b
0x00000041	0x00001228	0x00002464	0	400	401	402	403	410	411	412	413	420	710	711	712	713	602	603	604	605	690	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 3010 0053 0050 3011 30ac 30fc 30c9 8b66 6212 005f 4e2d 91cf
0x00000042	0x000012B8	0x0000247E	0	400	401	402	403	410	411	412	413	420	715	716	717	718	602	603	604	605	691	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 3010 0053 0050 3011 30ac 30fc 30c9 8b66 6212 005f 4e2d 91cf ff0b
0x00000046	0x00001348	0x0000249A	0	430	431	432	433	440	441	442	443	450	720	721	722	723	602	603	604	605	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 3010 0053 0050 3011 30ac 30fc 30c9 8b66 6212 005f 91cd 91cf
0x0000004B	0x000013D8	0x000024B4	0	430	431	432	433	440	441	442	443	450	730	731	732	733	602	603	604	605	696	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 3010 0053 0050 3011 30ac 30fc 30c9 8b66 6212 005f 91cd 91cf 30aa 30fc 30d0 30fc
0x0000004C	0x00001468	0x000024D6	0	400	401	402	403	410	411	412	413	420	735	736	737	738	602	603	604	605	697	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	900	-1	-1	-1	-1	0	0	0	0	 3010 0053 0050 3011 30ac 30fc 30c9 8b66 6212 005f 8d85 8efd 91cf
0x00000064	0x000014F8	0x000024F2	0	200	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 6575 57fa 672c 3000 6226 95d8 6642
0x00000065	0x00001588	0x00002502	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	602	603	604	605	-1	0	200	202	203	202	203	500	502	503	502	503	-1	-1	-1	-1	-1	5	45	90	45	 9ce5 6a19 6e96
0x00000066	0x00001618	0x0000250A	9900	9100	9101	9102	9103	9200	9201	9202	9203	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30ac 30fc 30c9
0x00000067	0x000016A8	0x00002512	0	200	200	200	200	500	500	500	500	-1	-1	-1	-1	-1	602	603	604	605	-1	0	200	200	200	200	200	500	500	500	500	500	-1	-1	-1	-1	-1	5	45	90	45	 72ac
0x00000068	0x00001738	0x00002516	990021	990021	990021	990021	990021	990021	990021	990021	990021	990021	-1	-1	-1	-1	990021	990021	990021	990021	-1	990021	990021	990021	990021	990021	990021	990021	990021	990021	990021	990021	-1	-1	-1	-1	-1	5	45	90	45	 30c9 30e9 30b4 30f3 30c7 30fc 30e2 30f3
0x00000069	0x000017C8	0x00002528	10	210	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 6575 57fa 672c 3000 975e 6226 95d8 6642
0x0000006A	0x00001858	0x0000253A	0	200	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30a6 30ed 30b3 9271 592b 3000 6226 95d8 6642
