infoStartAddr:	0x36C60
numEntries:	0x518	1304
title:	NPC_THINK_PARAM_ST
paramStartAddr:	0x00007A80
entryID   	paramAddr 	infoAddr  	logicId	battleGoalID	nearDist	midDist	farDist	outDist	BackHomeLife_OnHitEneWal	goalID_ToCaution	idAttackCannotMove	goalID_ToFind	callHelp_ActionAnimId	callHelp_CallActionId	eye_dist	ear_dist	ear_soundcut_dist	nose_dist	maxBackhomeDist	backhomeDist	backhomeBattleDist	nonBattleActLife	BackHome_LookTargetTime	BackHome_LookTargetDist	SightTargetForgetTime	SoundTargetForgetTime	BattleStartDist	callHelp_MyPeerId	callHelp_CallPeerId	targetSys_DmgEffectRate	TeamAttackEffectivity	eye_angX	eye_angY	ear_angX	ear_angY	callHelp_CallValidMinDistTarget	callHelp_CallValidRange	callHelp_ForgetTimeByArrival	callHelp_MinWaitTime	callHelp_MaxWaitTime	goalAction_ToCaution	goalAction_ToFind	callHelp_ReplyBehaviorType	disablePathMove	skipArrivalVisibleCheck	thinkAttr_doAdmirer	enableNaviFlg_Edge:1	enableNaviFlg_LargeSpace:1	enableNaviFlg_Ladder:1	enableNaviFlg_Hole:1	enableNaviFlg_Door:1	enableNaviFlg_InSideWall:1	enableNaviFlg_Edge_Ordinary:1	enableNaviFlg_reserve0:1	enableNaviFlg_reserve1[3]	eyeDist_forDark	battleStartDist_forDark	eyeDist_forPitchDark	battleStartDist_forPitchDark	platoonReplyTime	platoonReplyAddRandomTime	eye_BackOffsetDist	eye_BeginDist	target_ArriveDist	point_ArriveDist	changeStateAction_ToFind	changeStateAction_ToCaution	changeStateAction_ToBattle	goalAction_ToDisappear	disableLocalSteering	actTypeOnFailedPath	interestCategory	goalAction_ToInterest	goalID_ToInterest	changeStateAction_ToInterest	changeStateAction_ToNormal	pad[6]
0x00000000	0x00007A80	0x00036C60	10000	11000	2.000000	5.000000	10.000000	20.000000	0.000000	0	3000	0	-1	-1	20	10	0	0	75	50	15	5	10	20	150	150	20	0	0	100	25	70	80	90	180	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0		10	10	5	7	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	2	0	2	100	3	0	0	0	0	 30c6 30b9 30c8 7528
0x00000001	0x00007B14	0x00036C6A	11000	11000	3.000000	6.000000	20.000000	30.000000	0.000000	0	3000	0	0	0	30	10	0	0	9999	9998	6	5	10	20	150	150	20	0	0	100	0	70	80	90	180	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0		15	10	10	7	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	0	0	2	100	3	0	0	0	0	 306a 306b 3082 3057 306a 3044 7528
0x00000002	0x00007BA8	0x00036C7A	11001	11000	3.000000	6.000000	20.000000	30.000000	0.000000	0	3000	0	0	0	30	10	0	0	9999	9998	6	5	10	20	150	150	20	0	0	100	0	70	80	90	180	0	0	0	0	0	3	3	0	0	0	0	1	1	1	0	1	0	1	0		15	10	10	7	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	2	0	2	100	3	0	0	0	0	 305a 3063 3068 3064 3044 3066 304f 308b 7528
0x0000000A	0x00007C3C	0x00036C8E	10000	11000	2.000000	5.000000	10.000000	20.000000	5.000000	0	3000	0	0	0	20	10	0	0	75	50	6	5	10	20	150	150	20	0	0	100	25	70	80	90	180	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	1	0		10	10	7	7	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	2	0	2	100	3	0	0	0	0	 3042 305f 308a 3055 308f 308a 306e 306a 3044 30c7 30fc 30bf ff08 30b3 30d4 30da 5143 63a8 5968 ff09
0x00000064	0x00007CD0	0x00036CB8	100	11000	2.000000	5.000000	10.000000	20.000000	5.000000	0	3000	0	-1	-1	20	10	0	0	75	50	6	5	10	20	150	150	20	0	0	100	25	70	80	90	180	0	0	0	0	0	2	2	0	0	0	0	1	1	1	0	0	0	1	0		10	10	7	7	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	2	0	2	100	3	0	0	0	0	 0053 0050 3000 30ac 30fc 30c9 78ba 8a8d 7528 30ed 30b8 30c3 30af
0x000000C8	0x00007D64	0x00036CD4	10000	200	2.000000	5.000000	10.000000	20.000000	5.000000	0	3000	0	-1	-1	20	10	0	0	75	50	6	5	10	20	150	150	20	0	0	100	25	70	80	90	180	0	0	0	0	0	2	2	0	0	0	0	1	1	1	0	0	0	1	0		10	10	7	7	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	2	0	2	100	3	0	0	0	0	 0053 0050 3000 0048 0061 0076 006f 006b 0042 0065 0068 0061 0076 0069 006f 0072 691c 8a3c 7528
0x000000D2	0x00007DF8	0x00036CFC	10000	210	2.000000	5.000000	10.000000	20.000000	5.000000	0	3000	0	0	0	25	10	0	0	75	50	6	5	7	20	150	150	20	0	0	100	25	70	80	90	180	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0		12	12	8	8	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	1	0	2	100	3	0	0	0	0	 0053 0050 3000 7fa4 8846 0042 ff08 30ec 30f3 30ac ff09 3000 30a2 30af 30b7 30e7 30f3 30c6 30b9 30c8 7528
0x000000DC	0x00007E8C	0x00036D28	10000	220	2.000000	5.000000	10.000000	20.000000	5.000000	0	3000	0	0	0	25	10	0	0	75	50	6	5	10	20	150	150	20	0	0	100	25	70	80	90	180	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0		12	12	8	8	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	1	0	2	100	3	0	0	0	0	 0053 0050 3000 7fa4 8846 0042 ff08 30ec 30f3 30ac ff09 3000 30d5 30ec 30fc 30e0 30ef 30fc 30af 30c6 30b9 30c8 7528
0x0000012C	0x00007F20	0x00036D58	10100	100000	1.500000	3.500000	10.000000	20.000000	5.000000	0	3000	0	0	0	20	10	0	5	75	50	6	5	10	20	150	150	20	0	0	100	25	70	80	90	180	0	0	0	0	0	2	2	0	0	0	1	1	1	0	0	0	0	1	0		10	10	7	7	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	2	0	2	100	3	0	0	0	0	 0053 0050 3000 731f 72ac 005f 8b66 6212 884c 52d5 30c6 30b9 30c8
0x000001F4	0x00007FB4	0x00036D74	10000	500	1.500000	3.500000	10.000000	20.000000	5.000000	0	3000	0	0	0	20	10	0	5	75	50	6	5	10	20	150	150	17	0	0	100	25	70	80	90	180	0	0	0	0	0	2	1	0	0	0	1	1	1	0	0	0	0	1	0		10	10	7	6	0.000000	0.000000	3	3	1.000000	1.000000	0	0	0	2	0	2	100	3	0	0	0	0	 0053 0050 3000 731f 72ac 005f 653b 6483 30b4 30fc 30eb 30d0 30b0 691c 8a3c 7528
