infoStartAddr:	0x3058
numEntries:	0xAB	171
title:	OBJ_ACT_PARAM_ST
paramStartAddr:	0x00001048
entryID   	paramAddr 	infoAddr  	actionEnableMsgId	actionFailedMsgId	spQualifiedPassEventFlag	playerAnimId	chrAnimId	validDist	spQualifiedId	spQualifiedId2	objDummyId	pad0[1]	objAnimId	validPlayerAngle	spQualifiedType	spQualifiedType2	validObjAngle	chrSorbType	eventKickTiming	pad1[2]	actionButtonParamId	actionSuccessMsgId
0x00000000	0x00001048	0x00003058	10010500	-1	-1	101150	7100	150	0	0	191		1	60	0	0	30	0	0		-1	-1	 5fc5 8981
0x00000001	0x00001078	0x0000305E	0	-1	-1	101100	7110	0	0	0	100		0	0	0	0	0	0	1		7000	-1	 6c4e 7528 6249 30b5 30f3 30d7 30eb
0x00000014	0x000010A8	0x0000306E	0	-1	-1	101111	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 4e21 958b 304d 5927 6249 30b5 30f3 30d7 30eb
0x0000001E	0x000010D8	0x00003082	0	-1	-1	101114	7110	0	0	0	120		1	0	0	0	0	0	1		7030	-1	 4e21 958b 304d 5c0f 6249 30b5 30f3 30d7 30eb 005f 5f15 3044 3066 958b 3051 308b
0x0000001F	0x00001108	0x000030A4	0	-1	-1	101113	7110	0	0	0	121		1	0	0	0	0	0	1		7031	-1	 4e21 958b 304d 5c0f 6249 30b5 30f3 30d7 30eb 005f 62bc 3057 3066 958b 3051 308b
0x00000064	0x00001138	0x000030C6	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	0		7100	-1	 6c4e 7528 30ec 30d0 30fc 30b5 30f3 30d7 30eb
0x0000006E	0x00001168	0x000030DA	10010420	-1	-1	101141	7521	75	0	0	191		0	60	0	0	60	0	1		-1	-1	 5b9d 7bb1
0x00000140	0x00001198	0x000030E0	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	0		7100	-1	 006d 0032 0034 005f 0030 0030 005f 30ec 30d0 30fc 005f 5b64 5150 9662 005f 5916
0x000001D6	0x000011C8	0x00003102	0	-1	-1	101112	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 8056 5802
0x000001D7	0x000011F8	0x0000311A	0	-1	-1	101110	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 5b64 5150 9662 0032 0046
0x000001D8	0x00001228	0x00003138	0	-1	-1	101110	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 5b64 5150 9662 0031 0046
0x000001EA	0x00001258	0x00003156	0	10010163	12400260	101110	7120	0	2006	0	120		1	0	1	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 8056 5802 5927 9580 9375 4ed8 304d
0x000003F2	0x00001288	0x00003178	10010400	-1	-1	101100	7110	70	0	0	100		0	60	0	0	30	0	1		-1	-1	 0074 0065 0073 0074 005f 6249 30c6 30b9 30c8
0x000003F3	0x000012B8	0x0000318C	10010400	10010163	-1	101100	7110	70	2001	0	100		0	60	1	0	30	0	1		-1	-1	 0074 0065 0073 0074 005f 6249 30c6 30b9 30c8
0x000003F4	0x000012E8	0x000031A0	10010400	10010163	-1	101100	7110	70	2018	0	100		0	60	2	0	30	0	1		-1	-1	 0074 0065 0073 0074 005f 6249 30c6 30b9 30c8
0x000004B0	0x00001318	0x000031B4	10010501	-1	-1	101150	7100	90	0	0	191		1	45	0	0	45	0	0		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6559 4f1a 9580 30ec 30d0 30fc
0x000004B2	0x00001348	0x000031D0	10010501	-1	-1	101150	7100	90	0	0	191		0	45	0	0	45	0	0		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6559 4f1a 9418 30ec 30d0 30fc
0x00000519	0x00001378	0x000031EC	10010400	10010163	11010191	101100	7110	60	2019	2100	100		0	60	1	1	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 30cf 30f3 30de 30fc 5854 6249 ff08 4e0a ff09
0x0000051A	0x000013A8	0x0000320E	10010400	10010163	11010171	101100	7110	60	2014	0	100		1	60	1	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0030 ff08 57ce 4e0b 0032 63a5 7d9a ff09
0x0000051C	0x000013D8	0x00003238	10010400	10010163	11010190	101100	7110	60	2017	2100	100		1	60	1	1	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0030 ff08 6559 4f1a 7262 ff09
0x0000051E	0x00001408	0x0000325E	10010400	10010163	11010140	101100	7110	60	2021	2100	100		0	60	1	1	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0030 ff08 9375 6c11 5bb6 ff09
0x0000051F	0x00001438	0x00003284	10010400	-1	-1	101100	7110	60	0	0	100		0	60	0	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0031
0x00000520	0x00001468	0x000032A0	10010400	-1	-1	101100	7110	60	0	0	100		0	60	0	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0032
0x00000521	0x00001498	0x000032BC	10010400	-1	-1	101100	7110	60	0	0	100		0	60	0	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0033
0x00000522	0x000014C8	0x000032D8	10010400	10010161	11010160	101100	7110	60	4150	0	100		0	60	2	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0034 ff08 4e0b 5c64 884c ff09
0x00000523	0x000014F8	0x000032FE	10010400	-1	-1	101100	7110	60	0	0	100		0	60	0	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0030 005f 6c4e 7528 6249 005f 0030 0035
0x00000525	0x00001528	0x0000331A	10010400	10010163	11010181	101100	7110	60	2021	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0037 ff08 76e3 7981 90e8 5c4b ff09
0x00000526	0x00001558	0x00003342	10010400	-1	-1	101100	7110	60	0	0	100		0	60	0	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 005f 0030 0038
0x000005B9	0x00001588	0x0000335E	10010400	10010163	11020120	101100	7110	60	2015	2100	100		0	60	1	1	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0032 005f 30ea 30d5 30c8 90e8 5c4b 306e 6249
0x0000060E	0x000015B8	0x0000337C	10010503	-1	-1	101210	7100	90	0	0	191		1	45	0	0	45	0	0		-1	-1	 ff4d 0031 0031 005f 0030 0030 005f 6c4e 7528 30cf 30f3 30c9 30eb
0x0000062C	0x000015E8	0x00003398	10010400	10010163	11100120	101100	7110	60	2009	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0031 005f 0030 0030 005f 6c4e 7528 6249
0x000007D0	0x00001618	0x000033AE	0	-1	-1	101142	7523	0	0	0	191		0	0	0	0	0	0	1		7200	-1	 6c4e 7528 5b9d 7bb1 ff08 5c0f ff09
0x00000834	0x00001648	0x000033BE	0	-1	-1	101141	7521	0	0	0	191		0	0	0	0	0	0	1		7210	-1	 6c4e 7528 5b9d 7bb1 ff08 4e2d ff09
0x00000898	0x00001678	0x000033CE	0	-1	-1	101143	7524	0	0	0	191		0	0	0	0	0	0	1		7220	-1	 6c4e 7528 5b9d 7bb1 ff08 5927 ff09
0x00000AA0	0x000016A8	0x000033DE	10010400	10010163	11210300	101100	7110	60	2022	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0032 005f 0030 0031 005f 30b4 30fc 3092 5e7d 9589 3057 3066 3044 308b 6249
0x00000B5E	0x000016D8	0x00003402	0	-1	-1	101111	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6700 521d 306e 6249
