infoStartAddr:	0x1AE88
numEntries:	0x7AF	1967
title:	OBJECT_PARAM_ST
paramStartAddr:	0x0000B8A8
entryID   	paramAddr 	infoAddr  	hp	defense	extRefTexId	materialId	animBreakIdMax	isCamHit:1	isBreakByPlayerCollide:1	isAnimBreak:1	isPenetrationBulletHit:1	isChrHit:1	isAttackBacklash:1	isDisableBreakForFirstAppear:1	isLadder:1	isAnimPauseOnRemoPlay:1	isDamageNoHit:1	isMoveObj:1	pad_1:5	defaultLodParamId	breakSfxId	navimeshFlag	pad_2[1]	paintRenderTargetSize	breakAiSoundId	pad_3[8]
0x00000000	0x0000B8A8	0x0001AE88	-1	0	-1	-1	0	0	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 30d0 30ea 30b9 30bf
0x0000012C	0x0000B8C8	0x0001AE92	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 9727 306e 58c1
0x00000136	0x0000B8E8	0x0001AEA6	-1	0	-1	9	0	1	0	0	1	1	1	0	0	1	0	1		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 30a8 30ec 30d9 30fc 30bf
0x00000140	0x0000B908	0x0001AEBE	-1	0	-1	9	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 30ec 30d0 30fc
0x0000014A	0x0000B928	0x0001AED2	999	999	-1	9	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 58ca 308c 308b 7a93
0x000001AE	0x0000B948	0x0001AEE8	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 6728 306e 68fa
0x000001AF	0x0000B968	0x0001AEFC	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 6728 306e 7bb1 ff08 5c0f ff09
0x000001B0	0x0000B988	0x0001AF16	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 6728 306e 7bb1 ff08 5e03 88ab 305b ff09
0x000001B1	0x0000B9A8	0x0001AF34	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 53f0 8eca
0x000001B2	0x0000B9C8	0x0001AF46	1	3	-1	9	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30d7 30ed 30c8 58ca 308c 308b 7bb1
0x000001B4	0x0000B9E8	0x0001AF56	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 673a
0x000001B5	0x0000BA08	0x0001AF66	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 6905 5b50
0x000001B6	0x0000BA28	0x0001AF78	-1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 6728 306e 7bb1 ff08 4e2d ff09
0x000001BA	0x0000BA48	0x0001AF92	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 30bf 30eb
0x000001BB	0x0000BA68	0x0001AFA4	1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 58ca 308c 305f 30bf 30eb
0x000001BE	0x0000BA88	0x0001AFBC	-1	0	-1	9	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 68fa ff08 6a21 69d8 6709 ff09
0x000001C6	0x0000BAA8	0x0001AFD6	-1	0	-1	9	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5f6b 50cf 005f 5927
0x000001C7	0x0000BAC8	0x0001AFEC	-1	0	-1	9	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5f6b 50cf 005f 4e2d
0x000001C8	0x0000BAE8	0x0001B002	-1	0	-1	9	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5f6b 50cf 005f 5c0f
0x000001C9	0x0000BB08	0x0001B018	-1	0	-1	9	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5f6b 50cf 005f 5e03 306a 3057
0x000001CB	0x0000BB28	0x0001B032	-1	0	-1	9	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5f6b 50cf 005f 3061 3087 3063 3068 5927
0x000001D6	0x0000BB48	0x0001B050	-1	0	-1	9	0	1	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 8056 5802 5927 6249
0x000001D7	0x0000BB68	0x0001B066	-1	0	-1	9	0	1	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5c4b 6577 0032 0046 6249
