infoStartAddr:	0x1120
numEntries:	0x3C	60
title:	RAGDOLL_PARAM_ST
paramStartAddr:	0x000005E0
entryID   	paramAddr 	infoAddr  	hierarchyGain	velocityDamping	accelGain	velocityGain	positionGain	maxLinerVelocity	maxAngularVelocity	snapGain	enable	partsHitMaskNo	pad[14]
0x00000000	0x000005E0	0x00001120	0.000000	1.000000	1.000000	1.000000	1.000000	10.000000	10.000000	1.000000	0	-1	0	 52d5 304b 306a 3044
0x00000001	0x00000610	0x0000112A	0.170000	0.000000	1.000000	0.600000	0.050000	1.400000	1.800000	0.100000	0	-1	1	 0048 0061 0076 006f 006b 306e 30c7 30d5 30a9 30eb 30c8 5024
0x00000064	0x00000640	0x00001144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	100	 30e0 30ab 30c7 306e 982d 90e8
0x00000065	0x00000670	0x00001152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	101	 30e0 30ab 30c7 306e 5c3b 5c3e
0x000000C8	0x000006A0	0x00001160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	200	 8840 30c0 30cb 306e 672c 4f53
0x000000C9	0x000006D0	0x0000116E	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	201	 8840 30c0 30cb 306e 3075 304f 308d
0x000003E8	0x00000700	0x0000117E	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	232	 30c6 30b9 30c8 98db 7adc 306e 672c 4f53
0x000003F2	0x00000730	0x00001190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	242	 30c6 30b9 30c8 98db 7adc 306e 5c3b 5c3e
0x000003FC	0x00000760	0x000011A2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	252	 30c6 30b9 30c8 98db 7adc 306e 53f3 7ffc
0x0000041A	0x00000790	0x000011B4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	-1	26	 9a0e 58eb 306e 982d 90e8
0x0000044C	0x000007C0	0x000011C0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	76	 30e0 30ab 30c7 30dc 30b9 306e 672c 4f53
0x00000456	0x000007F0	0x000011D2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	86	 30e0 30ab 30c7 30dc 30b9 306e 5c3b 5c3e
0x00000460	0x00000820	0x000011E4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	96	 30e0 30ab 30c7 30dc 30b9 306e 53f3 8155
