infoStartAddr:	0x0508
numEntries:	0x11	17
title:	REINFORCE_PARAM_PROTECTOR_ST
paramStartAddr:	0x000001D8
entryID   	paramAddr 	infoAddr  	physicsDefRate	magicDefRate	fireDefRate	thunderDefRate	slashDefRate	blowDefRate	thrustDefRate	resistPoisonRate	resistDiseaseRate	resistBloodRate	resistCurseRate	residentSpEffectId1	residentSpEffectId2	residentSpEffectId3	materialSetId
0x00000000	0x000001D8	0x00000508	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	0	 901a 5e38
0x00000001	0x00000208	0x0000050E	1.10	1.10	1.10	1.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	1	 901a 5e38 ff0b 0031
0x00000002	0x00000238	0x00000518	1.20	1.20	1.20	1.20	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	2	 901a 5e38 ff0b 0032
0x00000003	0x00000268	0x00000522	1.30	1.30	1.30	1.30	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	3	 901a 5e38 ff0b 0033
0x00000004	0x00000298	0x0000052C	1.43	1.43	1.43	1.43	1.00	1.00	1.00	1.05	1.05	1.05	1.05	0	0	0	4	 901a 5e38 ff0b 0034
0x00000005	0x000002C8	0x00000536	1.56	1.56	1.56	1.56	1.00	1.00	1.00	1.10	1.10	1.10	1.10	0	0	0	5	 901a 5e38 ff0b 0035
0x00000006	0x000002F8	0x00000540	1.69	1.69	1.69	1.69	1.00	1.00	1.00	1.15	1.15	1.15	1.15	0	0	0	6	 901a 5e38 ff0b 0036
0x00000007	0x00000328	0x0000054A	1.85	1.85	1.85	1.85	1.00	1.00	1.00	1.20	1.20	1.20	1.20	0	0	0	7	 901a 5e38 ff0b 0037
0x00000008	0x00000358	0x00000554	2.01	2.01	2.01	2.01	1.00	1.00	1.00	1.25	1.25	1.25	1.25	0	0	0	8	 901a 5e38 ff0b 0038
0x00000009	0x00000388	0x0000055E	2.17	2.17	2.17	2.17	1.00	1.00	1.00	1.30	1.30	1.30	1.30	0	0	0	9	 901a 5e38 ff0b 0039
0x0000000A	0x000003B8	0x00000568	2.42	2.42	2.42	2.42	1.00	1.00	1.00	1.40	1.40	1.40	1.40	0	0	0	10	 901a 5e38 ff0b 0031 0030
0x00000064	0x000003E8	0x00000574	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	0	 7279 6b8a
0x00000065	0x00000418	0x0000057A	1.08	1.08	1.08	1.08	1.00	1.00	1.00	1.05	1.05	1.05	1.05	0	0	0	1	 7279 6b8a ff0b 0031
0x00000066	0x00000448	0x00000584	1.19	1.19	1.19	1.19	1.00	1.00	1.00	1.09	1.09	1.09	1.09	0	0	0	2	 7279 6b8a ff0b 0032
0x00000067	0x00000478	0x0000058E	1.29	1.29	1.29	1.29	1.00	1.00	1.00	1.14	1.14	1.14	1.14	0	0	0	3	 7279 6b8a ff0b 0033
0x00000068	0x000004A8	0x00000598	1.39	1.39	1.39	1.39	1.00	1.00	1.00	1.18	1.18	1.18	1.18	0	0	0	4	 7279 6b8a ff0b 0034
