infoStartAddr:	0x1AA8
numEntries:	0xA9	169
title:	RESIDENT_FX_PARAM_ST
paramStartAddr:	0x00001018
entryID   	paramAddr 	infoAddr  	sfxId	dmypolyId	pad_0[8]
0x00000000	0x00001018	0x00001AA8	21051	120		 304a 8a66 3057
0x00000064	0x00001028	0x00001AB0	512	70		 6c4e 7528 005f 874b 71ed
0x00000065	0x00001038	0x00001ABC	509	700		 6c4e 7528 005f 305f 304d 706b 005f 70b9 5149 6e90
0x00004E20	0x00001048	0x00001AD2	900102	700		 30ae 30df 30c3 30af 7167 660e 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x00004E21	0x00001058	0x00001AF2	900103	702		 30ae 30df 30c3 30af 7167 660e 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x00004E22	0x00001068	0x00001B10	900117	703		 30ae 30df 30c3 30af 7167 660e 005f 30ab 30f3 30c6 30e9 0028 5149 6e90 6709 0029
0x00004E23	0x00001078	0x00001B32	900120	500		 30ae 30df 30c3 30af 7167 660e 005f 70b9 5149 6e90
0x00005208	0x00001088	0x00001B48	921215	600		 006d 0032 0031 005f 706b 4e8b
0x00005209	0x00001098	0x00001B56	921100	700		 006d 0032 0031 005f 30e9 30f3 30bf 30f3
0x0000520A	0x000010A8	0x00001B68	72	999		 5411 304d 30c6 30b9 30c8
0x0000520B	0x000010B8	0x00001B74	921101	701		 006d 0032 0031 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x0000520C	0x000010C8	0x00001B8E	921102	702		 006d 0032 0031 005f 6696 7089 ff08 5149 6e90 5f71 6709 ff09
0x000055F0	0x000010D8	0x00001BA8	900101	700		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x000055F1	0x000010E8	0x00001BC0	900105	701		 6c4e 7528 005f 677e 660e ff08 5149 6e90 6709 ff09
0x000055F2	0x000010F8	0x00001BD6	900100	702		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x000055F3	0x00001108	0x00001BEC	900115	703		 6c4e 7528 005f 30e9 30f3 30bf 30f3 0028 5149 6e90 6709 0029
0x000055F4	0x00001118	0x00001C06	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x000055F5	0x00001128	0x00001C20	72	999		 5411 304d 30c6 30b9 30c8
0x000055F6	0x00001138	0x00001C2C	924112	800		 006d 0032 0032 005f 7a93 306e 6a2a 306e 30e9 30f3 30bf 30f3
0x000059D8	0x00001148	0x00001C46	900101	700		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x000059D9	0x00001158	0x00001C5E	900105	701		 6c4e 7528 005f 677e 660e ff08 5149 6e90 6709 ff09
0x000059DA	0x00001168	0x00001C74	923102	702		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x000059DB	0x00001178	0x00001C8A	923100	703		 006d 0032 0033 005f 30e9 30f3 30bf 30f3 0028 5149 6e90 6709 0029
0x000059DC	0x00001188	0x00001CA6	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x000059DD	0x00001198	0x00001CC0	923240	750		 006d 0032 0033 005f 5fa1 795e 4f53 306e 708e 0028 5149 6e90 5f71 6709 0029
0x000059DE	0x000011A8	0x00001CE0	72	999		 5411 304d 30c6 30b9 30c8
0x000059DF	0x000011B8	0x00001CEC	924098	751		 006d 0032 0034 005f 78d4 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x000059E0	0x000011C8	0x00001D0A	923103	705		 006d 0032 0033 005f 30ac 30b9 706f
0x00005DC0	0x000011D8	0x00001D1A	924093	700		 006d 0032 0034 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
