infoStartAddr:	0x1070
numEntries:	0x4A	74
title:	RETURN_POINT_PARAM_ST
paramStartAddr:	0x00000730
entryID   	paramAddr 	infoAddr  	areaNo	blockNo	returnPointEntityId	returnAnimId	isRegistDeadReturn	warpChairNo	pad1[18]
0x00000001	0x00000730	0x00001070	0	0	-1	-1	1	-1		 30c6 30b9 30c8
0x002016A6	0x00000750	0x00001078	21	0	2102950	101200	0	-1		 62e0 70b9 0030 0030 005f 5893 77f3 005f 5730 4e0a 0030
0x002016A7	0x00000770	0x00001090	21	0	2102951	101200	0	-1		 62e0 70b9 0030 0031 005f 5893 77f3 005f 5730 4e0a 0031
0x002016A8	0x00000790	0x000010A8	21	0	2102952	101200	0	-1		 62e0 70b9 0030 0030 005f 5893 77f3 005f 5730 4e0a 0031
0x002016A9	0x000007B0	0x000010C0	21	0	2102953	101200	0	-1		 62e0 70b9 0030 0031 005f 5893 77f3 005f 5730 4e0a 0032
0x002016AA	0x000007D0	0x000010D8	21	0	2102954	101200	0	-1		 62e0 70b9 0030 0034 005f 5893 77f3 005f 30af 30a4 30c3 30af 30c0 30f3 30b8 30e7 30f3
0x002016AB	0x000007F0	0x000010FC	21	0	2102955	101200	0	-1		 62e0 70b9 0030 0035 005f 5893 77f3 005f 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0031
0x002016AC	0x00000810	0x00001122	21	0	2102956	101200	0	-1		 62e0 70b9 0030 0036 005f 5893 77f3 005f 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0032
0x002016AD	0x00000830	0x00001148	21	0	2102957	101200	0	-1		 62e0 70b9 0030 0037 005f 5893 77f3 005f 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0033
0x002016AE	0x00000850	0x0000116E	21	0	2102958	101200	0	-1		 62e0 70b9 0030 0038 005f 5893 77f3 005f 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0034
0x002016AF	0x00000870	0x00001194	21	0	2102959	101200	0	-1		 62e0 70b9 0030 0039 005f 5893 77f3 005f 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0035
0x002016B0	0x00000890	0x000011BA	21	0	2102960	101200	0	-1		 62e0 70b9 0031 0030 005f 5893 77f3 005f 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0036
0x002016B1	0x000008B0	0x000011E0	21	0	2102961	101200	0	-1		 62e0 70b9 0031 0031 005f 62e0 70b9 3067 6b7b 4ea1 3057 305f 3068 304d 306e 30ea 30b9 30bf 30fc 30c8 5730 70b9
0x002016B2	0x000008D0	0x0000120E	21	0	2102962	0	0	-1		 62e0 70b9 0031 0032 005f 521d 56de 6b7b 4ea1 30dd 30ea 5287 5f8c
0x00203DB6	0x000008F0	0x0000122A	21	1	2112950	101163	1	40		 73fe 5b9f 62e0 70b9 005f 5efa 7269 5185
0x00219D46	0x00000910	0x0000123C	22	0	2202950	101163	1	10		 5893 5730 8857 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x00219D47	0x00000930	0x00001254	22	0	2202951	101163	1	11		 5893 5730 8857 005f 6905 5b50 005f 30a2 30a4 30b3 30ec 30af 30bf 30fc 6483 7834
0x002323E6	0x00000950	0x00001276	23	0	2302950	101163	1	12		 5ec3 589f 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x002323E7	0x00000970	0x0000128C	23	0	2302951	101163	1	13		 5ec3 589f 005f 6905 5b50 005f 8840 306b 6e07 3044 305f 7363 6483 7834
0x002323E8	0x00000990	0x000012AA	23	0	2302952	101163	1	14		 5ec3 589f 005f 6905 5b50 005f 5d50 306e 7363 ff08 9aa8 ff09 6483 7834
0x0024AA86	0x000009B0	0x000012C8	24	0	2402950	101163	1	15		 8056 5802 8857 0041 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x0024AA87	0x000009D0	0x000012E2	24	0	2402951	101163	1	16		 8056 5802 8857 0041 005f 6905 5b50 005f 8056 5973 30d3 30fc 30b9 30c8 6483 7834
0x0024D196	0x000009F0	0x00001304	24	1	2412950	101163	1	17		 8056 5802 8857 0042 005f 6905 5b50 005f 8a3a 7642 6240
0x0024D197	0x00000A10	0x0000131C	24	1	2412951	101163	1	18		 8056 5802 8857 0042 005f 6905 5b50 005f 306f 3057 3054 306e 4e0a
0x0024D198	0x00000A30	0x00001338	24	1	2412952	101163	1	19		 8056 5802 8857 0042 005f 6905 5b50 005f 6559 533a 9577 6483 7834
0x0024D199	0x00000A50	0x00001354	24	1	2412953	101163	1	20		 8056 5802 8857 0042 005f 6905 5b50 005f 30ac 30b9 30b3 30a4 30f3 795e 7236 6483 7834
