infoStartAddr:	0x1AD0
numEntries:	0x64	100
title:	RITUAL_REQUIRED_MAT_PARAM
paramStartAddr:	0x000009A0
entryID   	paramAddr 	infoAddr  	useSoul	materialItemId_1	materialItemId_2	materialItemId_3	materialItemId_4	materialItemId_5	num_1	num_2	num_3	num_4	num_5
0x00000000	0x000009A0	0x00001AD0	0	0	0	0	0	0	0	0	0	0	0	 30c7 30d5 30a9 30eb 30c8
0x0000006D	0x000009CC	0x00001ADC	1000	7000	0	0	0	0	2	0	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0031 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x000000D1	0x000009F8	0x00001B00	1800	7001	0	0	0	0	6	0	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0032 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x000000DB	0x00000A24	0x00001B24	1800	7001	7150	0	0	0	3	3	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0032 3011 0020 0042 ff1a 50fb 5893
0x00000135	0x00000A50	0x00001B44	3200	7002	0	0	0	0	9	0	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x0000013F	0x00000A7C	0x00001B68	3200	7002	7150	0	0	0	6	6	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0042 ff1a 50fb 5893
0x00000199	0x00000AA8	0x00001B88	5500	7003	7140	7050	0	0	9	2	22	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044
0x000001AD	0x00000AD4	0x00001BB2	5500	7003	7012	0	0	0	9	4	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3
0x000001FD	0x00000B00	0x00001BD6	11500	7004	7110	7050	7200	0	9	4	25	1	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x00000211	0x00000B2C	0x00001BFA	11500	7004	7014	0	0	0	9	4	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3
0x0000021B	0x00000B58	0x00001C1E	11500	7004	7100	7050	0	0	9	3	25	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0044 ff1a 30a4 30ba
0x00000275	0x00000B84	0x00001C3E	300	0	0	0	0	0	0	0	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3
0x0000027F	0x00000BB0	0x00001C62	300	0	0	0	0	0	0	0	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0044 ff1a 30a4 30ba
0x00000329	0x00000BDC	0x00001C82	300	0	0	0	0	0	0	0	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0038 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x00000711	0x00000C08	0x00001CA6	300	0	0	0	0	0	0	0	0	0	0	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0038 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 8ffd 52a0 7d20 6750
0x00002710	0x00000C34	0x00001CD4	1000	7000	7020	0	0	0	2	3	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0031 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x00004E20	0x00000C60	0x00001CFC	1800	7001	7021	0	0	0	6	3	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x00004E2A	0x00000C8C	0x00001D24	0	7120	0	0	0	0	2	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb ff1a 6575 5f37 5316
0x00005208	0x00000CB8	0x00001D54	1800	7001	7021	7150	0	0	3	10	3	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 0020 0042 ff1a 50fb 5893
0x00005212	0x00000CE4	0x00001D78	0	7120	0	0	0	0	2	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 0020 0042 ff1a 50fb 5893 ff1a 6575 5f37 5316
0x00007530	0x00000D10	0x00001DA4	3200	7002	7022	0	0	0	9	12	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x0000753A	0x00000D3C	0x00001DCC	0	7120	0	0	0	0	4	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb ff1a 6575 5f37 5316
0x00007544	0x00000D68	0x00001DFC	0	7130	0	0	0	0	2	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb ff1a 7279 6b8a 5f37 6575
0x000075F8	0x00000D94	0x00001E2E	3200	7002	7022	0	0	0	9	12	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x00007620	0x00000DC0	0x00001E5E	0	7050	0	0	0	0	19	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x00007918	0x00000DEC	0x00001E9A	3200	7002	7022	7150	0	0	6	2	6	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0042 ff1a 50fb 5893
0x00007922	0x00000E18	0x00001EBE	0	7120	0	0	0	0	4	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0042 ff1a 50fb 5893 ff1a 6575 5f37 5316
0x0000792C	0x00000E44	0x00001EEA	0	7130	0	0	0	0	2	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0042 ff1a 50fb 5893 ff1a 7279 6b8a 5f37 6575
