infoStartAddr:	0x9570
numEntries:	0x2AA	682
title:	SHOP_LINEUP_PARAM
paramStartAddr:	0x00004030
entryID   	paramAddr 	infoAddr  	equipId	value	mtrlId	eventFlag	qwcId	sellQuantity	shopType	equipType	value_SAN	pad_0[6]
0x00000001	0x00004030	0x00009570	240	100	-1	-1	-1	-1	0	3	-1		 6d88 3059 3079 304b 3089 305a
0x000007D0	0x00004050	0x0000957E	7000000	0	-1	72101000	-1	1	0	0	-1		 30ce 30b3 30ca 30bf
0x000007D1	0x00004070	0x00009588	5000000	0	-1	72101001	-1	1	0	0	-1		 65a7 7aff
0x000007D2	0x00004090	0x0000958E	22000000	0	-1	72101002	-1	1	0	0	-1		 6756 97ad
0x000007DA	0x000040B0	0x00009594	14000000	0	-1	72101011	-1	1	0	0	-1		 5de5 623f 77ed 9283
0x000007DB	0x000040D0	0x0000959E	6000000	0	-1	72101010	-1	1	0	0	-1		 5de5 623f 9577 9283
0x000186A0	0x000040F0	0x000095A8	1000	180	-1	-1	-1	-1	0	3	-1		 8f38 8840 6db2
0x000186A1	0x00004110	0x000095B0	900	160	-1	-1	-1	-1	0	3	-1		 9283 5f3e
0x000186A2	0x00004130	0x000095B6	1200	180	-1	-1	-1	-1	0	3	-1		 706b 708e 74f6
0x000186A3	0x00004150	0x000095BE	1230	10	-1	-1	-1	-1	0	3	-1		 77f3 3053 308d
0x000186A4	0x00004170	0x000095C6	60000	500	-1	70009000	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 982d
0x000186A5	0x00004190	0x000095D8	61000	1000	-1	70009010	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 80f4
0x000186A6	0x000041B0	0x000095EA	62000	500	-1	70009020	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 8155
0x000186A7	0x000041D0	0x000095FC	63000	500	-1	70009030	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 811a
0x000186A8	0x000041F0	0x0000960E	7000	2500	-1	-1	5000	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0031 3011
0x000186A9	0x00004210	0x0000961E	7001	6000	-1	-1	5005	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0032 3011
0x000186AA	0x00004230	0x0000962E	7002	12000	-1	-1	5007	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0033 3011
0x000186AB	0x00004250	0x0000963E	7003	24000	-1	-1	5053	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0034 3011
0x000186AC	0x00004270	0x0000964E	7020	2000	-1	-1	5004	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0031 3011
0x000186AD	0x00004290	0x0000965E	7021	5000	-1	-1	5005	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0032 3011
0x000186AE	0x000042B0	0x0000966E	7022	10000	-1	-1	5007	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0033 3011
0x000186AF	0x000042D0	0x0000967E	7023	20000	-1	-1	5053	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0034 3011
0x00018704	0x000042F0	0x0000968E	7000000	1000	-1	-1	12101000	-1	0	0	-1		 30ce 30b3 30ca 30bf
0x00018705	0x00004310	0x00009698	5000000	1100	-1	-1	12101000	-1	0	0	-1		 65a7 7aff
0x00018706	0x00004330	0x0000969E	22000000	1200	-1	-1	12101000	-1	0	0	-1		 6756 97ad
0x00018707	0x00004350	0x000096A4	7100000	1000	-1	-1	12101000	-1	0	0	-1		 30ce 30b3 69cd
0x00018708	0x00004370	0x000096AC	14000000	1600	-1	-1	12101000	-1	0	0	-1		 5de5 623f 77ed 9283
0x00018709	0x00004390	0x000096B6	6000000	1700	-1	-1	12101000	-1	0	0	-1		 5de5 623f 9577 9283
0x0001870A	0x000043B0	0x000096C0	1240	100	-1	-1	12101000	-1	0	3	-1		 6295 3052 30ca 30a4 30d5
0x0001870B	0x000043D0	0x000096CC	1260	1000	-1	-1	12101000	-1	0	3	-1		 7363 8a98 3044
0x00018768	0x000043F0	0x000096D4	11000000	8000	-1	-1	12101002	-1	0	0	-1		 5263 676d
0x00018769	0x00004410	0x000096DA	10000000	4000	-1	-1	12101002	-1	0	0	-1		 9283 69cd
0x0001876A	0x00004430	0x000096E0	1220	360	-1	-1	12101002	-1	0	3	-1		 6cb9 58fa
0x0001876B	0x00004450	0x000096E6	1250	190	-1	-1	12101002	-1	0	3	-1		 80cc 5f8c 706b 708e 74f6
0x000187CC	0x00004470	0x000096F2	5100000	60000	-1	-1	12101003	-1	0	0	-1		 5263 938c
0x000187CD	0x00004490	0x000096F8	200000	7000	-1	70009040	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 982d
0x000187CE	0x000044B0	0x00009706	201000	17000	-1	70009050	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 80f4
0x000187CF	0x000044D0	0x00009714	203000	7000	-1	70009060	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 811a
0x00018830	0x000044F0	0x00009722	4000000	40000	-1	-1	12101001	-1	0	0	-1		 53cc 5263
0x00018831	0x00004510	0x00009728	180000	10000	-1	70009070	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 982d
0x00018832	0x00004530	0x0000973E	181000	18000	-1	70009080	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 80f4
0x00018833	0x00004550	0x00009754	182000	8000	-1	70009090	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 8155
0x00018834	0x00004570	0x0000976A	183000	8000	-1	70009100	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 811a
0x00018894	0x00004590	0x00009780	13000000	26000	-1	-1	12101008	-1	0	0	-1		 7206 69cc
0x00018895	0x000045B0	0x00009786	1320	900	-1	-1	12101008	-1	0	3	-1		 30a8 30f3 30c1 30e3 30f3 30c8 3010 96f7 3011
0x000188F8	0x000045D0	0x0000979A	8000000	3000	-1	-1	12101004	-1	0	0	-1		 5263 69cc
0x000188F9	0x000045F0	0x000097A0	14200000	3000	-1	-1	12101004	-1	0	0	-1		 6559 4f1a 77ed 9283
0x000188FA	0x00004610	0x000097AA	1100	300	-1	-1	12101004	-1	0	3	-1		 89e3 6bd2 85ac
0x000188FB	0x00004630	0x000097B2	1400	400	-1	-1	12101004	-1	0	3	-1		 5e30 9084
0x000188FC	0x00004650	0x000097B8	1412	2000	-1	-1	12101004	-1	0	3	-1		 30e9 30f3 30bf 30f3
0x000188FD	0x00004670	0x000097C2	4011	10000	-1	70009250	12101004	1	0	3	-1		 9280 306e 30da 30f3 30c0 30f3 30c8
0x0001895C	0x00004690	0x000097D2	8100000	20000	-1	-1	12101005	-1	0	0	-1		 5263 5927 5263
0x0001895D	0x000046B0	0x000097DA	6100000	10000	-1	-1	12101005	-1	0	0	-1		 6559 4f1a 9577 9283
0x0001895E	0x000046D0	0x000097E4	18100000	8000	-1	-1	12101005	-1	0	0	-1		 706b 708e 653e 5c04 5668
0x0001895F	0x000046F0	0x000097F0	1300	720	-1	-1	12101005	-1	0	3	-1		 30a8 30f3 30c1 30e3 30f3 30c8 3010 708e 3011
0x00018960	0x00004710	0x00009804	1330	320	-1	-1	12101005	-1	0	3	-1		 9283 5a01 529b 30a2 30c3 30d7
0x00018961	0x00004730	0x00009812	1410	20	-1	-1	12101005	-1	0	3	-1		 9053 6a19
0x00018962	0x00004750	0x00009818	3000	2000	-1	-1	12101005	-1	0	3	-1		 6b66 5668 5f37 5316 7d20 6750 3010 30b3 30e2 30f3 3011
0x00018963	0x00004770	0x00009830	140000	6000	-1	70009110	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 982d
0x00018964	0x00004790	0x00009842	141000	18000	-1	70009120	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 80f4
0x00018965	0x000047B0	0x00009854	142000	6000	-1	70009130	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 8155
0x00018966	0x000047D0	0x00009866	143000	6000	-1	70009140	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 811a
0x000189C0	0x000047F0	0x00009878	12000000	13000	-1	-1	12101006	-1	0	0	-1		 8eca 8f2a
0x000189C1	0x00004810	0x0000987E	150000	60000	-1	70009150	12101006	1	0	1	-1		 8840 65cf 72e9 308a 005f 982d
0x00018A24	0x00004830	0x0000988C	10100000	18000	-1	-1	12101007	-1	0	0	-1		 9283 5263
0x00018A25	0x00004850	0x00009892	2000000	50000	-1	-1	12101007	-1	0	0	-1		 5200
0x00018A26	0x00004870	0x00009896	14100000	16000	-1	-1	12101007	-1	0	0	-1		 30f4 30a1 30f3 30d1 30a4 30a2 77ed 9283
0x00018A27	0x00004890	0x000098A8	100000	27000	-1	70009160	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 982d
0x00018A28	0x000048B0	0x000098BE	101000	44000	-1	70009170	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 80f4
0x00018A29	0x000048D0	0x000098D4	102000	21000	-1	70009180	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 8155
0x00018A2A	0x000048F0	0x000098EA	103000	21000	-1	70009190	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 811a
0x00018A88	0x00004910	0x00009900	18000000	60000	-1	-1	12101009	-1	0	0	-1		 5674 5c04 5668
0x00018A89	0x00004930	0x00009908	1210	300	-1	-1	12101009	-1	0	3	-1		 6bd2 30ca 30a4 30d5
0x00018A8A	0x00004950	0x00009912	1101	600	-1	-1	12101009	-1	0	3	-1		 72c2 6c17 30fb 7363 5316 56de 5fa9
0x00018A8B	0x00004970	0x00009922	3010	10000	-1	-1	12101009	-1	0	3	-1		 6b66 5668 5f37 5316 7d20 6750 3010 30a2 30f3 30b3 30e2 30f3 3011
0x00018AEC	0x00004990	0x0000993E	9000000	34000	-1	-1	12101010	-1	0	0	-1		 62f3 7363
0x00018AED	0x000049B0	0x00009944	15000000	18000	-1	-1	12101011	-1	0	0	-1		 5927 7b52
0x00018AEE	0x000049D0	0x0000994A	20000000	2000	-1	-1	12101012	-1	0	0	-1		 72e9 4eba 306e 677e 660e
0x0001ADB0	0x000049F0	0x00009956	1000	360	-1	-1	-1	-1	0	3	-1		 8f38 8840 6db2
0x0001ADB1	0x00004A10	0x0000995E	900	240	-1	-1	-1	-1	0	3	-1		 9283 5f3e
0x0001ADB2	0x00004A30	0x00009964	1200	380	-1	-1	-1	-1	0	3	-1		 706b 708e 74f6
0x0001ADB3	0x00004A50	0x0000996C	1230	10	-1	-1	-1	-1	0	3	-1		 77f3 3053 308d
0x0001ADB4	0x00004A70	0x00009974	60000	500	-1	70009000	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 982d
0x0001ADB5	0x00004A90	0x00009986	61000	1000	-1	70009010	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 80f4
0x0001ADB6	0x00004AB0	0x00009998	62000	500	-1	70009020	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 8155
0x0001ADB7	0x00004AD0	0x000099AA	63000	500	-1	70009030	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 811a
0x0001ADB8	0x00004AF0	0x000099BC	7000	2500	-1	-1	5000	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0031 3011
0x0001ADB9	0x00004B10	0x000099CC	7001	6000	-1	-1	5005	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0032 3011
0x0001ADBA	0x00004B30	0x000099DC	7002	12000	-1	-1	5007	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0033 3011
0x0001ADBB	0x00004B50	0x000099EC	7003	24000	-1	-1	5053	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0034 3011
0x0001ADBC	0x00004B70	0x000099FC	7020	2000	-1	-1	5004	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0031 3011
0x0001ADBD	0x00004B90	0x00009A0C	7021	5000	-1	-1	5005	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0032 3011
0x0001ADBE	0x00004BB0	0x00009A1C	7022	10000	-1	-1	5007	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0033 3011
0x0001ADBF	0x00004BD0	0x00009A2C	7023	20000	-1	-1	5053	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0034 3011
0x0001AE14	0x00004BF0	0x00009A3C	7000000	1000	-1	-1	12101000	-1	0	0	-1		 30ce 30b3 30ca 30bf
0x0001AE15	0x00004C10	0x00009A46	5000000	1100	-1	-1	12101000	-1	0	0	-1		 65a7 7aff
0x0001AE16	0x00004C30	0x00009A4C	22000000	1200	-1	-1	12101000	-1	0	0	-1		 6756 97ad
0x0001AE17	0x00004C50	0x00009A52	7100000	1000	-1	-1	12101000	-1	0	0	-1		 30ce 30b3 69cd
0x0001AE18	0x00004C70	0x00009A5A	14000000	1600	-1	-1	12101000	-1	0	0	-1		 5de5 623f 77ed 9283
0x0001AE19	0x00004C90	0x00009A64	6000000	1700	-1	-1	12101000	-1	0	0	-1		 5de5 623f 9577 9283
0x0001AE1A	0x00004CB0	0x00009A6E	1240	200	-1	-1	12101000	-1	0	3	-1		 6295 3052 30ca 30a4 30d5
