infoStartAddr:	0x10D8
numEntries:	0x3B	59
title:	SKELETON_PARAM_ST
paramStartAddr:	0x000005C8
entryID   	paramAddr 	infoAddr  	neckTurnGain	originalGroundHeightMS	minAnkleHeightMS	maxAnkleHeightMS	cosineMaxKneeAngle	cosineMinKneeAngle	footPlantedAnkleHeightMS	footRaisedAnkleHeightMS	raycastDistanceUp	raycastDistanceDown	footEndLS_X	footEndLS_Y	footEndLS_Z	onOffGain	groundAscendingGain	groundDescendingGain	footRaisedGain	footPlantedGain	footUnlockGain	kneeAxisType	useFootLocking	footPlacementOn	twistKneeAxisType	neckTurnPriority	neckTurnMaxAngle	pad1[2]
0x00000000	0x000005C8	0x000010D8	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	-1	0		 52d5 304b 306a 3044
0x00000001	0x000005F8	0x000010E2	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	65		 004e 0050 0043 5171 901a 0020 9996
0x00000002	0x00000628	0x000010F2	0.100000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	1	15		 004e 0050 0043 5171 901a 0020 80f4 0031
0x00000003	0x00000658	0x00001104	0.100000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	2	5		 004e 0050 0043 5171 901a 0020 80f4 0032
0x00000005	0x00000688	0x00001116	0.300000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	15		 0034 811a 5171 901a 0020 9996
0x0000000A	0x000006B8	0x00001124	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 4eba 578b 6c4e 7528 5de6 8db3
0x0000000B	0x000006E8	0x00001132	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 4eba 578b 6c4e 7528 53f3 8db3
0x00000012	0x00000718	0x00001140	0.000000	0	-200	230	-95	55	1	30	250	235	0	0	80	18	100	100	20	100	80	4	0	1	1	0	0		 30b3 30d4 30fc 005f 30c6 30b9 30c8 53f3 811a
0x00000013	0x00000748	0x00001154	0.000000	0	-200	230	-95	55	1	30	250	235	0	0	80	18	100	100	20	100	80	4	0	1	1	0	0		 30b3 30d4 30fc 005f 30c6 30b9 30c8 5de6 811a
0x00000064	0x00000778	0x00001168	0.050000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	50		 30d2 30ed 30a4 30f3
0x000000C8	0x000007A8	0x00001172	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	50		 8981 4eba
0x0000012C	0x000007D8	0x00001178	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	40		 935b 51b6 5c4b 6c5f 6238
0x00000190	0x00000808	0x00001184	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	50		 5974 96b7 5175 58eb
0x000001F4	0x00000838	0x0000118E	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	50		 5143 8cb4 65cf 5a66 4eba
