infoStartAddr:	0x529AC
numEntries:	0xE5D	3677
title:	TALK_PARAM_ST
paramStartAddr:	0x000158F8
entryID   	paramAddr 	infoAddr  	msgId	voiceId	spEffectId0	motionId0	spEffectId1	motionId1	spEffectId2	motionId2	spEffectId3	motionId3	spEffectId4	motionId4	spEffectId5	motionId5	returnPos	reactionId	eventId
0x00155CC0	0x000158F8	0x000529AC	400000	240400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3042 3042 3001 72e9 4eba 69d8 3092 898b 3064 3051 305f 306e 3067 3059 306d
0x00155CF2	0x0001593C	0x000529CC	400050	240400050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	 3042 3042 3001 72e9 4eba 69d8 3092 898b 3064 3051 305f 306e 3067 3059 306d
0x00155D24	0x00015980	0x000529EC	400100	210400100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 306f 3058 3081 307e 3057 3066 3002 72e9 4eba 69d8
0x00155D25	0x000159C4	0x00052A02	400101	210400101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 79c1 306f 4eba 5f62 3002 3053 306e 5922 3067 3001 3042 306a 305f 306e 304a 4e16 8a71 3092 3059 308b 3082 306e 3067 3059
0x00155D26	0x00015A08	0x00052A34	400102	210400102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 72e9 4eba 69d8 3002 8840 306e 907a 5fd7 3092 6c42 3081 3066 304f 3060 3055 3044
0x00155D27	0x00015A4C	0x00052A56	400103	210400103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 79c1 304c 305d 308c 3092 3001 666e 304f 907a 5fd7 3092 3001 3042 306a 305f 306e 529b 3068 3044 305f 3057 307e 3057 3087 3046
0x00155D28	0x00015A90	0x00052A8A	400104	210400104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 7363 3092 72e9 308a 2026 305d 3057 3066 4f55 3088 308a 3082 3001 3042 306a 305f 306e 610f 5fd7 306e 305f 3081 306b
0x00155D29	0x00015AD4	0x00052ABA	400105	210400105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3069 3046 304b 79c1 3092 304a 4f7f 3044 304f 3060 3055 3044
0x00155D56	0x00015B18	0x00052AD4	400150	210400150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 306f 3058 3081 307e 3057 3066 3002 72e9 4eba 69d8
0x00155D57	0x00015B5C	0x00052AEA	400101	210400101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 79c1 306f 4eba 5f62 3002 3053 306e 5922 3067 3001 3042 306a 305f 306e 304a 4e16 8a71 3092 3059 308b 3082 306e 3067 3059
0x00155D58	0x00015BA0	0x00052B1C	400152	210400152	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 72e9 4eba 69d8 3002 8840 306e 907a 5fd7 3092 6c42 3081 3066 304f 3060 3055 3044
0x00155D59	0x00015BE4	0x00052B3E	400103	210400103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 79c1 304c 305d 308c 3092 3001 666e 304f 907a 5fd7 3092 3001 3042 306a 305f 306e 529b 3068 3044 305f 3057 307e 3057 3087 3046
0x00155D5A	0x00015C28	0x00052B72	400104	210400104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 7363 3092 72e9 308a 2026 305d 3057 3066 4f55 3088 308a 3082 3001 3042 306a 305f 306e 610f 5fd7 306e 305f 3081 306b
0x00155D5B	0x00015C6C	0x00052BA2	400105	210400105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3069 3046 304b 79c1 3092 304a 4f7f 3044 304f 3060 3055 3044
0x00155D88	0x00015CB0	0x00052BBC	400200	210400200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 304a 5e30 308a 3055 306a 3044 3002 72e9 4eba 69d8
0x00155D89	0x00015CF4	0x00052BD2	400201	210400201	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 305d 308c 3067 306f 3001 306a 3093 306a 308a 3068 304a 7533 3057 4ed8 3051 304f 3060 3055 3044
0x00155DBA	0x00015D38	0x00052BFA	400250	210400250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 304a 5e30 308a 3055 306a 3044 3002 72e9 4eba 69d8
0x00155DBB	0x00015D7C	0x00052C10	400201	210400201	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 305d 308c 3067 306f 3001 306a 3093 306a 308a 3068 304a 7533 3057 4ed8 3051 304f 3060 3055 3044
0x00155DEC	0x00015DC0	0x00052C38	400300	210400300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 308f 304b 308a 307e 3057 305f 3002 3067 306f 3001 907a 5fd7 3092 3042 306a 305f 306e 529b 3068 3057 307e 3057 3087 3046
0x00155DED	0x00015E04	0x00052C6A	400301	210400301	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 5c11 3057 8fd1 3065 304d 307e 3059 3002 76ee 3092 9589 3058 3066 3044 3066 304f 3060 3055 3044 306d
0x00155E50	0x00015E48	0x00052C94	400400	210400400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3044 3063 3066 3089 3063 3057 3083 3044 3002 72e9 4eba 69d8
0x00155E51	0x00015E8C	0x00052CAE	400401	210400401	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3042 306a 305f 306e 76ee 899a 3081 304c 3001 6709 610f 306a 3082 306e 3067 3042 308a 307e 3059 3088 3046 306b
0x00155E82	0x00015ED0	0x00052CDC	400450	210400450	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3044 3063 3066 3089 3063 3057 3083 3044 3002 72e9 4eba 69d8
0x00155E83	0x00015F14	0x00052CF6	400451	210400451	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3042 306a 305f 306e 76ee 899a 3081 304c 3001 6709 610f 306a 3082 306e 3067 3042 308a 307e 3059 3088 3046 306b
0x00155EB4	0x00015F58	0x00052D24	400500	210400500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 30b2 30fc 30eb 30de 30f3 69d8 306b 304a 4f1a 3044 3057 307e 3057 305f 304b ff1f
0x00155EB5	0x00015F9C	0x00052D46	400501	210400501	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3042 306e 65b9 306f 53e4 3044 72e9 4eba 3001 305d 3057 3066 72e9 4eba 306e 52a9 8a00 8005 3067 3059
0x00155EB6	0x00015FE0	0x00052D70	400502	210400502	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 4eca 306f 3082 3046 66d6 6627 3067 3001 304a 59ff 304c 898b 3048 308b 3053 3068 3082 3042 308a 307e 305b 3093 304c 2026
0x00155EB7	0x00016024	0x00052DA2	400503	210400503	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 305d 308c 3067 3082 3001 3053 306e 5922 306b 3044 3089 3063 3057 3083 308b 3067 3057 3087 3046
0x00155EB8	0x00016068	0x00052DCA	400504	210400504	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 2026 305d 308c 304c 3001 3042 306e 65b9 306e 304a 5f79 76ee 3067 3059 304b 3089 2026
0x00155EE6	0x000160AC	0x00052DEE	400550	210400550	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 30b2 30fc 30eb 30de 30f3 69d8 306b 304a 4f1a 3044 3057 307e 3057 305f 304b ff1f
0x00155EE7	0x000160F0	0x00052E10	400501	210400501	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 3042 306e 65b9 306f 53e4 3044 72e9 4eba 3001 305d 3057 3066 72e9 4eba 306e 52a9 8a00 8005 3067 3059
0x00155EE8	0x00016134	0x00052E3A	400502	210400502	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 4eca 306f 3082 3046 66d6 6627 3067 3001 304a 59ff 304c 898b 3048 308b 3053 3068 3082 3042 308a 307e 305b 3093 304c 2026
0x00155EE9	0x00016178	0x00052E6C	400503	210400503	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 305d 308c 3067 3082 3001 3053 306e 5922 306b 3044 3089 3063 3057 3083 308b 3067 3057 3087 3046
0x00155EEA	0x000161BC	0x00052E94	400504	210400504	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	 2026 305d 308c 304c 3001 3042 306e 65b9 306e 304a 5f79 76ee 3067 3059 304b 3089 2026
