infoStartAddr:	0xB710
numEntries:	0x28A	650
title:	WEAPON_GEN_PARAM_ST
paramStartAddr:	0x00003D30
entryID   	paramAddr 	infoAddr  	wepParamId	gemSlotType_0	gemGenId_0	gemSlotType_1	gemGenId_1	gemSlotType_2	gemGenId_2	gemSlotType_3	gemGenId_3	gemSlotType_4	gemGenId_4	equipableGemSegmentMask	reserveGemSlotNo_0	reserveGemSlotNo_1	reserveGemSlotNo_2
0x000003E8	0x00003D30	0x0000B710	1000	00000001	-1	00000001	-1	00000001	-1	00000002	-1	80000100	-1	2	0	0	0	 3010 30b7 30b9 30c6 30e0 3011 4f53 306b 9b54 77f3 30b9 30ed 30c3 30c8 3092 3064 304f 308b 305f 3081 306e 30c0 30df 30fc 6b66 5668
0x000003E9	0x00003D60	0x0000B746	1000	00000001	6	00000001	-1	00000001	-1	00000002	-1	80000100	-1	2	0	0	0	 3010 30b7 30b9 30c6 30e0 3011 3010 0067 0061 006d 0065 0073 0063 006f 006d 7248 3011 3010 6700 5927 004d 0050 30a2 30c3 30d7 9b54 77f3 88c5 5099 3011 4f53 306b 9b54 77f3 30b9 30ed 30c3 30c8 3092 3064 304f 308b 305f 3081 306e 30c0 30df 30fc 6b66 5668
0x000007D0	0x00003D90	0x0000B7AC	2000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	2	0	0	0	 3010 30b7 30b9 30c6 30e0 3011 30a2 30a4 30c6 30e0 4f7f 7528 6642 306b 3001 0050 0043 30d1 30e9 306e 88dc 6b63 3092 304b 3051 308b 305f 3081 306e 30c0 30df 30fc 6b66 5668
0x00000BB8	0x00003DC0	0x0000B7F2	3000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 3010 30b7 30b9 30c6 30e0 3011 6295 3052 7528 4eee 60f3 6b66 5668
0x000DBBA0	0x00003DF0	0x0000B80E	900000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 5c3c 50e7 77ed 5263
0x000F4240	0x00003E20	0x0000B818	1000000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 7d20 624b
0x001E5D70	0x00003E50	0x0000B81E	1990000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 5f98 5f8a 62f3
0x001E8480	0x00003E80	0x0000B826	2000000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200
0x001E84E4	0x00003EB0	0x0000B82E	2000100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff11
0x001E8548	0x00003EE0	0x0000B83A	2000200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff12
