no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	u8	%d	0x00001218	ACTION_BUTTON_REGION_TYPE	regionType	 7bc4 56f2 30bf 30a4 30d7			 7bc4 56f2 5f62 72b6 0028 5186 67f1 3001 89d2 67f1 3001 30ab 30d7 30bb 30eb 67f1 0029		
2	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	dummy8		0x00000000	dummy8	padding1[3]	 30d1 30c7 30a3 30f3 30b0 0031					
3	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	s32	%d	0x0000123C	s32	dummyPoly1	 30c0 30df 30dd 30ea 0031			 7bc4 56f2 306e 5e95 9762 306e 4e2d 5fc3 3068 306a 308b 30c0 30df 30dd 30ea 0049 0044 3092 6307 5b9a 3059 308b 3000 30c0 30df 30dd 30ea 304c 306a 3044 5834 5408 0020 006f 0072 0020 002d 0031 304c 5165 529b 3055 308c 3066 3044 308b 5834 5408 306f 3001 4e2d 5fc3 5ea7 6a19 304c 57fa 6e96 306b 306a 308b		
4	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	s32	%d	0x000012B6	s32	dummyPoly2	 30c0 30df 30dd 30ea 0032			 7bc4 56f2 30bf 30a4 30d7 304c 30ab 30d7 30bb 30eb 67f1 306e 5834 5408 306e 307f 4f7f 7528 3000 30c0 30df 30dd 30ea 0032 3064 3067 7dda 5206 3092 4f5c 308b 8ffd 52a0 30c0 30df 30dd 30ea 0028 30ab 30d7 30bb 30eb 67f1 0029		
5	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	f32	%f	0x00001310	f32	radius	 534a 5f84			 534a 5f84 0028 5186 67f1 30fb 30ab 30d7 30bb 30eb 67f1 0029		
6	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	s32	%d	0x0000132A	s32	angle	 89d2 5ea6			 89d2 5ea6 0028 5186 67f1 0029		
7	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	f32	%f	0x00001338	f32	depth	 5965 884c 304d			 5965 884c 304d 0028 89d2 67f1 0029		
8	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	f32	%f	0x00001348	f32	width	 5e45			 5e45 0028 89d2 67f1 0029		
9	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	f32	%f	0x00001354	f32	height	 9ad8 3055			 9ad8 3055 0028 5186 67f1 30fb 89d2 67f1 30fb 30ab 30d7 30bb 30eb 67f1 0029		
10	paramdef/INTERROOT_ps4\paramdef\64bit\ActionButtonParam.paramdef	ACTIONBUTTON_PARAM_ST	f32	%f	0x00001374	f32	baseHeightOffset	 5e95 9762 9ad8 3055 30aa 30d5 30bb 30c3 30c8			 5e95 9762 306e 0059 5ea7 6a19 3092 3069 308c 3060 3051 4e0a 4e0b 3055 305b 308b 304b		
