no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	s32	%d	0x00003848	s32	atkId_Bullet	 653b 6483 0049 0044			 653b 6483 30d1 30e9 30e1 30fc 30bf 306e ff29 ff24 3092 305d 308c 305e 308c 767b 9332 3059 308b 002e 2192 653b 6483 30bf 30a4 30d7 ff0f 653b 6483 6750 8cea ff0f 7269 7406 653b 6483 529b ff0f 9b54 6cd5 653b 6483 529b ff0f 30b9 30bf 30df 30ca 653b 6483 529b ff0f 30ce 30c3 30af 30d0 30c3 30af 8ddd 96e2 002e		
2	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	s32	%d	0x000038C4	s32	sfxId_Bullet	 0053 0046 0058 0049 0044 3010 5f3e 3011			 0053 0046 0058 0020 0049 0044 3092 5165 308c 308b 3002		
3	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	s32	%d	0x000038DC	s32	sfxId_Hit	 0053 0046 0058 0049 0044 3010 7740 5f3e 3011			 7740 5f3e 0053 0046 0058 0049 0044 3002 002d 0031 306f 767a 751f 3057 306a 3044 3002		
4	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	s32	%d	0x00003900	s32	sfxId_Flick	 0053 0046 0058 0049 0044 3010 306f 3058 304d 6642 3011			 306f 3058 304d 6642 0053 0046 0058 0049 0044 3002 002d 0031 306f 767a 751f 3057 306a 3044 3002		
5	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	f32	%f	0x00003928	f32	life	 5bff 547d 005b 0073 005d			 98db 3073 9053 5177 304c 5b58 5728 3057 7d9a 3051 3089 308c 308b 6642 9593 ff08 002d 0031 306a 3089 7121 9650 ff09 002e		
6	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	f32	%f	0x0000395A	f32	dist	 5c04 7a0b 8ddd 96e2 005b 006d 005d			 6e1b 8870 304c 958b 59cb 3055 308c 308b 8ddd 96e2 ff08 5b9f 969b 306e 98db 8ddd 96e2 3067 306f 306a 3044 ff09 002e		
7	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	f32	%f	0x0000398A	f32	shootInterval	 767a 5c04 9593 9694 005b 0073 005d			 98db 3073 9053 5177 3092 4f55 79d2 9593 9694 3067 767a 5c04 3059 308b 304b 3092 6307 5b9a 002e		
8	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	f32	%f	0x000039B2	f32	gravityInRange	 5c04 7a0b 8ddd 96e2 5185 91cd 529b 005b 006d 002f 0073 005e 0032 005d			 5c04 7a0b 8ddd 96e2 5185 3067 306e 4e0b 5411 304d 306b 304b 304b 308b 91cd 529b 002e		
9	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	f32	%f	0x000039D6	f32	gravityOutRange	 5c04 7a0b 8ddd 96e2 5916 91cd 529b 005b 006d 002f 0073 005e 0032 005d			 6e1b 8870 304c 306f 3058 307e 3063 305f 3068 304d 306e 4e0b 5411 304d 306b 304b 304b 308b 91cd 529b ff08 30dd 30c8 30f3 3068 843d 3061 308b 611f 3058 3092 8868 73fe 002e		
10	paramdef/INTERROOT_ps4\paramdef\64bit\BulletParam.paramdef	BULLET_PARAM_ST	f32	%f	0x00003A1C	f32	hormingStopRange	 8a98 5c0e 505c 6b62 8ddd 96e2 005b 006d 005d			 8a98 5c0e 3092 505c 6b62 3059 308b 30bf 30fc 30b2 30c3 30c8 3068 306e 8ddd 96e2 3002 8a98 5c0e 5f3e 3067 5f53 305f 308a 904e 304e 306a 3044 3088 3046 306b 3059 308b 30d1 30e9 30e1 30fc 30bf 3002		
