no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	f32	%f	0x00005DA8	f32	baseRec_mp	 ff2d ff30 56de 5fa9 901f 5ea6 57fa 672c 5024 005b 0073 005d			 ff2d ff30 304c 3001 0031 30dd 30a4 30f3 30c8 56de 5fa9 3059 308b 307e 3067 306e 6642 9593 ff08 5c0f 6570 70b9 7b2c 4e00 4f4d ff09		
2	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	f32	%f	0x00005DDE	f32	baseRec_sp	 30b9 30bf 30df 30ca 56de 5fa9 901f 5ea6 57fa 672c 5024 005b 0073 005d			 30b9 30bf 30df 30ca 304c 3001 0031 30dd 30a4 30f3 30c8 56de 5fa9 3059 308b 307e 3067 306e 6642 9593 ff08 5c0f 6570 70b9 7b2c 4e00 4f4d ff09		
3	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	f32	%f	0x00005E18	f32	red_Falldam	 843d 4e0b 30c0 30e1 30fc 30b8 8efd 6e1b 88dc 6b63 005b 0025 005d			 4ed6 306e 30ad 30e3 30e9 30af 30bf 30fc 306b 4e0a 304b 3089 306e 3057 304b 304b 308c 305f 3068 304d 306b 3001 30af 30c3 30b7 30e7 30f3 3068 306a 308a 3048 308b 30c0 30e1 30fc 30b8 8efd 6e1b 91cf ff08 ff05 ff09 ff08 5c0f 6570 70b9 7b2c 4e00 4f4d ff09		
4	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005E7E	s32	soul	 521d 671f 30bd 30a6 30eb			 521d 671f 306b 6240 6301 3057 3066 3044 308b 30bd 30a6 30eb 91cf		
5	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005E9A	s32	equip_Wep_Right	 53f3 624b 6b66 5668			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 6b66 5668 ff29 ff24 0028 53f3 624b 0029		
6	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005EBE	s32	equip_Subwep_Right	 53f3 624b 4e88 5099 6b66 5668			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 6b66 5668 ff29 ff24 0028 53f3 624b 4e88 5099 0029		
7	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005EE6	s32	equip_Wep_Left	 5de6 624b 6b66 5668			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 6b66 5668 ff29 ff24 0028 5de6 624b 0029		
8	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005F0A	s32	equip_Subwep_Left	 5de6 624b 4e88 5099 6b66 5668			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 6b66 5668 ff29 ff24 0028 5de6 624b 4e88 5099 0029		
9	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005F32	s32	equip_Helm	 982d 9632 5177			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 9632 5177 ff29 ff24 0028 982d 9632 5177 0029		
10	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005F58	s32	equip_Armer	 80f4 4f53 9632 5177			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 9632 5177 ff29 ff24 0028 80f4 4f53 9632 5177 0029		
11	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005F80	s32	equip_Gaunt	 8155 9632 5177			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 9632 5177 ff29 ff24 0028 8155 9632 5177 0029		
12	paramdef/INTERROOT_ps4\paramdef\64bit\CharaInitParam.paramdef	CHARACTER_INIT_PARAM	s32	%d	0x00005FA6	s32	equip_Leg	 811a 9632 5177			 88c5 5099 54c1 30d1 30e9 30e1 30fc 30bf 306e 9632 5177 ff29 ff24 0028 811a 9632 5177 0029		
