no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	s32	%d	0x00001218	ENEMY_BEHAVIOR_ID	EnemyBehaviorID	 938b ae93 8982 8482			 4793 cc82 938b ae93 6882 6382 8300 8371 8362 8367 837c 8343 8393 0067 558d 828c cd97 6981 7683 8d83 6783 ea90 7097 6a81 8300 834c 8383 8389 835e 8343 0076 a082 bd82 e882 cc82 828d b382 6981 bc92 618c c888 e38f cc82 5483 4383 5983 f082 778e e892 b582 c482 ad82 be82 b382 a282 6a81 8200 82a0 82bd 82e8 94cc 8cbc 0061 4c83 8383 8983 cc82 648f b382 9300 96ae 8e80 9743 00cd c390 7e8e 8096 438e cd97 8f00 94e3 90bc 8f67 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 4183 4e83 5683 8783 9383 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 9200 8850 8eca 8a9e 93d4 8296 82bd 82e8 82cc 8e78 90b2 89f9 8af1 9370 5b78 6564 2f67 5d73 9600 8ea2 9767 0070 b68d 4589 da88 ae93 c582 ab82 e982 a982 8300 834c 8383 8289 82a0 82bd 82e8 83c9 8389 834f 8168 835b 828b 8ef0 9767 8270 82b7 82e9 00a9 5883 5e83 7e83 6983 8d91 ca97 3100 6295 d48a a082 bd82 e882 cc82 5883 5e83 7e83 6983 f189 9c95 ca97 8d00 8c55 8182 8341 814b 835b 8e68 829e 8ec9 9767 8270 82b7 83e9 8358 835e 837e 8f69 94c1 82ef 8acc 96ee 927b 006c a895 9d97 558d 828c c982 ce91 b782 e982 5f83 8183 5b81 5783 b88c ad8f ee8a 7b96 6c92		
2	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
3	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
4	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
5	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
6	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
7	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
8	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
9	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
10	paramdef/INTERROOT_ps4\paramdef\64bit\EnemyStandardInfo.paramdef	ENEMY_STANDARD_INFO_BANK	u16	%d	0x00001225	u16	HP	 7183 6283 6783 7c83 4383 9383 6783			 7183 6283 6783 7c83 4383 9383 6783 8d00 8c55 9782 81cd 8369 8376 838d 9067 97ea 8170 006a 4c83 8383 8983 5e83 4383 7683 8200 82a0 82bd 82e8 8dcc 8282 81b3 9269 8cbc 8861 8fc8 82e3 83cc 8354 8343 8259 8ef0 9277 82e8 82b5 82c4 82ad 82be 82b3 81a2 006a a082 bd82 e882 cc82 bc94 618c 8300 834c 8383 8289 8fcc 8264 00b3 ae93 8096 438e cd97 9000 8ec3 967e 8e80 9743 00cd e38f bc94 6790 898f fa8a f38f d491 6981 4750 fc93 cd97 6a81 8300 8341 834e 8356 8387 8f93 8a89 8ffa 91f3 81d4 5069 9347 97fc 81cd 006a 5092 ca88 9e8e d48a 9693 bd82 e882 cc82 7882 b28e f990 f189 708a 7893 645b 6765 732f 005d a296 678e 7097 8d00 89b6 8845 93da 82ae 82c5 82ab 82e9 00a9 4c83 8383 8983 a082 bd82 e882 c982 8983 4f83 6883 5b81 8b83 f082 678e 7097 b782 e982 a982 8300 8358 835e 837e 9169 978d 00ca 9531 8a62 82d4 82a0 82bd 82e8 83cc 8358 835e 837e 8969 95f1 979c 00ca 558d 828c 4181 4b83 5b81 6883 9e8e c982 678e 7097 b782 e982 5883 5e83 7e83 6983 c18f ef94 cc82 ee8a 7b96 6c92 9500 97a8 8d9d 8c55 8282 91c9 82ce 82b7 83e9 835f 8181 835b 8c57 8fb8 8aad 96ee 927b 006c 5700 b88c ad8f ee8a 7b96 6c92		
