no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s32	%d	0x00001558	s32	refId	 547c 3073 51fa 3057 0049 0044			 88c5 98fe 54c1 304b 3089 547c 3073 51fa 3059 0049 0044		
2	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s32	%d	0x00001570	s32	sfxVariationId	 0053 0046 0058 30d0 30ea 30a8 30fc 30b7 30e7 30f3 0049 0044			 ff33 ff26 ff38 306e 30d0 30ea 30a8 30fc 30b7 30e7 30f3 3092 6307 5b9a ff08 0054 0069 006d 0065 0041 0063 0074 0045 0064 0069 0074 006f 0072 306e ff29 ff24 3068 7d44 307f 5408 308f 305b 3066 3001 ff33 ff26 ff38 3092 7279 5b9a 3059 308b 306e 306b 4f7f 7528 3059 308b ff09		
3	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	f32	%0.3f	0x000015DE	f32	weight	 91cd 91cf 005b 006b 0067 005d			 91cd 91cf 005b 006b 0067 005d		
4	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s32	%d	0x000015EC	s32	behaviorId	 884c 52d5 0049 0044			 884c 52d5 0049 0044 0028 003d 0053 006b 0069 006c 006c 0029		
5	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s32	%d	0x00001606	s32	basicPrice	 57fa 672c 4fa1 683c			 57fa 672c 4fa1 683c		
6	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s32	%d	0x00001610	s32	sellValue	 8ca9 58f2 4fa1 683c			 8ca9 58f2 4fa1 683c		
7	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s32	%d	0x00000000	s32	sortId	 0073 006f 0072 0074 0049 0044					
8	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s32	%d	0x00000000	s32	qwcId	 0051 0057 0043 0049 0044					
9	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	u16	%d	0x0000161A	u16	equipModelId	 88c5 5099 30e2 30c7 30eb 756a 53f7			 88c5 5099 30e2 30c7 30eb 306e 756a 53f7		
10	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	u16	%d	0x0000162C	u16	iconId	 30a2 30a4 30b3 30f3 0049 0044			 30e1 30cb 30e5 30fc 30a2 30a4 30b3 30f3 0049 0044		
11	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s16	%d	0x00001642	s16	shopLv	 30b7 30e7 30c3 30d7 30ec 30d9 30eb			 304a 5e97 3067 8ca9 58f2 3067 304d 308b 30ec 30d9 30eb		
12	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamAccessory.paramdef	EQUIP_PARAM_ACCESSORY_ST	s16	%d	0x00000000	s16	trophySGradeId	 30c8 30ed 30d5 30a3 30fc					
