no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x00007FC8	s32	sortId	 30bd 30fc 30c8 0049 0044			 30bd 30fc 30c8 0049 0044		
2	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	u32	%d	0x00007FD4	u32	wanderingEquipId	 5f98 5f8a 88c5 5099 0049 0044			 5f98 5f8a 30b4 30fc 30b9 30c8 7528 306e 5dee 3057 66ff 3048 88c5 5099 0049 0044 002e		
3	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x00007FF8	s32	vagrantItemLotId	 30d9 30a4 30b0 30e9 30f3 30c8 6642 30a2 30a4 30c6 30e0 62bd 9078 0049 0044			 002d 0031 ff1a 30d9 30a4 30b0 30e9 30f3 30c8 306a 3057 0020 0030 ff1a 62bd 9078 306a 3057 0020 0031 ff5e ff1a 62bd 9078 3042 308a		
4	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x0000802E	s32	vagrantBonusEneDropItemLotId	 30d9 30a4 30b0 30e9 30f3 30c8 30dc 30fc 30ca 30b9 6575 30c9 30ed 30c3 30d7 30a2 30a4 30c6 30e0 62bd 9078 0049 0044			 002d 0031 ff1a 30c9 30ed 30c3 30d7 306a 3057 0020 0030 ff1a 62bd 9078 306a 3057 0020 0031 ff5e ff1a 62bd 9078 3042 308a		
5	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x00008060	s32	vagrantItemEneDropItemLotId	 30d9 30a4 30b0 30e9 30f3 30c8 30a2 30a4 30c6 30e0 6575 30c9 30ed 30c3 30d7 30a2 30a4 30c6 30e0 62bd 9078 0049 0044			 002d 0031 ff1a 30c9 30ed 30c3 30d7 306a 3057 0020 0030 ff1a 62bd 9078 306a 3057 0020 0031 ff5e ff1a 62bd 9078 3042 308a		
6	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x00008092	s32	fixPrice	 4fee 7406 4fa1 683c			 4fee 7406 57fa 672c 4fa1 683c		
7	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x000080A0	s32	basicPrice	 57fa 672c 4fa1 683c			 57fa 672c 4fa1 683c		
8	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x000080AA	s32	sellValue	 8ca9 58f2 4fa1 683c			 8ca9 58f2 4fa1 683c		
9	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	f32	%0.3f	0x000080B4	f32	weight	 91cd 91cf 005b 006b 0067 005d			 91cd 91cf 005b 006b 0067 005d 002e		
10	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x000080C4	s32	residentSpEffectId	 5e38 99d0 7279 6b8a 52b9 679c 0049 0044 0031			 5e38 99d0 7279 6b8a 52b9 679c 0049 0044 0031		
11	paramdef/INTERROOT_ps4\paramdef\64bit\EquipParamProtector.paramdef	EQUIP_PARAM_PROTECTOR_ST	s32	%d	0x000080D8	s32	residentSpEffectId2	 5e38 99d0 7279 6b8a 52b9 679c 0049 0044 0032			 5e38 99d0 7279 6b8a 52b9 679c 0049 0044 0032		
