no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u8	%d	0x00002F58	u8	ritualLv	 5100 5f0f 30ec 30d9 30eb			 5100 5f0f 30ec 30d9 30eb		
2	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u8	%d	0x00002F64	u8	attributeId	 5c5e 6027 0049 0044			 5c5e 6027 0049 0044		
3	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u16	%d	0x00002F6E	u16	mapBaseId	 30de 30c3 30d7 30d9 30fc 30b9 0049 0044			 9593 63a5 6307 5b9a 7528 30de 30c3 30d7 30d9 30fc 30b9 0049 0044		
4	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u8	%d	0x00002F8A	u8	holygrailTypeId	 8056 676f 30bf 30a4 30d7 0049 0044			 8056 676f 30bf 30a4 30d7 0049 0044		
5	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u8	%d	0x00002F9A	u8	variationNum	 30e9 30f3 30c0 30e0 69cb 9020 751f 6210 6570			 30e9 30f3 30c0 30e0 69cb 9020 751f 6210 6570 0028 30d0 30ea 30a8 30fc 30b7 30e7 30f3 6570 0029		
6	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	s8	%d	0x00002FC2	s8	mainFeature_1	 30e1 30a4 30f3 7279 5fb4 2460 0049 0044			 30e1 30a4 30f3 7279 5fb4 2460 0049 0044		
7	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	dummy8	%d	0x00000000	dummy8	pad_0	 30d1 30c7 30a3 30f3 30b0					
8	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u32	%d	0x00002FD4	u32	dungeonNameBaseId	 30c0 30f3 30b8 30e7 30f3 540d 30d9 30fc 30b9 0049 0044			 30c0 30f3 30b8 30e7 30f3 540d 30d9 30fc 30b9 0049 0044		
9	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u32	%d	0x00002FEC	u32	uniqueBaseFlagId	 30e6 30cb 30fc 30af 30d9 30fc 30b9 30d5 30e9 30b0 0049 0044			 30e6 30cb 30fc 30af 30d9 30fc 30b9 30d5 30e9 30b0 0049 0044		
10	paramdef/INTERROOT_ps4\paramdef\64bit\HolygrailExParam.paramdef	HOLYGRAIL_EX_PARAM_ST	u8	%d	0x00003006	u8	uniqueItem00_head	 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0 0030 0030 30d0 30ea 30a8 30fc 30b7 30e7 30f3 756a 53f7 5148 982d			 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0 0030 0030 30d0 30ea 30a8 30fc 30b7 30e7 30f3 756a 53f7 5148 982d		
