no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009C38	s32	behaviorVariationId	 884c 52d5 30d0 30ea 30a8 30fc 30b7 30e7 30f3 0049 0044			 884c 52d5 0049 0044 3092 7b97 51fa 3059 308b 3068 304d 306b 4f7f 7528 3059 308b 30d0 30ea 30a8 30fc 30b7 30e7 30f3 0049 0044 002e		
2	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009C6E	s32	aiThinkId	 0041 0049 601d 8003 0049 0044			 4f7f 7528 3059 308b 0041 0049 601d 8003 306e 0049 0044 002e		
3	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009C88	s32	nameId	 004e 0050 0043 540d 0049 0044			 004e 0050 0043 540d 30e1 30c3 30bb 30fc 30b8 30d1 30e9 30e1 30fc 30bf 7528 0049 0044		
4	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	f32	%f	0x00009CAC	f32	turnVellocity	 65cb 56de 901f 5ea6 005b 0064 0065 0067 002f 0073 0065 0063 005d			 0031 79d2 9593 306b 65cb 56de 3067 304d 308b 56de 8ee2 901f 5ea6 005b 5ea6 002f 79d2 005d 002e		
5	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	f32	%f	0x00009CD4	f32	hitHeight	 3042 305f 308a 306e 9ad8 3055 005b 006d 005d			 5f53 305f 308a 30ab 30d7 30bb 30eb 306e 9ad8 3055 002e		
6	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	f32	%f	0x00009CEC	f32	hitRadius	 3042 305f 308a 306e 534a 5f84 005b 006d 005d			 5f53 305f 308a 30ab 30d7 30bb 30eb 306e 534a 5f84 002e		
7	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	u32	%d	0x00009D04	u32	weight	 91cd 91cf 005b 006b 0067 005d			 91cd 91cf 002e		
8	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	f32	%f	0x00009D0C	f32	hitYOffset	 8868 793a 4f4d 7f6e 0059 30aa 30d5 30bb 30c3 30c8 005b 006d 005d			 30e2 30c7 30eb 8868 793a 4f4d 7f6e 306e 0059 ff08 9ad8 3055 ff09 65b9 5411 306e 30aa 30d5 30bb 30c3 30c8 3002 3042 305f 308a 4f4d 7f6e 3088 308a 6d6e 304b 305b 308b 3053 3068 304c 3067 304d 308b 3002		
9	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	u32	%d	0x00009D5E	u32	hp	 ff28 ff30			 6b7b 4ea1 7336 4e88 002e		
10	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	u32	%d	0x00009D6A	u32	mp	 ff2d ff30			 9b54 6cd5 4f7f 7528 91cf 002e		
11	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	u32	%d	0x00009D78	u32	getSoul	 30bd 30a6 30eb			 6b7b 4ea1 6642 306b 3001 30ad 30e3 30e9 30af 30bf 30fc 304c 53d6 5f97 3067 304d 308b 30bd 30a6 30eb 91cf 002e		
12	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009DA6	s32	itemLotId_1	 30a2 30a4 30c6 30e0 62bd 9078 0049 0044 005f 0031			 6b7b 4ea1 6642 306b 53d6 5f97 3059 308b 30a2 30a4 30c6 30e0 306e 62bd 9078 0049 0044 3092 6307 5b9a		
13	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009DD0	s32	itemLotId_2	 30a2 30a4 30c6 30e0 62bd 9078 0049 0044 005f 0032			 6b7b 4ea1 6642 306b 53d6 5f97 3059 308b 30a2 30a4 30c6 30e0 306e 62bd 9078 0049 0044 3092 6307 5b9a		
14	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009DFA	s32	itemLotId_3	 30a2 30a4 30c6 30e0 62bd 9078 0049 0044 005f 0033			 6b7b 4ea1 6642 306b 53d6 5f97 3059 308b 30a2 30a4 30c6 30e0 306e 62bd 9078 0049 0044 3092 6307 5b9a		
15	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009E24	s32	itemLotId_4	 30a2 30a4 30c6 30e0 62bd 9078 0049 0044 005f 0034			 6b7b 4ea1 6642 306b 53d6 5f97 3059 308b 30a2 30a4 30c6 30e0 306e 62bd 9078 0049 0044 3092 6307 5b9a		
16	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009E4E	s32	itemLotId_5	 30a2 30a4 30c6 30e0 62bd 9078 0049 0044 005f 0035			 6b7b 4ea1 6642 306b 53d6 5f97 3059 308b 30a2 30a4 30c6 30e0 306e 62bd 9078 0049 0044 3092 6307 5b9a		
17	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009E78	s32	itemLotId_6	 30a2 30a4 30c6 30e0 62bd 9078 0049 0044 005f 0036			 6b7b 4ea1 6642 306b 53d6 5f97 3059 308b 30a2 30a4 30c6 30e0 306e 62bd 9078 0049 0044 3092 6307 5b9a		
18	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009EA2	s32	humanityLotId	 4eba 9593 6027 62bd 9078 0049 0044			 6b7b 4ea1 6642 306b 53d6 5f97 3059 308b 4eba 9593 6027 306e 62bd 9078 0049 0044 3092 6307 5b9a		
19	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009ECA	s32	spEffectID0	 5e38 99d0 7279 6b8a 52b9 679c 0030			 5e38 99d0 7279 6b8a 52b9 679c 0030		
20	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009EDA	s32	spEffectID1	 5e38 99d0 7279 6b8a 52b9 679c 0031			 5e38 99d0 7279 6b8a 52b9 679c 0031		
21	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009EEA	s32	spEffectID2	 5e38 99d0 7279 6b8a 52b9 679c 0032			 5e38 99d0 7279 6b8a 52b9 679c 0032		
22	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009EFA	s32	spEffectID3	 5e38 99d0 7279 6b8a 52b9 679c 0033			 5e38 99d0 7279 6b8a 52b9 679c 0033		
23	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009F0A	s32	spEffectID4	 5e38 99d0 7279 6b8a 52b9 679c 0034			 5e38 99d0 7279 6b8a 52b9 679c 0034		
24	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009F1A	s32	spEffectID5	 5e38 99d0 7279 6b8a 52b9 679c 0035			 5e38 99d0 7279 6b8a 52b9 679c 0035		
25	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009F2A	s32	spEffectID6	 5e38 99d0 7279 6b8a 52b9 679c 0036			 5e38 99d0 7279 6b8a 52b9 679c 0036		
26	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009F3A	s32	spEffectID7	 5e38 99d0 7279 6b8a 52b9 679c 0037			 5e38 99d0 7279 6b8a 52b9 679c 0037		
27	paramdef/INTERROOT_ps4\paramdef\64bit\NpcParam.paramdef	NPC_PARAM_ST	s32	%d	0x00009F4A	s32	GameClearSpEffectID	 5468 56de 30dc 30fc 30ca 30b9 7528 7279 6b8a 52b9 679c ff29 ff24			 5468 56de 30dc 30fc 30ca 30b9 7528 7279 6b8a 52b9 679c ff29 ff24		
